# Miscellaneous CNS 11643 characters from planes 9 through 15 withdrawn from IRG
#   working sets as unifiable with existing Unicode characters

0x97E3E	U+8224
0xB6244	U+7576
0xB6262	U+2E19D
0xB672B	U+2A777
0xB696C	U+787C
0xB6A76	U+7ABB
0xB7142	U+23F4E
0xB7E6F	U+2E39F
0xC2561	U+9EA6
0xC2728	U+6C74
0xC2938	U+5372
0xC2B37	U+2231C
0xC2E41	U+4F7E
0xC2E53	U+5169
0xC3144	U+5DF6
0xC3233	U+39DE
0xC3534	U+9FC6
0xC367C	U+3453
0xC375C	U+262A8
0xC3830	U+771E
0xC3834	U+2F940
0xC3839	U+771F
0xC3862	U+53DB
0xC4021	U+2B7B0
0xC4436	U+51C4
0xC454D	U+54F6
0xC465B	U+5951
0xC467C	U+36C7
0xC482E	U+5F07
0xC487C	U+633A
0xC4A44	U+6800
0xC4B76	U+2203F
0xC4D42	U+2506B
0xC553A	U+2177B
0xC556C	U+21B36
0xC5721	U+60BD
0xC5B6D	U+24962
0xC5C55	U+2506B
0xC5C5B	U+25058
0xC5C5E	U+76DE
0xC5D40	U+2567F
0xC5E5E	U+7F97
0xC5E70	U+2655E
0xC5F3B	U+9FCA
0xC5F6D	U+26C25
0xC655A	U+2B870
0xD2171	U+50A5
0xD2276	U+53A7
0xD2277	U+53C3
0xD2367	U+5854
0xD2435	U+21533
0xD2454	U+5ABA
0xD2460	U+5AC3
0xD2462	U+21784
0xD2525	U+5A55
0xD2571	U+5D28
0xD2623	U+22045
0xD2926	U+441A
0xD2954	U+23591
0xD2A7B	U+3D1E
0xD2B33	U+3D20
0xD3128	U+26C7D
0xD3467	U+29D53
0xD3652	U+53AD
0xD3669	U+55D4
0xD373C	U+7F3F
0xD3A62	U+6168
0xD3A69	U+611B
0xD3B6B	U+6687
0xD3D7E	U+6F01
0xD4021	U+7456
0xD4045	U+249C5
0xD4161	U+254CC
0xD4266	U+2E155
0xD432B	U+26002
0xD442A	U+24FF7
0xD4443	U+2E40B
0xD4726	U+92AD
0xD4A24	U+2C16D
0xD4C6F	U+204AB
0xD4D40	U+69C7
0xD4D43	U+69D4
0xD4D44	U+235C7
0xD4E3E	U+6B9B
0xD512B	U+24E1D
0xD526B	U+7B86
0xD536C	U+2E2C9
0xD5446	U+517F
0xD5447	U+2BB9D
0xD572C	U+9254
0xD5872	U+203F5
0xD5949	U+53E1
0xD594B	U+53E1
0xD5A29	U+5880
0xD5B73	U+227E8
0xD607E	U+799B
0xD6168	U+7B86
0xD622C	U+7DC1
0xD624A	U+7E04
0xD6336	U+8475
0xD6552	U+9293
0xD6753	U+515C
0xD677A	U+20FF3
0xD6853	U+26F7D
0xD6855	U+22471
0xD6857	U+22471
0xD6D3A	U+74BF
0xD724B	U+29B16
0xD7537	U+8339
0xD7734	U+84C2
0xD7A36	U+243B8
0xE2261	U+9726
0xE2430	U+7F44
0xE246D	U+24484
0xE253E	U+2AF18
0xE2661	U+7BD9
0xE267D	U+2700A
0xE2736	U+260AF
0xE2766	U+6FF8
0xE2776	U+85D4
0xE282D	U+21063
0xE283D	U+878D
0xE292B	U+31FA8
0xE2931	U+9139
0xE2975	U+971E
0xE2A23	U+9EBA
0xE2B6A	U+21F86
0xE2F54	U+26166
0xE3062	U+87F3
0xE3327	U+9BE4
0xE332E	U+9BB8
0xE367E	U+2706D
0xE3773	U+87F9
0xE3D44	U+861A
0xE415D	U+255D6
0xE435A	U+9C49
0xE464C	U+2B81D
0xE4859	U+261B5
0xE496B	U+7F50
0xE4A78	U+261B5
0xE6E7C	U+2E44B
0xE6F6B	U+2D9ED
0xE7262	U+28125
0xE743B	U+8585
0xF7E5A	U+2BC9B
