# CNS 11643 plane 19 (corresponding to the IRG/Unihan source prefix "T13-").
# This file includes both those listed as IRG sources in the Unihan database, and also those
#   withdrawn from IRG working sets as unifiable with existing characters.
#
0x2121	U+2D7EE
0x2157	U+30001
0x2158	U+4E38
0x215A	U+2D0AB
0x2167	U+31379
0x222A	U+3196E
0x222F	U+4E57
0x2232	U+30E5B
0x2266	U+2D459
0x2267	U+302EE
0x2336	U+209CE
0x233A	U+3080A
0x233C	U+2452D
0x233F	U+3001F
0x2361	U+4E9F
0x236A	U+2CF3F
0x237E	U+20146
0x2439	U+2626A
0x2440	U+2CF66
0x244A	U+2B889
0x2457	U+2B738
0x246C	U+4EDE
0x247E	U+2CF7C
0x2527	U+2BE4E
0x2542	U+2CF7E
0x254E	U+30070
0x2557	U+2CF69
0x255F	U+4F40
0x2568	U+3042D
0x256B	U+201D3
0x256F	U+30082
0x2570	U+30084
0x2573	U+2B88F
0x2575	U+2A72C
0x2621	U+2BE52
0x2636	U+2EC7C
0x2638	U+30086
0x263E	U+2250D
0x264B	U+2CF97
0x264D	U+96B9
0x2654	U+2CF83
0x2662	U+3042F
0x2674	U+2E978
0x2735	U+2D6ED
0x2742	U+5029
0x2750	U+21CFC
0x2765	U+2CF97
0x276B	U+4FEE
0x2825	U+2D6F4
0x283A	U+2A752
0x2870	U+5049
0x2875	U+5FAB
0x2878	U+5076
0x2933	U+20293
0x2942	U+2CFA8
0x2965	U+24C08
0x2969	U+2DAAA
0x2A28	U+3009D
0x2A29	U+2213B
0x2A33	U+2CFE3
0x2A66	U+50AF
0x2A70	U+300AC
0x2B34	U+2CFF5
0x2B78	U+22843
0x2C47	U+306B7
0x2C49	U+2DBF0
0x2C4A	U+306BE
0x2C4B	U+306BF
0x2C4C	U+23C5C
0x2C4D	U+306C1
0x2C4F	U+306C3
0x2C50	U+306C6
0x2C51	U+6C5E
0x2C52	U+23D0E
0x2C53	U+6C89
0x2C54	U+306CC
0x2C55	U+209F9
0x2C56	U+306D4
