# Unicode equivalents for the hanzi encoding which has portions included in various variants
#   of the ChinaSea Big-5 extension set, prioritising the 黑體 variant of the extensions in places
#   where different variants of the ChinaSea extensions use the same position for different hanzi.

0x8140	U+4E17	# 丗
0x8141	U+4E22	# 丢
0x8142	U+4E2C	# 丬
0x8143	U+4E55	# 乕
0x8144	U+4E62	# 乢
0x8145	U+4E8A	# 亊
0x8146	U+4EB0	# 亰
0x8147	U+4EEB	# 仫
0x8148	U+4EED	# 仭
0x8149	U+4EFC	# 仼
0x814A	U+4F1C	# 伜
0x814B	U+4F8A	# 侊
0x814C	U+4FFF	# 俿
0x814D	U+5042	# 偂
0x814E	U+5050	# 偐
0x814F	U+5078	# 偸
0x8150	U+50D8	# 僘
0x8151	U+50DE	# 僞
0x8152	U+50F4	# 僴
0x8153	U+5116	# 儖
0x8154	U+514A	# 兊
0x8155	U+5151	# 兑
0x8156	U+5164	# 兤
0x8157	U+516A	# 兪
0x8158	U+5185	# 内
0x8159	U+5190	# 冐
0x815A	U+519D	# 冝
0x815B	U+51A6	# 冦
0x815C	U+51A8	# 冨
0x815D	U+51A9	# 冩
0x815E	U+51C7	# 凇
0x815F	U+51D6	# 凖
0x8160	U+51DB	# 凛
0x8161	U+51EC	# 凬
0x8162	U+51FC	# 凼
0x8163	U+520B	# 刋
0x8164	U+5214	# 刔
0x8165	U+5215	# 刕
0x8166	U+5220	# 删
0x8167	U+522B	# 别
0x8168	U+5239	# 刹
0x8169	U+524F	# 剏
0x816A	U+5271	# 剱
0x816B	U+5290	# 劐
0x816C	U+5292	# 劒
0x816D	U+5294	# 劔
0x816E	U+529C	# 劜
0x816F	U+52AF	# 劯
0x8170	U+52B5	# 劵
0x8171	U+52D0	# 勐
0x8172	U+5300	# 匀
0x8173	U+5307	# 匇
0x8174	U+5324	# 匤
0x8175	U+5346	# 卆
0x8176	U+535F	# 卟
0x8177	U+5393	# 厓
0x8178	U+53B0	# 厰
0x8179	U+53DD	# 叝
0x817A	U+5423	# 吣
0x817B	U+5450	# 呐
0x817C	U+5451	# 呑
0x817D	U+548A	# 咊
0x817E	U+549D	# 咝
0x81A1	U+54A3	# 咣
0x81A2	U+54B4	# 咴
0x81A3	U+54D0	# 哐
0x81A4	U+5523	# 唣
0x81A5	U+553F	# 唿
0x81A6	U+554C	# 啌
0x81A7	U+5553	# 啓
0x81A8	U+555D	# 啝
0x81A9	U+556C	# 啬
0x81AA	U+559E	# 喞
0x81AB	U+55A9	# 喩
0x81AC	U+55EC	# 嗬
0x81AD	U+55F5	# 嗵
0x81AE	U+5623	# 嘣
0x81AF	U+5650	# 噐
0x81B0	U+567C	# 噼
0x81B1	U+568A	# 嚊
0x81B2	U+5694	# 嚔
0x81B3	U+56A0	# 嚠
0x81B4	U+56AF	# 嚯
0x81B5	U+56D8	# 囘
0x81B6	U+5700	# 圀
0x81B7	U+5759	# 坙
0x81B8	U+5765	# 坥
0x81B9	U+577F	# 坿
0x81BA	U+5785	# 垅
0x81BB	U+5789	# 垉
0x81BC	U+57A1	# 垡
0x81BD	U+57AC	# 垬
0x81BE	U+57B4	# 垴
0x81BF	U+57C0	# 埀
0x81C0	U+57C8	# 埈
0x81C1	U+57D3	# 埓
0x81C2	U+57EF	# 埯
0x81C3	U+5844	# 塄
0x81C4	U+586C	# 塬
0x81C5	U+5892	# 墒
0x81C6	U+589A	# 墚
0x81C7	U+58B2	# 墲
0x81C8	U+58B8	# 墸
0x81C9	U+58E5	# 壥
0x81CA	U+58FB	# 壻
0x81CB	U+5902	# 夂
0x81CC	U+590B	# 夋
0x81CD	U+5910	# 夐
0x81CE	U+5918	# 夘
0x81CF	U+591B	# 夛
0x81D0	U+748C	# 璌
0x81D1	U+748D	# 璍
0x81D2	U+7499	# 璙
0x81D3	U+749B	# 璛
0x81D4	U+74A4	# 璤
0x81D5	U+74B4	# 璴
0x81D6	U+74B9	# 璹
0x81D7	U+74C8	# 瓈
0x81D8	U+74CC	# 瓌
0x81D9	U+74D0	# 瓐
0x81DA	U+74D3	# 瓓
0x81DB	U+7542	# 畂
0x81DC	U+7555	# 畕
0x81DD	U+756E	# 畮
0x81DE	U+758D	# 疍
0x81DF	U+759E	# 疞
0x81E0	U+75DC	# 痜
0x81E1	U+762C	# 瘬
0x81E2	U+764F	# 癏
0x81E3	U+7651	# 癑
0x81E4	U+7673	# 癳
0x81E5	U+7674	# 癴
0x81E6	U+76A5	# 皥
0x81E7	U+76D9	# 盙
0x81E8	U+770E	# 眎
0x81E9	U+770F	# 眏
0x81EA	U+7758	# 睘
0x81EB	U+7772	# 睲
0x81EC	U+7777	# 睷
0x81ED	U+7778	# 睸
0x81EE	U+777A	# 睺
0x81EF	U+777B	# 睻
0x81F0	U+7798	# 瞘
0x81F1	U+77AF	# 瞯
0x81F2	U+77BE	# 瞾
0x81F3	U+77C3	# 矃
0x81F4	U+77C5	# 矅
0x81F5	U+77CB	# 矋
0x81F6	U+77DD	# 矝
0x81F7	U+77E6	# 矦
0x81F8	U+77F4	# 矴
0x81F9	U+781E	# 砞
0x81FA	U+783D	# 砽
0x81FB	U+7842	# 硂
0x81FC	U+7844	# 硄
0x81FD	U+784B	# 硋
0x81FE	U+7851	# 硑
0x8240	U+5516	# 唖
0x8241	U+58F7	# 壷
0x8242	U+9834	# 頴
0x8243	U+845B	# 葛
0x8244	U+7114	# 焔
0x8245	U+8276	# 艶
0x8246	U+8956	# 襖
0x8247	U+9D2C	# 鴬
0x8248	U+9D0E	# 鴎
0x8249	U+8EAF	# 躯
0x824A	U+6062	# 恢
0x824B	U+6666	# 晦
0x824C	U+86CE	# 蛎
0x824D	U+64B9	# 撹
0x824E	U+938C	# 鎌
0x824F	U+565B	# 噛
0x8250	U+6F45	# 潅
0x8251	U+8ACC	# 諌
0x8252	U+7149	# 煉
0x8253	U+5DCC	# 巌
0x8254	U+8749	# 蝉
0x8255	U+9A28	# 騨
0x8256	U+7BAA	# 箪
0x8257	U+8D0B	# 贋
0x8258	U+9957	# 饗
0x8259	U+5C2D	# 尭
0x825A	U+7E4B	# 繋
0x825B	U+981A	# 頚
0x825C	U+5026	# 倦
0x825D	U+6372	# 捲
0x825E	U+9E78	# 鹸
0x825F	U+783F	# 砿
0x8260	U+9EB9	# 麹
0x8261	U+9EBA	# 麺
0x8262	U+8CCE	# 賎
0x8263	U+8B83	# 讃
0x8264	U+EF79	# <EF79>
0x8265	U+848B	# 蒋
0x8266	U+91A4	# 醤
0x8267	U+7A63	# 穣
0x8268	U+64B0	# 撰
0x8269	U+5DFD	# 巽
0x826A	U+5E96	# 庖
0x826B	U+8061	# 聡
0x826C	U+6955	# 楕
0x826D	U+7AEA	# 竪
0x826E	U+7026	# 瀦
0x826F	U+68BC	# 梼
0x8270	U+7977	# 祷
0x8271	U+6D9C	# 涜
0x8272	U+8FE9	# 迩
0x8273	U+7962	# 祢
0x8274	U+56A2	# 嚢
0x8275	U+877F	# 蝿
0x8276	U+5265	# 剥
0x8277	U+7984	# 禄
0x8278	U+6E8C	# 溌
0x8279	U+9197	# 醗
0x827A	U+7B86	# 箆
0x827B	U+982C	# 頬
0x827C	U+685D	# 桝
0x827D	U+4FAD	# 侭
0x827E	U+85AE	# 薮
0x82A1	U+7BED	# 篭
0x82A2	U+874B	# 蝋
0x82A3	U+5036	# 倶
0x82A4	U+690D	# 植
0x82A5	U+6B96	# 殖
0x82A6	U+614E	# 慎
0x82A7	U+5177	# 具
0x82A8	U+771F	# 真
0x82A9	U+5024	# 値
0x82AA	U+7F6E	# 置
0x82AB	U+76F4	# 直
0x82AC	U+69D9	# 槙
0x82AD	U+60E3	# 惣
0x82AE	U+62F6	# 拶
