# Unicode equivalents for the semigraphics encoding which has portions included in various variants
#   of the ChinaSea Big-5 extension set.

0x9674	U+1FBD6	# 🯖
0x9675	U+1FBD7	# 🯗
0x9676	U+1FB7C	# 🭼
0x9677	U+1FB7F	# 🭿
0x9678	U+E831	# <E831>
0x9679	U+E832	# <E832>
0x967A	U+E833	# <E833>
0x967B	U+E834	# <E834>
0x967D	U+1FB9D	# 🮝
0x9CDE	U+2514	# └
0x9D7D	U+2501	# ━
0x9D7E	U+2503	# ┃
0x9F40	U+2592	# ▒
0x9F41	U+25A4	# ▤
0x9F42	U+25A8	# ▨
0x9F43	U+25A7	# ▧
0x9F44	U+2593	# ▓
0x9F45	U+10B3E	# 𐬾
0x9F46	U+1FB95	# 🮕
0x9F47	U+25A9	# ▩
0x9F48	U+1F9F1	# 🧱
0x9F49	U+1F495	# 💕
0x9F4A	U+2728	# ✨
0x9F4B	U+25A5	# ▥
0x9F4C	U+222C	# ∬
0x9F5E	U+222B	# ∫
0x9F5F	U+222B	# ∫
0x9F60	U+223D	# ∽
0x9F61	U+223D	# ∽
0x9F62	U+23B9	# ⎹
0x9F63	U+23B8	# ⎸
0x9F64	U+23BA	# ⎺
0x9F65	U+23BD	# ⎽
0x9F6A	U+1FB87	# 🮇
0x9F6B	U+258E	# ▎
0x9F6C	U+2582	# ▂
0x9F6D	U+1FB82	# 🮂
0x9F6E	U+1FB1E	# 🬞
0x9F6F	U+1FB0F	# 🬏
0x9F70	U+1FB01	# 🬁
0x9F71	U+1FB00	# 🬀
0x9F72	U+1FBEE	# 🯮
0x9F73	U+1FBED	# 🯭
0x9F74	U+1FBEC	# 🯬
0x9F75	U+1FBEF	# 🯯
0x9F76	U+1FB8D	# 🮍
0x9F77	U+1FB8C	# 🮌
0x9F78	U+1FB8F	# 🮏
0x9F79	U+1FB8E	# 🮎
0x9F7A	U+EDB8	# Bottom-right aligned shaded square
0x9F7B	U+EDB9	# Bottom-left aligned shaded square
0x9F7C	U+EDBA	# Top-right aligned shaded square
0x9F7D	U+EDBB	# Top-left aligned shaded square
0xF9DD	U+2554	# ╔
0xF9DE	U+2566	# ╦
0xF9DF	U+2557	# ╗
0xF9E0	U+2560	# ╠
0xF9E1	U+256C	# ╬
0xF9E2	U+2563	# ╣
0xF9E3	U+255A	# ╚
0xF9E4	U+2569	# ╩
0xF9E5	U+255D	# ╝
0xF9E6	U+2552	# ╒
0xF9E7	U+2564	# ╤
0xF9E8	U+2555	# ╕
0xF9E9	U+255E	# ╞
0xF9EA	U+256A	# ╪
0xF9EB	U+2561	# ╡
0xF9EC	U+2558	# ╘
0xF9ED	U+2567	# ╧
0xF9EE	U+255B	# ╛
0xF9EF	U+2553	# ╓
0xF9F0	U+2565	# ╥
0xF9F1	U+2556	# ╖
0xF9F2	U+255F	# ╟
0xF9F3	U+256B	# ╫
0xF9F4	U+2562	# ╢
0xF9F5	U+2559	# ╙
0xF9F6	U+2568	# ╨
0xF9F7	U+255C	# ╜
0xF9F8	U+2551	# ║
0xF9F9	U+2550	# ═
0xF9FA	U+256D	# ╭
0xF9FB	U+256E	# ╮
0xF9FC	U+2570	# ╰
0xF9FD	U+256F	# ╯
0xF9FE	U+2593	# ▓
0xFA40	U+2591	# ░
