# TCVN 5773 to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
#
0x3021	U+20126
0x3022	U+20129
0x3023	U+20133
0x3024	U+4EC9
0x3025	U+201B3
0x3026	U+4F29
0x3027	U+201D5
0x3028	U+201CD
0x3029	U+4F4A
0x302A	U+201FC
0x302B	U+4F32
0x302C	U+4F36
0x302D	U+4F35
0x302E	U+201FD
0x302F	U+4F85
0x3030	U+4FDA
0x3031	U+2025C
0x3032	U+2029A
0x3033	U+2029C
0x3034	U+346B
0x3035	U+5045
0x3036	U+202E6
0x3037	U+50A6
0x3038	U+20326
0x3039	U+5068
0x303A	U+203A8
0x303B	U+50E4
0x303C	U+2038A
0x303D	U+5100
0x303E	U+203F2
0x303F	U+2041E
0x3040	U+2042C
0x3041	U+20462
0x3042	U+204E8
0x3043	U+2052D
0x3044	U+205AF
0x3045	U+205BE
0x3046	U+205F8
0x3047	U+34E0
0x3048	U+34DF
0x3049	U+521F
0x304A	U+2072C
0x304B	U+2072E
0x304C	U+5256
0x304D	U+20753
0x304E	U+34ED
0x304F	U+34F6
0x3050	U+2077A
0x3051	U+2079F
0x3052	U+207A1
0x3053	U+207F2
0x3054	U+2084E
0x3055	U+2085A
0x3056	U+2087A
0x3057	U+20867
0x3058	U+2089D
0x3059	U+208AC
0x305A	U+532C
0x305B	U+2853F
0x305C	U+27D24
0x305D	U+200C5
0x305E	U+200E9
0x305F	U+20032
0x3061	U+20929
0x3062	U+20B99
0x3063	U+53ED
0x3064	U+20BA9
0x3065	U+53FA
0x3066	U+20BC5
0x3067	U+5403
0x3068	U+20BBE
0x3069	U+20BC7
0x306A	U+5400
0x306B	U+20BFB
0x306C	U+5431
0x306D	U+20BFD
0x306E	U+5438
0x306F	U+5432
0x3070	U+5428
0x3071	U+20C00
0x3072	U+356D
0x3073	U+20C01
0x3074	U+5474
0x3075	U+542A
0x3076	U+20BFF
0x3077	U+3570
0x3078	U+20BEA
0x3079	U+5418
0x307A	U+20C02
0x307B	U+5440
0x307C	U+20BF9
0x307D	U+20C03
0x307E	U+5450
0x3121	U+3575
0x3122	U+5427
0x3123	U+5466
0x3124	U+20C0F
0x3125	U+5498
0x3126	U+5481
0x3127	U+20C3A
0x3128	U+20C46
0x3129	U+5464
0x312A	U+548D
0x312B	U+20C47
0x312C	U+547F
0x312D	U+3578
0x312E	U+20C37
0x312F	U+20C2D
0x3130	U+20C18
0x3131	U+20C1A
0x3132	U+5465
0x3133	U+20C33
0x3134	U+20C4B
0x3135	U+546D
0x3136	U+20BE6
0x3137	U+54B9
0x3138	U+54B3
0x3139	U+54A5
0x313A	U+20C96
0x313B	U+20C9F
0x313C	U+54CF
0x313D	U+54AD
0x313E	U+20CA1
0x313F	U+20CA3
0x3140	U+54BE
0x3141	U+20CA5
0x3142	U+54A0
0x3143	U+20C53
0x3144	U+20D09
0x3145	U+20C8F
0x3146	U+3587
0x3147	U+20C94
0x3148	U+54A3
0x3149	U+20CA7
0x314A	U+20CA8
0x314B	U+20CD0
0x314C	U+20C76
0x314D	U+554A
0x314E	U+20CDD
0x314F	U+54F1
0x3150	U+20CDA
0x3151	U+54F3
0x3152	U+5512
0x3153	U+20D13
0x3154	U+20D15
0x3155	U+20D17
0x3156	U+550B
0x3157	U+54EC
0x3158	U+5509
0x3159	U+5505
0x315A	U+553F
0x315B	U+550F
0x315C	U+20CE8
0x315D	U+20D1C
0x315E	U+20CFA
0x315F	U+20CD2
0x3160	U+20E3C
0x3161	U+20D25
0x3162	U+5501
0x3163	U+3591
0x3164	U+54E3
0x3165	U+20D0D
0x3166	U+20D10
0x3167	U+54FA
0x3168	U+54F0
0x3169	U+20CF9
0x316A	U+3597
0x316B	U+20D18
0x316C	U+20D1A
