# TCVN 6056 to Unicode mappings compiled from multiple versions of the Unihan database from
#   Unicode 3.1.1 or later. The character encoding described is incompatible with the one
#   described by Unihan databases from Unicode 3.1.0 or earlier; presumably the newer data is
#   the correct data.
#
0x4A21	U+4E00
0x4A22	U+4E01
0x4A23	U+4E03
0x4A24	U+4E07
0x4A25	U+4E08
0x4A26	U+4E09
0x4A27	U+4E0A
0x4A28	U+4E0B
0x4A29	U+4E0D
0x4A2A	U+4E0E
0x4A2B	U+4E10
0x4A2C	U+4E11
0x4A2D	U+4E14
0x4A2E	U+4E15
0x4A2F	U+4E16
0x4A30	U+4E18
0x4A31	U+4E19
0x4A32	U+4E1E
0x4A33	U+4E22
0x4A34	U+4E2B
0x4A35	U+4E2D
0x4A36	U+4E30
0x4A37	U+4E32
0x4A38	U+4E38
0x4A39	U+4E39
0x4A3A	U+4E3B
0x4A3B	U+4E3F
0x4A3C	U+4E42
0x4A3D	U+4E43
0x4A3E	U+4E45
0x4A3F	U+4E4B
0x4A40	U+4E4D
0x4A41	U+4E4E
0x4A42	U+4E4F
0x4A43	U+4E56
0x4A44	U+4E58
0x4A45	U+4E59
0x4A46	U+4E5D
0x4A47	U+4E5E
0x4A48	U+4E5F
0x4A49	U+4E71
0x4A4A	U+4E73
0x4A4B	U+4E7E
0x4A4C	U+4E82
0x4A4D	U+4E86
0x4A4E	U+4E88
0x4A4F	U+4E8B
0x4A50	U+4E8C
0x4A51	U+4E8D
0x4A52	U+4E8E
0x4A53	U+4E91
0x4A54	U+4E92
0x4A55	U+4E94
0x4A56	U+4E95
0x4A57	U+4E99
0x4A58	U+4E9B
0x4A59	U+4E9F
0x4A5A	U+4EA1
0x4A5B	U+4EA2
0x4A5C	U+4EA4
0x4A5D	U+4EA5
0x4A5E	U+4EA8
0x4A5F	U+4EAB
0x4A60	U+4EAC
0x4A61	U+4EAD
0x4A62	U+4EBA
0x4A63	U+4EC0
0x4A64	U+4EC1
0x4A65	U+4EC3
0x4A66	U+4EC4
0x4A67	U+4EC6
0x4A68	U+4EC7
0x4A69	U+4ECA
0x4A6A	U+4ECB
0x4A6B	U+4ECD
0x4A6C	U+4ED4
0x4A6D	U+4ED5
0x4A6E	U+4ED6
0x4A6F	U+4ED7
0x4A70	U+4ED8
0x4A71	U+4ED9
0x4A72	U+4EDD
0x4A73	U+4EE3
0x4A74	U+4EE4
0x4A75	U+4EF0
0x4A76	U+4EF6
0x4A77	U+4EF7
0x4A78	U+4EFB
0x4A79	U+4EFD
0x4A7A	U+4EFF
0x4A7B	U+4F01
0x4A7C	U+4F0A
0x4A7D	U+4F0D
0x4A7E	U+4F0E
0x4B21	U+4F0F
0x4B22	U+4F10
0x4B23	U+4F11
0x4B24	U+4F1A
0x4B25	U+4F2E
0x4B26	U+4F2F
0x4B27	U+4F34
0x4B28	U+4F3C
0x4B29	U+4F3D
0x4B2A	U+4F43
0x4B2B	U+4F4D
0x4B2C	U+4F4E
0x4B2D	U+4F4F
0x4B2E	U+4F50
0x4B2F	U+4F53
0x4B30	U+4F59
0x4B31	U+4F5A
0x4B32	U+4F5B
0x4B33	U+4F5C
0x4B34	U+4F5E
0x4B35	U+4F60
0x4B36	U+4F73
0x4B37	U+4F75
0x4B38	U+4F7B
0x4B39	U+4F7F
0x4B3A	U+4F86
0x4B3B	U+4F88
0x4B3C	U+4F8B
0x4B3D	U+4F94
0x4B3E	U+4F96
0x4B3F	U+4F98
0x4B40	U+4F9B
0x4B41	U+4F9D
0x4B42	U+4FAF
0x4B43	U+4FB1
0x4B44	U+4FB5
0x4B45	U+4FB6
0x4B46	U+4FBC
0x4B47	U+4FBF
0x4B48	U+4FC2
0x4B49	U+4FC3
0x4B4A	U+4FCA
0x4B4B	U+4FD0
0x4B4C	U+4FD1
0x4B4D	U+4FD7
0x4B4E	U+4FDD
0x4B4F	U+4FE0
0x4B50	U+4FE1
0x4B51	U+4FEE
0x4B52	U+4FF1
0x4B53	U+4FF8
0x4B54	U+4FFA
0x4B55	U+5000
0x4B56	U+5002
0x4B57	U+5008
0x4B58	U+500B
0x4B59	U+500D
0x4B5A	U+5011
0x4B5B	U+5012
0x4B5C	U+5016
0x4B5D	U+5018
0x4B5E	U+5019
0x4B5F	U+501A
0x4B60	U+501F
0x4B61	U+5021
0x4B62	U+5023
0x4B63	U+5024
0x4B64	U+5026
0x4B65	U+5029
0x4B66	U+502A
0x4B67	U+502B
0x4B68	U+502C
0x4B69	U+502D
0x4B6A	U+5043
0x4B6B	U+5048
0x4B6C	U+5049
0x4B6D	U+504F
0x4B6E	U+505C
0x4B6F	U+5065
0x4B70	U+506A
0x4B71	U+5074
0x4B72	U+5075
0x4B73	U+5076
0x4B74	U+507D
0x4B75	U+5085
0x4B76	U+508C
0x4B77	U+508D
0x4B78	U+5091
0x4B79	U+20302
0x4B7A	U+5099
0x4B7B	U+50AC
0x4B7C	U+50B1
0x4B7D	U+50B2
0x4B7E	U+50B3
0x4C21	U+50B5
0x4C22	U+50B7
0x4C23	U+50BE
0x4C24	U+50C2
0x4C25	U+50C4
0x4C26	U+50CF
0x4C27	U+50D1
0x4C28	U+50D5
0x4C29	U+50DA
0x4C2A	U+50E5
0x4C2B	U+50E7
0x4C2C	U+50ED
0x4C2D	U+50EE
0x4C2E	U+50F9
0x4C2F	U+5102
0x4C30	U+5104
0x4C31	U+5108
0x4C32	U+5109
0x4C33	U+5112
0x4C34	U+5133
0x4C35	U+513C
0x4C36	U+5140
0x4C37	U+5143
0x4C38	U+5144
0x4C39	U+5145
0x4C3A	U+5146
0x4C3B	U+5147
0x4C3C	U+5148
0x4C3D	U+5149
0x4C3E	U+514B
0x4C3F	U+514D
0x4C40	U+5151
0x4C41	U+5154
0x4C42	U+515C
0x4C43	U+5162
0x4C44	U+5165
0x4C45	U+5168
0x4C46	U+5169
0x4C47	U+516B
0x4C48	U+516C
0x4C49	U+516D
0x4C4A	U+516E
0x4C4B	U+5171
0x4C4C	U+5175
0x4C4D	U+5176
0x4C4E	U+5177
0x4C4F	U+5178
0x4C50	U+517C
0x4C51	U+5185
0x4C52	U+5189
0x4C53	U+518C
0x4C54	U+518D
0x4C55	U+5192
0x4C56	U+5195
0x4C57	U+5197
0x4C58	U+5198
0x4C59	U+51A0
0x4C5A	U+51A1
0x4C5B	U+51A4
0x4C5C	U+51A5
0x4C5D	U+51AC
0x4C5E	U+51B0
0x4C5F	U+51B5
0x4C60	U+51B6
0x4C61	U+51B7
0x4C62	U+51BD
0x4C63	U+51C6
0x4C64	U+51CC
0x4C65	U+51CD
0x4C66	U+51DC
0x4C67	U+51DD
0x4C68	U+51E0
0x4C69	U+51E1
0x4C6A	U+51ED
0x4C6B	U+51F1
0x4C6C	U+51F6
