# TCVN 6056 to Unicode mappings from the Unihan database from Unicode 3.0. The character
#   encoding described is incompatible with the one described by Unihan databases from
#   Unicode 3.1.1 or newer; presumably the newer data is the correct data, which would
#   make this one instead a re-arrangement of TCVN 6056.
#
0x2121	U+4E00
0x2122	U+4E01
0x2123	U+4E03
0x2124	U+4E07
0x2125	U+4E08
0x2126	U+4E09
0x2127	U+4E0A
0x2128	U+4E0B
0x2129	U+4E0D
0x212A	U+4E0E
0x212B	U+4E10
0x212C	U+4E11
0x212D	U+4E14
0x212E	U+4E15
0x212F	U+4E16
0x2130	U+4E18
0x2131	U+4E19
0x2132	U+4E1E
0x2133	U+4E22
0x2134	U+4E2A
0x2135	U+4E2B
0x2136	U+4E2D
0x2137	U+4E30
0x2138	U+4E32
0x2139	U+4E38
0x213A	U+4E39
0x213B	U+4E3B
0x213C	U+4E3F
0x213D	U+4E42
0x213E	U+4E43
0x213F	U+4E45
0x2140	U+4E4B
0x2141	U+4E4D
0x2142	U+4E4E
0x2143	U+4E4F
0x2144	U+4E56
0x2145	U+4E58
0x2146	U+4E59
0x2147	U+4E5D
0x2148	U+4E5E
0x2149	U+4E5F
0x214A	U+4E71
0x214B	U+4E73
0x214C	U+4E7E
0x214D	U+4E82
0x214E	U+4E86
0x214F	U+4E88
0x2150	U+4E8B
0x2151	U+4E8C
0x2152	U+4E8D
0x2153	U+4E8E
0x2154	U+4E91
0x2155	U+4E92
0x2156	U+4E94
0x2157	U+4E95
0x2158	U+4E99
0x2159	U+4E9B
0x215A	U+4E9F
0x215B	U+4EA1
0x215C	U+4EA2
0x215D	U+4EA4
0x215E	U+4EA5
0x215F	U+4EA8
0x2160	U+4EAB
0x2161	U+4EAC
0x2162	U+4EAD
0x2163	U+4EBA
0x2164	U+4EC0
0x2165	U+4EC1
0x2166	U+4EC3
0x2167	U+4EC4
0x2168	U+4EC6
0x2169	U+4EC7
0x216A	U+4ECA
0x216B	U+4ECB
0x216C	U+4ECD
0x216D	U+4ED4
0x216E	U+4ED5
0x216F	U+4ED6
0x2170	U+4ED7
0x2171	U+4ED8
0x2172	U+4ED9
0x2173	U+4EDD
0x2174	U+4EE3
0x2175	U+4EE4
0x2176	U+4EF0
0x2177	U+4EF6
0x2178	U+4EF7
0x2179	U+4EFB
0x217A	U+4EFD
0x217B	U+4EFF
0x217C	U+4F01
0x217D	U+4F0A
0x217E	U+4F0D
0x2221	U+4F0E
0x2222	U+4F0F
0x2223	U+4F10
0x2224	U+4F11
0x2225	U+4F1A
0x2226	U+4F2E
0x2227	U+4F2F
0x2228	U+4F34
0x2229	U+4F3C
0x222A	U+4F3D
0x222B	U+4F43
0x222C	U+4F4D
0x222D	U+4F4E
0x222E	U+4F4F
0x222F	U+4F50
0x2230	U+4F53
0x2231	U+4F59
0x2232	U+4F5A
0x2233	U+4F5B
0x2234	U+4F5C
0x2235	U+4F5E
0x2236	U+4F60
0x2237	U+4F73
0x2238	U+4F75
0x2239	U+4F7B
0x223A	U+4F7F
0x223B	U+4F86
0x223C	U+4F88
0x223D	U+4F8B
0x223E	U+4F94
0x223F	U+4F96
0x2240	U+4F98
0x2241	U+4F9B
0x2242	U+4F9D
0x2243	U+4FAF
0x2244	U+4FB1
0x2245	U+4FB5
0x2246	U+4FB6
0x2247	U+4FBC
0x2248	U+4FBF
0x2249	U+4FC2
0x224A	U+4FC3
0x224B	U+4FCA
0x224C	U+4FD0
0x224D	U+4FD1
0x224E	U+4FD7
0x2250	U+4FDD
0x2251	U+4FE0
0x2252	U+4FE1
0x2253	U+4FEE
0x2254	U+4FF1
0x2255	U+4FF8
0x2256	U+4FFA
0x2257	U+5000
0x2258	U+5002
0x2259	U+5008
0x225A	U+500B
0x225B	U+500D
0x225C	U+5011
0x225D	U+5012
0x225E	U+5016
0x225F	U+5018
0x2260	U+5019
0x2261	U+501A
0x2262	U+501F
0x2263	U+5021
0x2264	U+5023
0x2265	U+5024
0x2266	U+5026
0x2267	U+5029
0x2268	U+502A
0x2269	U+502B
0x226A	U+502C
0x226B	U+502D
0x226C	U+5043
0x226D	U+5048
0x226E	U+5049
0x226F	U+504F
0x2270	U+505C
0x2271	U+5065
0x2272	U+506A
