# "VHN 01:1998" to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
0x6E21	U+20028
0x6E22	U+26271
0x6E23	U+28457
0x6E24	U+2845C
0x6E25	U+20033
0x6E26	U+20042
0x6E27	U+2003F
0x6E28	U+2344E
0x6E29	U+24C82
0x6E2A	U+284D1
0x6E2C	U+2334B
0x6E2D	U+2005A
0x6E2E	U+2006A
0x6E2F	U+21A0C
0x6E30	U+20075
0x6E31	U+25A9D
0x6E32	U+20078
0x6E33	U+22580
0x6E34	U+20079
0x6E35	U+2007B
0x6E36	U+2008E
0x6E37	U+200AA
0x6E38	U+200AB
0x6E39	U+25E70
0x6E3A	U+200EF
0x6E3B	U+20100
0x6E3C	U+2011C
0x6E3D	U+20127
0x6E3E	U+2012F
0x6E3F	U+20136
0x6E40	U+2013A
0x6E41	U+2013D
0x6E42	U+2014E
0x6E43	U+20150
0x6E44	U+20152
0x6E45	U+2015C
0x6E46	U+2017B
0x6E47	U+2017C
0x6E48	U+201D6
0x6E49	U+344D
0x6E4A	U+2020B
0x6E4B	U+344F
0x6E4C	U+2025D
0x6E4D	U+2025F
0x6E4E	U+20260
0x6E4F	U+2029B
0x6E50	U+2029D
0x6E51	U+2029F
0x6E52	U+20271
0x6E53	U+202A1
0x6E54	U+202E5
0x6E55	U+202AB
0x6E56	U+202FA
0x6E57	U+20327
0x6E58	U+20328
0x6E59	U+20363
0x6E5A	U+20364
0x6E5B	U+20365
0x6E5C	U+20366
0x6E5D	U+50D3
0x6E5E	U+20375
0x6E5F	U+2036D
0x6E60	U+203AA
0x6E61	U+203AB
0x6E62	U+203AC
0x6E63	U+204B7
0x6E64	U+203DF
0x6E65	U+3499
0x6E66	U+203ED
0x6E67	U+203F3
0x6E68	U+20405
0x6E69	U+203E5
0x6E6A	U+2363E
0x6E6B	U+2373B
0x6E6C	U+20448
0x6E6D	U+20456
0x6E6E	U+2046C
0x6E6F	U+204A5
0x6E70	U+204A6
0x6E71	U+204AC
0x6E72	U+204C7
0x6E73	U+204C5
0x6E74	U+204C1
0x6E75	U+8000
0x6E76	U+204D4
0x6E77	U+204E9
0x6E78	U+204EC
0x6E79	U+204FA
0x6E7A	U+25A9E
0x6E7B	U+34B7
0x6E7C	U+20526
0x6E7D	U+2052E
0x6E7E	U+215C4
0x6F21	U+20054
0x6F22	U+2005D
0x6F23	U+20598
0x6F24	U+2059D
