# "VHN 02:1998" to Unicode mappings compiled from multiple versions of the Unihan database.
#
0x3021	U+2018D
0x3024	U+5056
0x3025	U+20299
0x3026	U+507B
0x3028	U+203A9
0x3029	U+203E0
0x302A	U+205B0
0x302C	U+2070F
0x302D	U+20755
0x302E	U+20757
0x302F	U+207B9
0x3030	U+207F9
0x3036	U+209A9
0x303A	U+20C09
0x303B	U+20C0C
0x303C	U+20C0F
0x303E	U+20C9D
0x303F	U+20C9E
0x3040	U+20C45
0x3042	U+20C49
0x3047	U+20D0C
0x3048	U+2344C
0x304B	U+20D3C
0x304C	U+20D82
0x304D	U+20D88
0x304E	U+20E3D
0x304F	U+20D92
0x3051	U+20EA9
0x3052	U+20E15
0x3053	U+561D
0x3054	U+20F3A
0x3055	U+20F42
0x3058	U+20FF6
0x3059	U+20FBE
0x305D	U+21022
0x3060	U+210B1
0x3063	U+21197
0x3064	U+21208
0x3065	U+571A
0x3068	U+2124E
0x3069	U+574D
0x306A	U+21266
0x306E	U+212E6
0x306F	U+21321
0x3071	U+21359
0x3072	U+2135B
0x3073	U+3658
0x3074	U+2139F
0x3075	U+2139C
0x3076	U+2142F
0x3077	U+2141A
0x3078	U+589D
0x307A	U+58B1
0x307B	U+2146A
0x307C	U+214BB
0x307E	U+214DF
0x3121	U+21684
0x3122	U+2169D
0x3124	U+21724
0x3126	U+5A2B
0x3127	U+21766
0x3128	U+2195A
0x3129	U+21965
0x312A	U+21AA6
0x312B	U+21AD0
0x312C	U+21AE8
0x312D	U+21BAA
0x312E	U+21BB2
0x3131	U+21F08
0x3133	U+22139
0x3134	U+22145
0x3135	U+221E2
0x3136	U+22578
0x3137	U+61BA
0x313B	U+225FD
0x313C	U+6041
0x313D	U+391D
0x313E	U+2266A
0x313F	U+2266C
0x3140	U+22675
0x3141	U+226B4
0x3143	U+2271D
0x3144	U+22783
0x3145	U+227D0
0x3147	U+22824
0x3149	U+228BD
0x3153	U+628B
0x3154	U+6296
0x3155	U+629E
0x315B	U+22AC4
0x315C	U+22AC5
0x315F	U+22AD8
0x316E	U+22B71
0x3172	U+3A04
0x3174	U+22BD1
0x3175	U+22BD5
0x3176	U+22BD9
0x3178	U+22BDB
0x317A	U+22BDD
0x317B	U+22BDF
0x3222	U+63E9
0x3226	U+6427
0x3229	U+22CA0
0x322A	U+22CA4
0x322B	U+3A43
0x322E	U+64A3
0x322F	U+22D69
0x3230	U+22D6C
0x3231	U+22D1C
0x3232	U+328A0
0x3233	U+22D74
0x3234	U+22D77
0x3235	U+22D7A
0x3237	U+22D54
0x3238	U+64BC
0x323A	U+22DB8
0x323B	U+22DBA
0x323C	U+22DBD
0x323E	U+22E1B
0x323F	U+22E1D
