# "Hán Nôm Coded Character Repertoire 2007" to Unicode mappings compiled from multiple versions
#   of the Unihan database.
#
0x4021	U+2A700
0x4022	U+2B822
0x4023	U+2A964
0x4024	U+2B52C
0x4025	U+2B871
0x4027	U+2B827
0x4028	U+2B82A
0x4029	U+2C517
0x402A	U+2C656
0x402B	U+2B82E
0x402C	U+2B82F
0x402D	U+2C65A
0x402E	U+2B8B5
0x402F	U+2C954
0x4030	U+2C1ED
0x4031	U+20044
0x4032	U+2B830
0x4033	U+2B834
0x4034	U+2C65E
0x4035	U+2C34F
0x4036	U+2C50B
0x4037	U+2B83B
0x4038	U+2B83C
0x4039	U+2B837
0x403A	U+2B838
0x403B	U+2B839
0x403C	U+2B83A
0x403E	U+2CE97
0x403F	U+2CA3A
0x4040	U+2B83D
0x4041	U+2B83F
0x4042	U+31367
0x4043	U+2B840
0x4044	U+2BD0B
0x4045	U+2B841
0x4046	U+2B842
0x4047	U+2C579
0x4048	U+2B847
0x4049	U+2A709
0x404A	U+2B849
0x404B	U+2C1E7
0x404C	U+2C205
0x404D	U+2B84C
0x404E	U+2B84D
0x404F	U+2B84E
0x4050	U+2B850
0x4051	U+2B85B
0x4052	U+2B85D
0x4053	U+2B860
0x4054	U+31383
0x4055	U+2A712
0x4056	U+2B866
0x4057	U+2A715
0x4058	U+2B86A
0x4059	U+2A718
0x405A	U+2B86D
0x405B	U+2B86E
0x405C	U+2A71A
0x405D	U+2A71B
0x405E	U+2B86F
0x405F	U+2C2F2
0x4060	U+2A71D
0x4061	U+2B872
0x4062	U+2C0BD
0x4063	U+2C0C2
0x4064	U+2B875
0x4065	U+2B878
0x4066	U+3240B
0x4067	U+2A722
0x4069	U+2B87B
0x406A	U+2C19E
0x406B	U+2B87E
0x406C	U+2B87D
0x406D	U+2C52B
0x406F	U+2BDBE
0x4070	U+2B88D
0x4071	U+2B88B
0x4072	U+2A72F
0x4073	U+2B896
0x4076	U+32421
0x4077	U+2B854
0x4078	U+2B89A
0x407A	U+2B8A0
0x407B	U+2A73E
0x407C	U+2B8A7
0x407D	U+2B8A9
0x407E	U+3242D
0x4121	U+2A745
0x4122	U+2B8B1
0x4123	U+2A748
0x4124	U+2B8BC
0x4125	U+2B8AB
0x4126	U+2A744
0x4127	U+2A74E
0x4128	U+2BA0E
0x4129	U+2B8C3
0x412A	U+2B8C2
0x412B	U+2A755
0x412C	U+2A74C
0x412E	U+2B8CF
0x412F	U+2BD2E
0x4130	U+2A75C
0x4131	U+313C3
0x4133	U+2B8DE
0x4134	U+2A769
0x4135	U+2B8D9
0x4136	U+2B8DA
0x4137	U+2B8DD
0x4138	U+2B8E2
0x4139	U+21AE1
0x413A	U+2A76A
0x413B	U+2B8E3
0x413C	U+2A76C
0x413D	U+2A76E
0x413E	U+2B8EA
0x413F	U+2A76F
0x4140	U+2B8F1
0x4143	U+2B8F0
0x4144	U+2A773
0x4145	U+2A771
0x4147	U+2CE99
0x4148	U+2B8F8
0x4149	U+2B8FD
0x414A	U+2A779
0x414B	U+2B8FF
0x414C	U+2B904
0x414D	U+2A77B
0x414E	U+2B908
0x414F	U+2B90B
0x4150	U+2B909
0x4151	U+2B90D
0x4152	U+2C8CE
0x4153	U+2B911
0x4154	U+2B90E
0x4155	U+2B90F
0x4156	U+2B912
0x4157	U+2B913
0x4158	U+2B915
0x4159	U+2A780
0x415A	U+2B921
0x415B	U+2B922
0x415C	U+2C3B8
0x415D	U+2B920
0x415E	U+2A785
0x415F	U+2B924
0x4160	U+313F0
0x4161	U+313EF
0x4164	U+2B929
0x4166	U+2B92F
0x4167	U+2A78D
0x4168	U+2B93E
0x416A	U+2A7A0
0x416B	U+2B94C
0x416C	U+2B94A
0x416D	U+2B94F
0x416E	U+2A7A7
0x416F	U+2B955
0x4170	U+2B956
0x4171	U+2B958
0x4173	U+2B95B
0x4174	U+2B95C
0x4175	U+2A7B4
0x4176	U+2B963
0x4178	U+2A7B7
0x4179	U+2A7B8
0x417C	U+2B965
0x417D	U+2A7BA
0x417E	U+2A7BB
0x4221	U+2B969
0x4222	U+2B96A
0x4223	U+2B96B
0x4224	U+2B967
0x4225	U+2B968
0x4226	U+2A7BC
0x4227	U+2B96E
0x4228	U+2A7BD
0x4229	U+2B96F
0x422A	U+2A7C0
0x422B	U+2B974
0x422C	U+2A7C2
0x422D	U+2B978
0x422E	U+2B97F
0x422F	U+2A7C5
0x4232	U+2A7C6
0x4234	U+2B987
0x4235	U+2A7D0
0x4236	U+2B991
0x4237	U+2A7D2
0x4238	U+2B993
0x4239	U+2B998
0x423A	U+324B8
0x423B	U+2A7D3
0x423C	U+2A7D5
0x423D	U+2B9A2
0x423E	U+31429
0x423F	U+2A7D9
0x4240	U+31432
0x4241	U+2A7DA
0x4242	U+2B9AC
0x4244	U+2A7DE
0x4245	U+2A7E1
0x4246	U+2B9B5
0x4248	U+2A7E4
0x4249	U+2A7E6
0x424A	U+2B9BD
0x424B	U+2B9BB
0x424D	U+2B9C2
0x424E	U+3143E
0x424F	U+324D7
0x4250	U+2B9C7
0x4251	U+2B9DC
0x4252	U+2A7F3
0x4253	U+2B9DF
0x4254	U+2B9EA
0x4255	U+2B9E3
0x4257	U+2A7F6
0x4258	U+2BAD1
0x4259	U+2B9E6
0x425A	U+2B9E7
0x425C	U+2A7F8
0x425D	U+2B9EC
0x425E	U+2A7FC
0x4260	U+2B9ED
0x4261	U+2A7FD
0x4263	U+2B9FE
0x4264	U+2CA81
0x4266	U+2BA05
0x4267	U+2A809
0x4269	U+2A817
0x426A	U+2BA29
0x426B	U+2A81D
0x426C	U+2BA2B
0x426D	U+2A81E
0x426E	U+2BA2E
0x426F	U+2A820
0x4270	U+2BA2F
0x4271	U+2BA30
0x4272	U+2A822
0x4274	U+3146E
0x4276	U+2A82D
0x4277	U+32509
0x427A	U+2BA49
0x427B	U+2A831
0x427C	U+2BA4D
0x427D	U+2BA52
0x427E	U+2D1BA
0x4321	U+2BA53
0x4322	U+356A
0x4326	U+2A83A
0x4327	U+3149A
0x4328	U+2A83F
0x4329	U+2BA7A
0x432A	U+2BA84
0x432B	U+2A847
0x432C	U+2C706
0x432D	U+2A846
