# Table for converting GB 7589 to Unicode. The Unicode Private Use Area character U+F87F is
#   appended as an Apple-style transcoding hint in cases where the Unicode mapping is
#   approximate, i.e. does not match the exact character variant shown in GB 7589.
0x3021	U+4E0F
0x3022	U+534C
0x3023	U+673F
0x3024	U+341C
0x3025	U+5193
0x3026	U+5961
0x3027	U+7539
0x3028	U+4E33
0x3029	U+6704
0x302A	U+4E42
0x302B	U+340C
0x302C	U+752A
0x302D	U+752E
0x302E	U+820B
0x302F	U+592C
0x3030	U+53BE
0x3031	U+4E31
0x3032	U+3416
0x3033	U+2B9FF
0x3034	U+30195
0x3035	U+538E
0x3036	U+5394
0x3037	U+302FD
0x3038	U+5396
0x3039	U+3019A
0x303A	U+5397
0x303B	U+305DC
0x303C	U+304D9
0x303D	U+30455
0x303E	U+539C
0x303F	U+354E
0x3040	U+53AC
0x3041	U+3DF3
0x3042	U+3EFA
0x3043	U+78FF
0x3044	U+312A7
0x3045	U+9EE1
0x3046	U+8652
0x3047	U+531C
0x3048	U+352F
0x3049	U+5325
0x304A	U+533C
0x304B	U+533D
0x304C	U+532B
0x304D	U+30166
0x304E	U+532C
0x304F	U+3538
0x3050	U+3534
0x3051	U+5334
0x3052	U+3536
0x3053	U+76C0
0x3054	U+9CEA+F87F
0x3055	U+2B9EF
0x3056	U+5187
0x3057	U+518F
0x3058	U+3B1F
0x3059	U+4EDA
0x305A	U+50F0
0x305B	U+808F
0x305C	U+4EC8
0x305D	U+4F0B
0x305E	U+4F62
0x305F	U+4F23
0x3060	U+3439
0x3061	U+201B5
0x3062	U+30067
0x3063	U+4EF1
0x3064	U+4F00
0x3065	U+4F06
0x3066	U+343D
0x3067	U+4F08
0x3068	U+4F04
0x3069	U+4F03
0x306A	U+4F45
0x306B	U+4FF4+F87F
0x306C	U+4F49
0x306D	U+4F3E
0x306E	U+3448
0x306F	U+4F52
0x3070	U+4F61
0x3071	U+3447
0x3072	U+4F2D
0x3073	U+3491+F87F
0x3074	U+50A0+F87F
0x3075	U+4F56
0x3076	U+4F4A
0x3077	U+201F9
0x3078	U+4F41
0x3079	U+4F99
0x307A	U+4FF9+F87F
0x307B	U+4F87
0x307C	U+3450
0x307D	U+4F4C
0x307E	U+4F8A
0x3121	U+30078
0x3122	U+344B
0x3123	U+4F81
0x3124	U+4FB9
0x3125	U+4F78
0x3126	U+4F90
0x3127	U+4F9C
0x3128	U+4F7A
0x3129	U+4F6E
0x312A	U+4F79
0x312B	U+4F9A
0x312C	U+3007E
0x312D	U+4F6B
0x312E	U+4F82
0x312F	U+4F7D
0x3130	U+4F85
0x3131	U+4F98
0x3132	U+2B748
0x3133	U+4F9E
0x3134	U+3462
0x3135	U+3459
0x3136	U+2B8AD
0x3137	U+2B8AC
0x3138	U+4FBC
0x3139	U+4FC9
0x313A	U+4FB8
0x313B	U+4FB2
0x313C	U+4FEB
0x313D	U+2B8AA
0x313E	U+345C
0x313F	U+4FB1
0x3140	U+4FCB
0x3141	U+4FD9
0x3142	U+4FB3
0x3143	U+4FC7
0x3144	U+3008E+F87F
0x3145	U+4FBB
0x3146	U+4FE4
0x3147	U+4FD5
0x3148	U+4FCD
0x3149	U+4FF5
0x314A	U+5030
0x314B	U+503B
0x314C	U+5033
0x314D	U+3008F
0x314E	U+5037
0x314F	U+5034
0x3150	U+5022
0x3151	U+4FF6
0x3152	U+5020
0x3153	U+5004
0x3154	U+50CB
0x3155	U+5017
0x3156	U+501E
0x3157	U+5005
0x3158	U+2B8B8
0x3159	U+5013
0x315A	U+5027
0x315B	U+5007
0x315C	U+2B8BA
0x315D	U+5046
0x315E	U+5061
0x315F	U+505E
0x3160	U+506D
0x3161	U+5044
0x3162	U+3498+F87F
0x3163	U+504D
0x3164	U+506E
0x3165	U+3009C
0x3166	U+5072
0x3167	U+5054
0x3168	U+5073
0x3169	U+505B
0x316A	U+5062
0x316B	U+504A
0x316C	U+506B
0x316D	U+506F
0x316E	U+512D+F87F
0x316F	U+5059
0x3170	U+349F+F87F
0x3171	U+509E
0x3172	U+5053
0x3173	U+5083
0x3174	U+508B
0x3175	U+5089
0x3176	U+5084
0x3177	U+5068
0x3178	U+300A6
0x3179	U+45BA
0x317A	U+7FDB
0x317B	U+509D
0x317C	U+2B8CA
0x317D	U+5097
0x317E	U+5094
0x3221	U+509B
0x3222	U+5095
0x3223	U+50BF
0x3224	U+50AE
0x3225	U+50C4
0x3226	U+50C8
0x3227	U+3481
0x3228	U+50AB
0x3229	U+50B0
0x322A	U+50C1
0x322B	U+50BD
0x322C	U+50B9
0x322D	U+3480
0x322E	U+3488
0x322F	U+50C7
0x3230	U+347F
0x3231	U+348E
0x3232	U+50DB
0x3233	U+311F1
0x3234	U+300AD
0x3235	U+3484
0x3236	U+50EF
0x3237	U+50D4
0x3238	U+50D2
0x3239	U+50DD
0x323A	U+50CE
0x323B	U+50DC
0x323C	U+50EA
0x323D	U+511A
0x323E	U+50F8
0x323F	U+3494
0x3240	U+50FD
0x3241	U+50FF
0x3242	U+5111
0x3243	U+349A
0x3244	U+348A
0x3245	U+5124
0x3246	U+5126
0x3247	U+5120
0x3248	U+34A0
0x3249	U+34A1
0x324A	U+5133
0x324B	U+5136
0x324C	U+513E
0x324D	U+530C
0x324E	U+5312
0x324F	U+3528
0x3250	U+3529
0x3251	U+5314
0x3252	U+386E+F87F
0x3253	U+34D8
0x3254	U+7386
0x3255	U+88B2
0x3256	U+88DB
0x3257	U+4EB6
0x3258	U+890E
0x3259	U+4EB8
0x325A	U+4EB9
0x325B	U+51AE
0x325C	U+300F7
0x325D	U+51C1
0x325E	U+34CE
0x325F	U+51CA
0x3260	U+51C5
0x3261	U+51CE
0x3262	U+51D5
0x3263	U+51D8
0x3264	U+51DA
0x3265	U+5198
0x3266	U+519E
0x3267	U+519F
0x3268	U+96BA
0x3269	U+9F0F
0x326A	U+536C
0x326B	U+5372
0x326C	U+31248
0x326D	U+35C9
0x326E	U+3C8B
0x326F	U+5910
0x3270	U+6BDA
0x3271	U+5209
0x3272	U+5213
0x3273	U+3011E
0x3274	U+206C5
0x3275	U+522C
0x3276	U+521C
0x3277	U+5232
0x3278	U+34E4
0x3279	U+34E6
0x327A	U+34E3
0x327B	U+34E2
0x327C	U+5248
0x327D	U+4FB4+F87F
0x327E	U+525A
0x3321	U+5260
0x3322	U+2B985
0x3323	U+525F
0x3324	U+34F3
0x3325	U+526C
0x3326	U+34F1
0x3327	U+526B
0x3328	U+34F2
0x3329	U+526D
0x332A	U+5276
0x332B	U+34F9
0x332C	U+34FA
0x332D	U+2A7CE
0x332E	U+34FC
0x332F	U+3506
0x3330	U+3502
0x3331	U+34FE
0x3332	U+528B
0x3333	U+350A
0x3334	U+350C
0x3335	U+350D
0x3336	U+350F
0x3337	U+5296
0x3338	U+3512
0x3339	U+5298
0x333A	U+5299
0x333B	U+3513
0x333C	U+52A6
0x333D	U+52AE
0x333E	U+3517
0x333F	U+52BB
0x3340	U+52BC
0x3341	U+3519
0x3342	U+52BA
0x3343	U+2B9A9
0x3344	U+52CD
0x3345	U+52DA
0x3346	U+3520
0x3347	U+30154
0x3348	U+3525+F87F
0x3349	U+3521
0x334A	U+52E8
0x334B	U+52ED
0x334C	U+52EC
0x334D	U+52EE
0x334E	U+3523
0x334F	U+52F7
0x3350	U+53B9
0x3351	U+590B
0x3352	U+2B40A
0x3353	U+67B2
0x3354	U+2A81F
0x3355	U+30DE6
0x3356	U+53C6
0x3357	U+53C7
0x3358	U+3559
0x3359	U+72AE
0x335A	U+355F
0x335B	U+301C0
0x335C	U+389F
0x335D	U+3DA3
0x335E	U+3FFB
0x335F	U+49F2
0x3360	U+34DA
0x3361	U+5732
0x3362	U+5734
0x3363	U+58B2+F87F
0x3364	U+30258
0x3365	U+2BB5F
0x3366	U+5749
0x3367	U+30259
0x3368	U+3628
0x3369	U+3025A
0x336A	U+2D382
0x336B	U+2BB62
0x336C	U+5745
0x336D	U+574B
0x336E	U+5744
0x336F	U+5748
0x3370	U+3635
0x3371	U+577A
0x3372	U+5765
0x3373	U+5771
0x3374	U+5770
0x3375	U+576C
0x3376	U+5780
0x3377	U+5762
0x3378	U+58C6+F87F
0x3379	U+3632
0x337A	U+5772
0x337B	U+594A
0x337C	U+57AF
0x337D	U+57B1
0x337E	U+5798
0x3421	U+3026A
0x3422	U+578D
0x3423	U+5797
0x3424	U+579D
0x3425	U+5791
0x3426	U+57E9
0x3427	U+5790
0x3428	U+579F
0x3429	U+579E
0x342A	U+2A8D2
0x342B	U+2D39C
0x342C	U+57BE
0x342D	U+57CD
0x342E	U+57BC
0x342F	U+57BA
0x3430	U+57C6
0x3431	U+57BF
0x3432	U+57BD
0x3433	U+3640
0x3434	U+57CC
0x3435	U+57D0
0x3436	U+5832
0x3437	U+57F2
0x3438	U+580E
0x3439	U+57F6
0x343A	U+57FC
0x343B	U+57E7
0x343C	U+5801
0x343D	U+580C
0x343E	U+57F5
0x343F	U+5804
0x3440	U+57F0
0x3441	U+57FB
0x3442	U+5809
0x3443	U+57E2
0x3444	U+2BB83
0x3445	U+57EE
0x3446	U+57EA
0x3447	U+364D
0x3448	U+583E
0x3449	U+583C
0x344A	U+30282
0x344B	U+5843
0x344C	U+3658
0x344D	U+5828
0x344E	U+3650
0x344F	U+5845
0x3450	U+582D
0x3451	U+5860
0x3452	U+582B
0x3453	U+5846
0x3454	U+2A8FB
0x3455	U+5829+F87F
0x3456	U+5848
0x3457	U+5833
0x3458	U+5825
0x3459	U+5868
0x345A	U+30291
0x345B	U+583D
0x345C	U+586E
0x345D	U+5855
0x345E	U+5873
0x345F	U+5859
0x3460	U+588E
0x3461	U+5849
0x3462	U+365A
0x3463	U+3659
0x3464	U+584E
0x3465	U+365F
0x3466	U+5853
0x3467	U+5888
0x3468	U+5890
0x3469	U+5898
0x346A	U+5884
0x346B	U+5874
0x346C	U+3666
0x346D	U+588C
0x346E	U+5887
0x346F	U+6705
0x3470	U+366A
0x3471	U+58A3
0x3472	U+4D7A
0x3473	U+2D3F8
0x3474	U+58BA
0x3475	U+58A6
0x3476	U+58A5
0x3477	U+58A1
0x3478	U+3671
0x3479	U+58BD
0x347A	U+58C2
0x347B	U+58D6
0x347C	U+3677
0x347D	U+3682
0x347E	U+6BD0
0x3521	U+58F4
0x3522	U+58F8
0x3523	U+56AD
0x3524	U+5F06
0x3525	U+22341
0x3526	U+5F07
0x3527	U+593D
0x3528	U+5940
0x3529	U+5946
0x352A	U+3692
0x352B	U+593F
0x352C	U+3697
0x352D	U+5943
0x352E	U+5945
0x352F	U+4CAA+F87F
0x3530	U+3694
0x3531	U+2BBE5
0x3532	U+369B
0x3533	U+5953
0x3534	U+369C
0x3535	U+595E
0x3536	U+595F
0x3537	U+595D
0x3538	U+5964
0x3539	U+7D94
0x353A	U+36A0
0x353B	U+5966
0x353C	U+596D
0x353D	U+596B
0x353E	U+5970
0x353F	U+5C2A
0x3540	U+377D
0x3541	U+377E
0x3542	U+5C2F
0x3543	U+8C57
0x3544	U+3782
0x3545	U+3784
0x3546	U+3787
0x3547	U+3789
0x3548	U+3788
0x3549	U+378A
0x354A	U+520C
0x354B	U+5C03
0x354C	U+30DDE
0x354D	U+38A5
0x354E	U+38A6
0x354F	U+5667+F87F
0x3550	U+3568
0x3551	U+5402
0x3552	U+5414
0x3553	U+2EC14
0x3554	U+5425
0x3555	U+5430
0x3556	U+2A833
0x3557	U+8099
0x3558	U+20BDF
0x3559	U+543D
0x355A	U+356D
0x355B	U+542A
0x355C	U+2BA5B
0x355D	U+356E
0x355E	U+5441
0x355F	U+543A
0x3560	U+5445
0x3561	U+20BE0
0x3562	U+356A
0x3563	U+5437
0x3564	U+547F
0x3565	U+5481
0x3566	U+3609+F87F
0x3567	U+5498
0x3568	U+5491
0x3569	U+546B
0x356A	U+20C37
0x356B	U+2BA64
0x356C	U+547E
0x356D	U+547A
0x356E	U+5489
0x356F	U+5465
0x3570	U+546C
0x3571	U+5479
0x3572	U+5474
0x3573	U+2BA69
0x3574	U+2A838
0x3575	U+545E
0x3576	U+5488
0x3577	U+548D
0x3578	U+5463
0x3579	U+301D6
0x357A	U+54A1
0x357B	U+54A0
0x357C	U+54BA
0x357D	U+2BA6B
0x357E	U+54CA
0x3621	U+301D5
0x3622	U+54A5
0x3623	U+2BA80
0x3624	U+5470
0x3625	U+54A2
0x3626	U+3586
0x3627	U+54C3
0x3628	U+54AE
0x3629	U+54B6
0x362A	U+2A840
0x362B	U+550C
0x362C	U+54C5
0x362D	U+54B9
0x362E	U+5597+F87F
0x362F	U+54E2
0x3630	U+3594
0x3631	U+5517
0x3632	U+551D
0x3633	U+54F1
0x3634	U+54E4
0x3635	U+2BA81
0x3636	U+358F
0x3637	U+54EB
0x3638	U+5508
0x3639	U+54F5
0x363A	U+550E
0x363B	U+2A84B
0x363C	U+5502
0x363D	U+54F7
0x363E	U+54F8
0x363F	U+54F9
0x3640	U+5503
0x3641	U+3595
0x3642	U+5534
0x3643	U+5526
0x3644	U+54F0
0x3645	U+54F4
0x3646	U+551A
0x3647	U+5568
0x3648	U+5548
0x3649	U+35A9
0x364A	U+5536
0x364B	U+35AA
0x364C	U+20D7E
0x364D	U+5540
0x364E	U+5535
0x364F	U+5545
0x3650	U+35B5
0x3651	U+556F
0x3652	U+553A
0x3653	U+5570
0x3654	U+35A5
0x3655	U+5529
0x3656	U+5532
0x3657	U+301F2
0x3658	U+35A7
0x3659	U+554D
0x365A	U+35A1
0x365B	U+2A85B
0x365C	U+5574
0x365D	U+554C
0x365E	U+5558
0x365F	U+35A8
0x3660	U+301FC
0x3661	U+55CF
0x3662	U+5593
0x3663	U+55B4
0x3664	U+35CF
0x3665	U+35B8
0x3666	U+55E2
0x3667	U+35CA
0x3668	U+35C4
0x3669	U+55D7
0x366A	U+35C0
0x366B	U+35D1
0x366C	U+55A0
0x366D	U+55A4
0x366E	U+35D3
0x366F	U+557D
0x3670	U+559B
0x3671	U+35D2
0x3672	U+55A8
0x3673	U+3020D
0x3674	U+55AD
0x3675	U+55DE
0x3676	U+35BB
0x3677	U+3610+F87F
0x3678	U+35D5
0x3679	U+35D8
0x367A	U+55D5
0x367B	U+35D4
0x367C	U+30213
0x367D	U+55C3
0x367E	U+55D9
0x3721	U+55CB
0x3722	U+5612
0x3723	U+5615
0x3724	U+35E6
0x3725	U+35E8
0x3726	U+5621
0x3727	U+5602
0x3728	U+55FA
0x3729	U+561A
0x372A	U+361B+F87F
0x372B	U+5626
0x372C	U+35ED
0x372D	U+55FB
0x372E	U+35E7
0x372F	U+5610
0x3730	U+35FA
0x3731	U+563E
0x3732	U+5646
0x3733	U+3600
0x3734	U+35F1
0x3735	U+5648
0x3736	U+564B
0x3737	U+5647
0x3738	U+2A88C
0x3739	U+5642
0x373A	U+5640
0x373B	U+564A
0x373C	U+35FE
0x373D	U+5684
0x373E	U+3604
0x373F	U+5673
0x3740	U+5683
0x3741	U+5663
0x3742	U+566D
0x3743	U+5677
0x3744	U+30236
0x3745	U+3606
0x3746	U+3608
0x3747	U+5698
0x3748	U+360A
0x3749	U+5697
0x374A	U+569A
0x374B	U+569C
0x374C	U+30241
0x374D	U+30244
0x374E	U+56BE
0x374F	U+56B5
0x3750	U+3617
0x3751	U+56E9
0x3752	U+56EE
0x3753	U+56E5
0x3754	U+56F7
0x3755	U+571B+F87F
0x3756	U+5702
0x3757	U+5701
0x3758	U+570C
0x3759	U+5710
0x375A	U+5714
0x375B	U+2A8AE
0x375C	U+5719
0x375D	U+3624
0x375E	U+3625
0x375F	U+3837
0x3760	U+3835
0x3761	U+3834
0x3762	U+3838
0x3763	U+2D613
0x3764	U+383A
0x3765	U+5E0A
0x3766	U+5E13
0x3767	U+303D5
0x3768	U+5E17
0x3769	U+383D
0x376A	U+383E
0x376B	U+5E1E
0x376C	U+3842
0x376D	U+383F
0x376E	U+5E22
0x376F	U+3845
0x3770	U+5E1F
0x3771	U+5E21
0x3772	U+5E23
0x3773	U+5E24
0x3774	U+3847
0x3775	U+5E2A
0x3776	U+5E29
0x3777	U+5E28
0x3778	U+5E3E
0x3779	U+5E3A
0x377A	U+384B
0x377B	U+5E39
0x377C	U+5E5D+F87F
0x377D	U+5E35
0x377E	U+3849
0x3821	U+384E
0x3822	U+2AA78
0x3823	U+385B
0x3824	U+5E46
0x3825	U+3851
0x3826	U+3856
0x3827	U+3852
0x3828	U+303DC
0x3829	U+3850
0x382A	U+3854
0x382B	U+385A
0x382C	U+3859
0x382D	U+3857
0x382E	U+385D
0x382F	U+3858
0x3830	U+5E4F
0x3831	U+5E4E
0x3832	U+385F
0x3833	U+5E56
0x3834	U+5E52
0x3835	U+385C
0x3836	U+3861
0x3837	U+5E6A
0x3838	U+5E68
0x3839	U+5E66
0x383A	U+5E6D
0x383B	U+5E70
0x383C	U+3867
0x383D	U+386A
0x383E	U+9096
0x383F	U+5C74
0x3840	U+5C78
0x3841	U+5C7C
0x3842	U+5DAC+F87F
0x3843	U+5C8F
0x3844	U+2BD77
0x3845	U+37B1
0x3846	U+37B0
0x3847	U+5C95
0x3848	U+3038C
0x3849	U+21D5D
0x384A	U+5C8E
0x384B	U+5D68+F87F
0x384C	U+5C8A
0x384D	U+37DE+F87F
0x384E	U+5DC1+F87F
0x384F	U+5CAF
0x3850	U+3038E
0x3851	U+3038F
0x3852	U+37BD
0x3853	U+30390
0x3854	U+30391
0x3855	U+5CA8
0x3856	U+37BB
0x3857	U+5C9F
0x3858	U+5C9E
0x3859	U+5CBB
0x385A	U+5CC2
0x385B	U+5CC3
0x385C	U+5CAA
0x385D	U+5CA7
0x385E	U+381A+F87F
0x385F	U+37C2
0x3860	U+5CB0
0x3861	U+37D0
0x3862	U+5CD8
0x3863	U+5CDB
0x3864	U+5CD3
0x3865	U+5CE3
0x3866	U+5CCC
0x3867	U+5CEB
0x3868	U+30396
0x3869	U+37C5
0x386A	U+5CD7
0x386B	U+5CC9
0x386C	U+5CE7
0x386D	U+21DB4
0x386E	U+5CD0
0x386F	U+5CCE
0x3870	U+37D6
0x3871	U+5D01
0x3872	U+5CFF
0x3873	U+37CC
0x3874	U+37C8
0x3875	U+5CFC
0x3876	U+5CF3
0x3877	U+5D04
