# Table for converting GB 7590 to Unicode. The Unicode Private Use Area character U+F87F is
#   appended as an Apple-style transcoding hint in cases where the Unicode mapping is
#   approximate, i.e. does not match the exact character variant shown in GB 7590.
0x3021	U+4E02
0x3022	U+5344
0x3023	U+4E20
0x3024	U+3401
0x3025	U+53C0+F87F
0x3026	U+758C
0x3027	U+3BE5+F87F
0x3028	U+2219A
0x3029	U+231C7
0x302A	U+3F4E
0x302B	U+757A
0x302C	U+23343
0x302D	U+596D+F87F
0x302E	U+7541
0x302F	U+308C2
0x3030	U+31C31
0x3031	U+2219F
0x3032	U+24CC5
0x3033	U+3E1A
0x3034	U+21647
0x3035	U+269A7
0x3036	U+23C53+F87F
0x3037	U+534D
0x3038	U+6C36
0x3039	U+821D
0x303A	U+5342
0x303B	U+21FE8
0x303C	U+4E29
0x303D	U+5DDC
0x303E	U+5350
0x303F	U+4E68
0x3040	U+4E7F
0x3041	U+4E84
0x3042	U+4E83
0x3043	U+269FF
0x3044	U+3428
0x3045	U+3539
0x3046	U+20984
0x3047	U+353B
0x3048	U+209AA
0x3049	U+5359
0x304A	U+209AB
0x304B	U+3017B
0x304C	U+20DDE
0x304D	U+2235A
0x304E	U+7590
0x304F	U+5387
0x3050	U+538A
0x3051	U+20A34
0x3052	U+3542
0x3053	U+3546
0x3054	U+5390
0x3055	U+538F
0x3056	U+3547
0x3057	U+5393
0x3058	U+2BA06
0x3059	U+20A4F
0x305A	U+3549
0x305B	U+3548
0x305C	U+354A
0x305D	U+539E
0x305E	U+354C
0x305F	U+20A69
0x3060	U+20A6B
0x3061	U+354B
0x3062	U+20A7A
0x3063	U+20A86
0x3064	U+274FD+F87F
0x3065	U+20A87
0x3066	U+53AB
0x3067	U+53A7
0x3068	U+20A8A
0x3069	U+53AA
0x306A	U+20A99
0x306B	U+20A9A
0x306C	U+21855
0x306D	U+20AAE
0x306E	U+3F41
0x306F	U+24BCD
0x3070	U+2774F
0x3071	U+87E8
0x3072	U+8E77
0x3073	U+29D23
0x3074	U+2751E
0x3075	U+53B5
0x3076	U+3406
0x3077	U+21B50+F87F
0x3078	U+7782
0x3079	U+21420
0x307A	U+20930
0x307B	U+20950+F87F
0x307C	U+3537
0x307D	U+268DE
0x307E	U+20934
0x3121	U+5327+F87F
