# Mapping for the PostScript variant of MacJapanese.
#
# For purposes of interoperability with Apple software, the below mapping is intended to match the
# output produced by Apple's own libraries when either PostScript variant of MacJapanese is
# converted. Not having access to the original Classic Mac equipment or printers, I cannot vouch
# for its historicity.
#
# This shows in general a greater affinity to NEC-C-6226 than to normal MacJapanese, but it has
# Apple-style vertical forms (including those of the NEC square Katakana abbreviations) in place of
# the NEC-selected IBM extensions, and also omits the halfwidth NEC extensions (and the Heisei era
# monogram, which presumably wouldn't have been included in NEC kit produced in the Shouwa era
# anyway, hence also its allocation separate from the other three in NEC-C-6226 / Windows-31J).
#
0x20	U+0020	# 2/0, SPACE
0x21	U+0021	# 2/1, EXCLAMATION MARK
0x22	U+0022	# 2/2, QUOTATION MARK
0x23	U+0023	# 2/3, NUMBER SIGN
0x24	U+0024	# 2/4, DOLLAR SIGN
0x25	U+0025	# 2/5, PERCENT SIGN
0x26	U+0026	# 2/6, AMPERSAND
0x27	U+0027	# 2/7, APOSTROPHE
0x28	U+0028	# 2/8, LEFT PARENTHESIS
0x29	U+0029	# 2/9, RIGHT PARENTHESIS
0x2A	U+002a	# 2/10, ASTERISK
0x2B	U+002b	# 2/11, PLUS SIGN
0x2C	U+002c	# 2/12, COMMA
0x2D	U+002d	# 2/13, HYPHEN-MINUS
0x2E	U+002e	# 2/14, FULL STOP
0x2F	U+002f	# 2/15, SOLIDUS
0x30	U+0030	# 3/0, DIGIT ZERO
0x31	U+0031	# 3/1, DIGIT ONE
0x32	U+0032	# 3/2, DIGIT TWO
0x33	U+0033	# 3/3, DIGIT THREE
0x34	U+0034	# 3/4, DIGIT FOUR
0x35	U+0035	# 3/5, DIGIT FIVE
0x36	U+0036	# 3/6, DIGIT SIX
0x37	U+0037	# 3/7, DIGIT SEVEN
0x38	U+0038	# 3/8, DIGIT EIGHT
0x39	U+0039	# 3/9, DIGIT NINE
0x3A	U+003a	# 3/10, COLON
0x3B	U+003b	# 3/11, SEMICOLON
0x3C	U+003c	# 3/12, LESS-THAN SIGN
