# Unicode mappings for the extensions on top of Big5-HKSCS as implemented by the Sakura font.

0x8140 U+4E9C
0x8141 U+60AA
0x8142 U+5727
0x8143 U+56F2
0x8145 U+58F1
0x8146 U+284DC
0x8147 U+96A0
0x8148 U+6804
0x8149 U+55B6
0x814B U+8B01
0x814D U+7E01
0x814E U+5FDC
0x814F U+6B27
0x8150 U+6BB4
0x8151 U+685C
0x8153 U+7A4F
0x8155 U+32421
0x8156 U+753B
0x8157 U+7070
0x8159 U+6094
0x815A U+6D77
0x815B U+7D75
0x815C U+58CA
0x815D U+61D0
0x815E U+62E1
0x815F U+6BBB
0x8160 U+899A
0x8162 U+697D
0x8163 U+559D
0x8164 U+6E34
0x8165 U+8910+F87F
0x8166 U+5DFB
0x8167 U+9665
0x8168 U+52E7
0x8169 U+5BDB
0x816A U+6F22
0x816C U+6B53
0x816D U+89B3
0x816E U+6C17
0x816F U+5E30
0x8170 U+622F
0x8171 U+72A0
0x8172 U+8650
0x8173 U+65E7
0x8174 U+6025
0x8175 U+62E0
0x8176 U+6319
0x8177 U+865A
0x8178 U+5CE1
0x8179 U+631F
0x817A U+72ED
0x817B U+90F7
0x817C U+97FF
0x817D U+6681
0x817E U+52E4
0x81A2 U+533A
0x81A3 U+99C6
0x81A4 U+52F3
0x81A5 U+718F
0x81A6 U+2EC7B
0x81A7 U+830E
0x81A8 U+6075
0x81A9 U+63B2
0x81AA U+6E13
0x81AB U+7D4C
0x81AC U+86CD
0x81AD U+8EFD
0x81AE U+7D99
0x81AF U+9D8F
0x81B0 U+6483
0x81B2 U+5039
0x81B3 U+5263
0x81B4 U+967A
0x81B5 U+570F
0x81B6 U+691C
0x81B7 U+6A29
0x81B8 U+9855
0x81B9 U+9A13
0x81BA U+53B3
0x81BB U+5449
0x81BC U+5A2F
0x81BD U+8AA4
0x81C0 U+9271
0x81C3 U+9ED2
0x81C4 U+7A40
0x81C5 U+7815
0x81C6 U+6E08
0x81C7 U+658E
0x81C8 U+6B73
0x81C9 U+5264
0x81CA U+96D1
0x81CC U+685F
0x81CF U+6B8B
0x81D1 U+5150
0x81D2 U+8F9E
0x81D3 U+6E7F
0x81D5 U+5199
0x81D6 U+820E
0x81D7 U+6368
0x81D8 U+91C8
0x81DA U+53CE
0x81DB U+8846
0x81DC U+5F93
0x81DD U+6E0B
0x81DE U+7363
0x81DF U+7E26
0x81E0 U+7C9B
0x81E1 U+51E6
0x81E2 U+5C06
0x81E3 U+79F0
0x81E4 U+6E09
0x81E5 U+713C
0x81E6 U+734E
0x81E8 U+72B6
0x81E9 U+4E57
0x81EA U+6D44
0x81EB U+5270
0x81EC U+7573
0x81ED U+7E04
0x81EE U+58CC
0x81EF U+5B22
0x81F0 U+8B72
0x81F1 U+91B8
0x81F3 U+5631
0x81F4 U+5BDD
0x81F5 U+5C3D
0x81F6 U+56F3
0x81F7 U+7C8B
0x81F8 U+9154
0x81F9 U+7A42
0x81FB U+9AC4
0x81FC U+67A2
0x81FD U+6570
0x8243 U+9759
0x8245 U+6442
0x8246 U+7D76
0x8247 U+5C02
0x8248 U+6D45
0x8249 U+6226
0x824A U+8DF5
0x824B U+92AD
0x824D U+9077
0x824E U+9078
0x824F U+7E4A
0x8250 U+7985
0x8252 U+58EE
0x8254 U+8358
0x8255 U+635C
0x8256 U+633F
0x8257 U+5DE3
0x8258 U+7A93
0x825A U+50E7
0x825B U+5C64
0x825D U+9A12
0x825E U+5897
0x825F U+618E
0x8260 U+8535
