0x6F485F	U+AC00	# HANGUL SYLLABLE GA
0x6F4860	U+AC01	# HANGUL SYLLABLE GAG
0x6F4861	U+AC02	# HANGUL SYLLABLE GAGG
0x6F4862	U+AC04	# HANGUL SYLLABLE GAN
0x6F4863	U+AC07	# HANGUL SYLLABLE GAD
0x6F4864	U+AC08	# HANGUL SYLLABLE GAL
0x6F4865	U+AC09	# HANGUL SYLLABLE GALG
0x6F4866	U+AC10	# HANGUL SYLLABLE GAM
0x6F4867	U+AC11	# HANGUL SYLLABLE GAB
0x6F4868	U+AC12	# HANGUL SYLLABLE GABS
0x6F4869	U+AC13	# HANGUL SYLLABLE GAS
0x6F486A	U+AC14	# HANGUL SYLLABLE GASS
0x6F486B	U+AC15	# HANGUL SYLLABLE GANG
0x6F486C	U+AC16	# HANGUL SYLLABLE GAJ
0x6F486D	U+AC17	# HANGUL SYLLABLE GAC
0x6F486E	U+AC19	# HANGUL SYLLABLE GAT
0x6F486F	U+AC1A	# HANGUL SYLLABLE GAP
0x6F4870	U+AC1B	# HANGUL SYLLABLE GAH
0x6F4871	U+AC1C	# HANGUL SYLLABLE GAE
0x6F4872	U+AC1D	# HANGUL SYLLABLE GAEG
0x6F4873	U+AC20	# HANGUL SYLLABLE GAEN
0x6F4875	U+AC24	# HANGUL SYLLABLE GAEL
0x6F4876	U+AC2C	# HANGUL SYLLABLE GAEM
0x6F4877	U+AC2D	# HANGUL SYLLABLE GAEB
0x6F4878	U+AC2F	# HANGUL SYLLABLE GAES
0x6F4879	U+AC30	# HANGUL SYLLABLE GAESS
0x6F487A	U+AC31	# HANGUL SYLLABLE GAENG
0x6F487B	U+AC38	# HANGUL SYLLABLE GYA
0x6F487C	U+AC39	# HANGUL SYLLABLE GYAG
0x6F487D	U+AC40	# HANGUL SYLLABLE GYAL
0x6F487E	U+AC54	# HANGUL SYLLABLE GYAE
0x6F4921	U+AC70	# HANGUL SYLLABLE GEO
0x6F4922	U+AC71	# HANGUL SYLLABLE GEOG
0x6F4923	U+AC73	# HANGUL SYLLABLE GEOGS
0x6F4924	U+AC74	# HANGUL SYLLABLE GEON
0x6F4925	U+AC77	# HANGUL SYLLABLE GEOD
0x6F4926	U+AC78	# HANGUL SYLLABLE GEOL
0x6F4927	U+AC79	# HANGUL SYLLABLE GEOLG
0x6F4928	U+AC7A	# HANGUL SYLLABLE GEOLM
0x6F4929	U+AC80	# HANGUL SYLLABLE GEOM
0x6F492A	U+AC81	# HANGUL SYLLABLE GEOB
0x6F492B	U+AC83	# HANGUL SYLLABLE GEOS
0x6F492C	U+AC84	# HANGUL SYLLABLE GEOSS
0x6F492D	U+AC85	# HANGUL SYLLABLE GEONG
0x6F492E	U+AC86	# HANGUL SYLLABLE GEOJ
0x6F492F	U+AC87	# HANGUL SYLLABLE GEOC
0x6F4930	U+AC89	# HANGUL SYLLABLE GEOT
0x6F4931	U+AC8A	# HANGUL SYLLABLE GEOP
0x6F4932	U+AC8B	# HANGUL SYLLABLE GEOH
0x6F4933	U+AC8C	# HANGUL SYLLABLE GE
0x6F4934	U+AC90	# HANGUL SYLLABLE GEN
0x6F4935	U+AC94	# HANGUL SYLLABLE GEL
0x6F4936	U+AC9C	# HANGUL SYLLABLE GEM
0x6F4937	U+AC9F	# HANGUL SYLLABLE GES
0x6F4938	U+ACA0	# HANGUL SYLLABLE GESS
0x6F4939	U+ACA1	# HANGUL SYLLABLE GENG
0x6F493A	U+ACA8	# HANGUL SYLLABLE GYEO
0x6F493B	U+ACA9	# HANGUL SYLLABLE GYEOG
0x6F493C	U+ACAA	# HANGUL SYLLABLE GYEOGG
0x6F493D	U+ACAC	# HANGUL SYLLABLE GYEON
0x6F493E	U+ACAF	# HANGUL SYLLABLE GYEOD
0x6F493F	U+ACB0	# HANGUL SYLLABLE GYEOL
0x6F4940	U+ACB8	# HANGUL SYLLABLE GYEOM
