0x213021	U+4E00	# CJK UNIFIED IDEOGRAPH-4E00
0x213022	U+4E01	# CJK UNIFIED IDEOGRAPH-4E01
0x213023	U+4E03	# CJK UNIFIED IDEOGRAPH-4E03
0x213024	U+4E09	# CJK UNIFIED IDEOGRAPH-4E09
0x213025	U+4E0B	# CJK UNIFIED IDEOGRAPH-4E0B
0x213026	U+4E0A	# CJK UNIFIED IDEOGRAPH-4E0A
0x213027	U+4E08	# CJK UNIFIED IDEOGRAPH-4E08
0x213028	U+4E11	# CJK UNIFIED IDEOGRAPH-4E11
0x213029	U+4E10	# CJK UNIFIED IDEOGRAPH-4E10
0x21302A	U+4E0D	# CJK UNIFIED IDEOGRAPH-4E0D
0x21302B	U+4E14	# CJK UNIFIED IDEOGRAPH-4E14
0x21302C	U+4E19	# CJK UNIFIED IDEOGRAPH-4E19
0x21302D	U+4E16	# CJK UNIFIED IDEOGRAPH-4E16
0x21302E	U+4E15	# CJK UNIFIED IDEOGRAPH-4E15
0x21302F	U+4E18	# CJK UNIFIED IDEOGRAPH-4E18
0x213030	U+4E1F	# CJK UNIFIED IDEOGRAPH-4E1F
0x213031	U+4E1E	# CJK UNIFIED IDEOGRAPH-4E1E
0x213032	U+4E26	# CJK UNIFIED IDEOGRAPH-4E26
0x213033	U+4E2B	# CJK UNIFIED IDEOGRAPH-4E2B
0x213034	U+4E2D	# CJK UNIFIED IDEOGRAPH-4E2D
0x213035	U+4E32	# CJK UNIFIED IDEOGRAPH-4E32
0x213036	U+51E1	# CJK UNIFIED IDEOGRAPH-51E1
0x213037	U+4E38	# CJK UNIFIED IDEOGRAPH-4E38
0x213038	U+4E39	# CJK UNIFIED IDEOGRAPH-4E39
0x213039	U+4E3B	# CJK UNIFIED IDEOGRAPH-4E3B
0x21303A	U+4E43	# CJK UNIFIED IDEOGRAPH-4E43
0x21303B	U+4E45	# CJK UNIFIED IDEOGRAPH-4E45
0x21303C	U+4E48	# CJK UNIFIED IDEOGRAPH-4E48
0x21303D	U+4E4B	# CJK UNIFIED IDEOGRAPH-4E4B
0x21303E	U+5C39	# CJK UNIFIED IDEOGRAPH-5C39
0x21303F	U+4E4F	# CJK UNIFIED IDEOGRAPH-4E4F
0x213040	U+4E4E	# CJK UNIFIED IDEOGRAPH-4E4E
0x213041	U+4E4D	# CJK UNIFIED IDEOGRAPH-4E4D
0x213042	U+4E52	# CJK UNIFIED IDEOGRAPH-4E52
0x213043	U+4E53	# CJK UNIFIED IDEOGRAPH-4E53
0x213044	U+4E56	# CJK UNIFIED IDEOGRAPH-4E56
0x213045	U+4E58	# CJK UNIFIED IDEOGRAPH-4E58
0x213046	U+4E59	# CJK UNIFIED IDEOGRAPH-4E59
0x213047	U+4E5D	# CJK UNIFIED IDEOGRAPH-4E5D
0x213048	U+4E5F	# CJK UNIFIED IDEOGRAPH-4E5F
0x213049	U+4E5E	# CJK UNIFIED IDEOGRAPH-4E5E
0x21304A	U+4E69	# CJK UNIFIED IDEOGRAPH-4E69
0x21304B	U+4E73	# CJK UNIFIED IDEOGRAPH-4E73
0x21304C	U+4E7E	# CJK UNIFIED IDEOGRAPH-4E7E
0x21304D	U+4E82	# CJK UNIFIED IDEOGRAPH-4E82
0x21304E	U+4E86	# CJK UNIFIED IDEOGRAPH-4E86
0x21304F	U+4E88	# CJK UNIFIED IDEOGRAPH-4E88
0x213050	U+4E8B	# CJK UNIFIED IDEOGRAPH-4E8B
0x213051	U+4E8C	# CJK UNIFIED IDEOGRAPH-4E8C
0x213052	U+4E8E	# CJK UNIFIED IDEOGRAPH-4E8E
