# Mapping for the non-Kanji, non-Hangul part of the Chinese Character Code for Information
#   Interchange (CCCII), otherwise known as the East Asian Character Code (EACC).
#   Those plane 73 mappings which can just be passed through to a JIS X 0208 table are omitted.
#   (I am aware that the non-Kanji part includes duplicates of certain Kanji.)
#
# Sources consulted (and referenced below):
#   Koha Taiwan supplied Encode::HanExtra mappings:
#     https://metacpan.org/source/AUDREYT/Encode-HanExtra-0.23
#   Library of Congress mappings:
#     http://memory.loc.gov/diglib/codetables/eacc2uni.txt
#   Hong Kong University mappings:
#     http://hkiug-archive.lib.hku.hk/unicode/hkiug_cjk_codetable-1.0.5.html
#   BDF font distributed by Yasuoka-san:
#     http://kanji.zinbun.kyoto-u.ac.jp/~yasuoka/ftp/fonts/cccii64.bdf.Z
#   Ken Lunde's CJK Information Processing (O'Reilly), 2009 ed. (though this did not contribute
#     mapping information in any way)

# Mathematical part. Excluded entirely by the Library of Congress subset. The Hong Kong University
#   variant includes an entirely different layout in this row instead. I am deviating from the
#   Koha Taiwan supplied Encode::HanExtra mappings by using a different mapping of the angle
#   bracket characters, thus de-duplicating them from the JIS angle brackets in plane 73, which are
#   favoured by the other mappings. I am also adding mappings for the characters omitted by the 
#   Koha mapping.
0x212221	U+221E	# INFINITY
0x212222	U+FF0B	# FULLWIDTH PLUS SIGN
0x212223	U+2212	# MINUS SIGN
0x212224	U+00B1	# PLUS-MINUS SIGN
0x212225	U+00D7	# MULTIPLICATION SIGN
0x212226	U+2219	# BULLET OPERATOR
0x212227	U+00F7	# DIVISION SIGN
0x212228	U+2215	# DIVISION SLASH
0x212229	U+FF1D	# FULLWIDTH EQUALS SIGN
0x21222A	U+2260	# NOT EQUAL TO
0x21222B	U+2261	# IDENTICAL TO
0x21222C	U+2248	# ALMOST EQUAL TO
0x21222D	U+223C	# TILDE OPERATOR
0x21222E	U+221D	# PROPORTIONAL TO
0x21222F	U+FF1C	# FULLWIDTH LESS-THAN SIGN
0x212230	U+FF1E	# FULLWIDTH GREATER-THAN SIGN
0x212231	U+226E	# NOT LESS-THAN
0x212232	U+226F	# NOT GREATER-THAN
0x212233	U+2264	# LESS-THAN OR EQUAL TO
0x212234	U+2265	# GREATER-THAN OR EQUAL TO
0x212235	U+226A	# MUCH LESS-THAN
0x212236	U+226B	# MUCH GREATER-THAN
0x212237	U+2202	# PARTIAL DIFFERENTIAL
0x212238	U+222B	# INTEGRAL
0x212239	U+0394	# GREEK CAPITAL LETTER DELTA
0x21223A	U+2206	# INCREMENT
0x21223B	U+2207	# NABLA
0x21223C	U+25AB	# WHITE SMALL SQUARE
0x21223D	U+2220	# ANGLE
0x21223E	U+22A4	# DOWN TACK
0x21223F	U+2225	# PARALLEL TO
0x212240	U+2245	# APPROXIMATELY EQUAL TO
0x212241	U+225E	# MEASURED BY
0x212242	U+2234	# THEREFORE
0x212243	U+2203	# THERE EXISTS
0x212244	U+2200	# FOR ALL
0x212245	U+222A	# UNION
0x212246	U+2229	# INTERSECTION
0x212247	U+2282	# SUBSET OF
0x212248	U+2283	# SUPERSET OF
0x212249	U+21D2	# RIGHTWARDS DOUBLE ARROW
0x21224A	U+21D4	# LEFT RIGHT DOUBLE ARROW
0x21224B	U+220B	# CONTAINS AS MEMBER
0x21224C	U+2208	# ELEMENT OF
0x21224D	U+2209	# NOT AN ELEMENT OF
0x21224E	U+2211	# N-ARY SUMMATION
0x21224F	U+33D2	# SQUARE LOG
0x212250	U+33D1	# SQUARE LN
0x212251	U+212F	# SCRIPT SMALL E
0x212252	U+03C0	# GREEK SMALL LETTER PI
0x212253	U+221A	# SQUARE ROOT
0x212254	U+FE15	# PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK # i.e. a right-aligned !
0x212255	U+23B8	# LEFT VERTICAL BOX LINE
0x212256	U+23B9	# RIGHT VERTICAL BOX LINE
0x212257	U+27E8	# MATHEMATICAL LEFT ANGLE BRACKET
0x212258	U+27E9	# MATHEMATICAL RIGHT ANGLE BRACKET

# ASCII-esque part. Several punctuation seemingly duplicate other parts.
# I'm mapping to alternative Unicode, mainly from Small Form Variants, for those cases, since the
#   Library of Congress subset seems to exclude these ones where alternatives exist. The 
#   Hong Kong University version follows the Library of Congress in this regard.
# On the other hand, the Koha Taiwan supplied Encode::HanExtra mappings favour these ones (mapping 
#   them mostly to ASCII) and exclude the alternatives, so it is possible that no good solution 
#   exists here... mapping DBCS (or TBCS) to ASCII feels like a bad idea for security...
#0x212320	U+3000	# IDEOGRAPHIC SPACE # Documented by LoC as used by some implementations.
0x212321	U+FE57	# SMALL EXCLAMATION MARK
#0x212321	U+3000	# IDEOGRAPHIC SPACE # ANSI mapping
0x212322	U+FF02	# FULLWIDTH QUOTATION MARK
0x212323	U+FE5F	# SMALL NUMBER SIGN
0x212324	U+FE69	# SMALL DOLLAR SIGN
0x212325	U+FE6A	# SMALL PERCENT SIGN
0x212326	U+FE60	# SMALL AMPERSAND
0x212327	U+FF07	# FULLWIDTH APOSTROPHE
