# Some additional places where old versions of CCCII (such as upon which EACC was based) include
#   a different glyph compared to later versions of CCCII.

0x2D3022 U+673E
0x2D3023 U+67D2
0x2D3028 U+919C
0x2D3035 U+26980
0x2D3325 U+9678
0x2D336D U+207ED
0x2D3448 U+2090E
0x2D344D U+2CEFB
0x2D3474 U+21596
0x2D3678 U+20EEE
0x2D3C57 U+384C
0x2D7557 U+363A
0x2E2553 U+2217D
0x2E334F U+6840
0x2E7670 U+26647
0x2F2557 U+26EC0
0x305337 U+243DB
0x30782A U+25CA8
0x333044 U+209AC
0x333329 U+2022F+F87F
0x33336D U+207FB
0x333441 U+2E39B
0x333473 U+286AB
0x333646 U+8B2B
0x333C65 U+200B7+F87F
0x335070 U+25FD3
0x335B69 U+282A9
0x393240 U+24C07+F87F
0x393368 U+5254
0x39347D U+8460
0x393646 U+8B81
0x395426 U+2940D
0x41514A U+296E7
0x4B3E6F U+22862
0x574F22 U+25745
