# Conversion table for CJK Components from the CNS 11643 Private Use Area to corresponding Unicode.
# Note on source-reference notations for CNS 11643 components: TU-F6000 = TCP-00001 = T1-3521
# Not-yet-allocated Unicode codepoints commented out below follow IRGN2878R2.
#   https://www.unicode.org/irg/docs/n2878r2-CJKComponents.pdf
#
TU-F6000 U+2F00
TU-F6001 U+31C0
TU-F6002 U+2F01
TU-F6003 U+31D3
TU-F6004 U+31D2
TU-F6005 U+31D4
TU-F6006 U+31CF
TU-F6007 U+2F04
TU-F6008 U+2E83
TU-F6009 U+2F05
TU-F600A U+31C6
TU-F600B U+31DE
TU-F600C U+2E84
TU-F600D U+31D7
TU-F600E U+31C4
TU-F600F U+2E82
TU-F6010 U+31C7
TU-F6011 U+31DD
TU-F6012 U+2F06
TU-F6013 U+2F17
TU-F6014 U+4E05
TU-F6015 U+2F1A
TU-F6016 U+20087
TU-F6017 U+5315
#TU-F6018 U+2FB50
#TU-F6019 U+2FB51
#TU-F601A U+2FB54
TU-F601B U+2F15
TU-F601C U+2F16
TU-F601D U+4E03
#TU-F601E U+2FAA3
TU-F601F U+4E01
TU-F6020 U+4E02
#TU-F6021 U+2FAA8
#TU-F6022 U+2FB08
#TU-F6023 U+2FB09
TU-F6024 U+2F18
TU-F6025 U+2E8A
TU-F6026 U+2F0C
TU-F6027 U+2E86
#TU-F6028 U+2FB33
TU-F6029 U+20089
#TU-F602A U+2FAE8
TU-F602B U+2E81
TU-F602C U+2F08
TU-F602D U+2E85
#TU-F602E U+2FB19
TU-F602F U+2F0B
#TU-F6030 U+2FB26
#TU-F6031 U+2FB1C
TU-F6032 U+2F0A
#TU-F6033 U+2FB25
TU-F6034 U+4E42
TU-F6035 U+3405
TU-F6036 U+2F09
#TU-F6037 U+2FB1D
TU-F6038 U+2F0F
TU-F6039 U+20627
#TU-F603A U+2FB48
TU-F603B U+2E87
#TU-F603C U+2FB4D
#TU-F603D U+2FAED
TU-F603E U+2E88
TU-F603F U+2F13
#TU-F6040 U+2FAEB
TU-F6041 U+2090E
TU-F6042 U+2F07
#TU-F6043 U+2FAEA
TU-F6044 U+2F0E
TU-F6045 U+4E37
TU-F6046 U+2E80
TU-F6047 U+2F0D
#TU-F6048 U+2FB02
#TU-F6049 U+2FB8B
TU-F604A U+2F19
TU-F604B U+2E8B
#TU-F604C U+2FB5E
#TU-F604D U+2FB07
TU-F604E U+4E29
TU-F604F U+2F10
TU-F6050 U+2F11
TU-F6051 U+2E89
TU-F6052 U+2F12
TU-F6053 U+2F1C
#TU-F6054 U+2FB60
#TU-F6055 U+2FB61
TU-F6056 U+4E43
TU-F6057 U+2F1B
TU-F6058 U+9FB4
TU-F6059 U+4E5D
#TU-F605A U+2FB04
TU-F605B U+4E5C
TU-F605C U+4E86
TU-F605D U+5DDC
TU-F605E U+2F32
TU-F605F U+4E8E
TU-F6060 U+30001
#TU-F6061 U+2FAA6
TU-F6062 U+2F1F
#TU-F6063 U+2FB75
TU-F6064 U+2F20
TU-F6065 U+2F2F
#TU-F6066 U+2FB8A
TU-F6067 U+2EBE
TU-F6068 U+2F24
#TU-F6069 U+2FB81
TU-F606A U+2F2A
TU-F606B U+2F36
TU-F606C U+4E0C
TU-F606D U+4E08
TU-F606E U+3404
TU-F606F U+30002
