# Table for the 94×94 character set shown in Appendix A of IRGN2808. The private-use area character
#   U+F87F is appended in cases where the Unicode mapping shown is approximate.
# See: https://www.unicode.org/irg/docs/n2808-GSourceChanges.pdf

0x3021	U+4F15
0x3022	U+7AA3
0x3023	U+7AB8
0x3024	U+772C
0x3025	U+5F36
0x3026	U+9CC0
0x3027	U+5DC9
0x3028	U+5F0F
0x3029	U+90FF
0x302A	U+60C7
0x302B	U+4986
0x302C	U+7C03
0x302D	U+97A1
0x302E	U+73A6
0x302F	U+911C
0x3030	U+5D5A
0x3031	U+596D
0x3032	U+9E2E
0x3033	U+95FF
0x3034	U+9C80
0x3035	U+65F8
0x3036	U+98BA
0x3037	U+73E3
0x3038	U+9770
0x3039	U+7B93
0x303A	U+531C
0x303B	U+6F5F
0x303C	U+749F
0x303D	U+5AAD
0x303E	U+4FF6
0x303F	U+9899
0x3040	U+6D50
0x3041	U+9B46
0x3042	U+659D
0x3043	U+742F
0x3044	U+55DE
0x3045	U+711C
0x3046	U+6294
0x3047	U+4EB6
0x3048	U+69C3
0x3049	U+8300
0x304A	U+90A0
0x304B	U+90E4
0x304C	U+5AEA
0x304D	U+7AD1
0x304E	U+6D65
0x304F	U+55D0
0x3050	U+79A4
0x3051	U+6D28
0x3052	U+9574
0x3053	U+665E
0x3054	U+756F
0x3055	U+8E5A
0x3056	U+76E6
0x3057	U+67C8
0x3058	U+6767
0x3059	U+7FDA
0x305A	U+5BA7
0x305B	U+7C20
0x305C	U+5846
0x305D	U+8D6A
0x305E	U+69DC
0x305F	U+6CA8
0x3060	U+63F3
0x3061	U+6D61
0x3062	U+700D
0x3063	U+9A8D
0x3064	U+89F1
0x3065	U+9E30
0x3066	U+5CE7
0x3067	U+74A0
0x3068	U+9978
0x3069	U+794E
0x306A	U+63FE
0x306B	U+6C67
0x306C	U+6BD0
0x306D	U+6F75
0x306E	U+63B1
0x306F	U+6812
0x3070	U+6E5C
0x3071	U+92C6
0x3072	U+9E3B
0x3073	U+77FB
0x3074	U+5684
0x3075	U+778B
0x3076	U+5245
0x3077	U+5621
0x3078	U+69DA
0x3079	U+8313
0x307A	U+7EB4
0x307B	U+88AA
0x307C	U+7424
0x307D	U+68FB
0x307E	U+85E0
0x3121	U+785A
0x3122	U+7444
0x3123	U+5787
0x3124	U+6E72
0x3125	U+7407
0x3126	U+5BAC
0x3127	U+5D4E
0x3128	U+752A
0x3129	U+9E61
0x312A	U+60D3
0x312B	U+98D4
0x312C	U+90C3
0x312D	U+7440
0x312E	U+73FD
0x312F	U+7F7D
0x3130	U+52CD
