# "Unified Japanese IT Vendors Contemporary Ideographs 1993" mapped to Unicode codepoints.
#
# Best as I can ascertain, this is a largely artifical or fictitious ISO/IEC 2022 (ECMA-35)
# based charset, i.e. one which was never used anywhere (it has no ISO-IR registration,
# and EUC-JP uses all four G-sets already so there's no provision for using it from there
# either).  It may have been created purely as an impetus for getting these characters into
# Unicode; they appear in CJK Extension A, except for two which were already present as
# "compatibility" ideographs sourced from IBM Japan (they are two of the twelve that are
# actually CJK Unified Ideographs despite being in the CJK Compatibility Ideographs block).
# The Han'yō Denshi Programme uses a version of this which seems somewhat larger than the
# version used in IRG/Unihan source references, with additional characters which appear in
# CJK Extension A also included.
#
# Information sources:
# - https://unicode.org/Public/17.0.0/ucd/Unihan.zip (file Unihan_IRGSources.txt)
#   - Prefix `JA-` under property `kIRG_JSource`
# - https://www.unicode.org/wg2/iso10646/edition5/data/JIS-X-0213-FromPrevious.txt
#   - Prefix `JA-`
# - https://www.unicode.org/ivd/data/2025-07-14/IVD_Sequences.txt
#   - Prefix `IA` under collection `Hanyo-Denshi`
# - https://github.com/cjkvi/cjkvi-data/blob/c9b9359a46d720f5a5a81d85cb5e79e93b3efdcf/hd2ucs.txt
#   - Prefix `IA`
#
0x2121	U+3400
0x2122	U+3402
0x2123	U+3404
0x2124	U+3405
0x2125	U+3427
0x2126	U+342A
0x2127	U+342C
0x2128	U+342D
0x2129	U+342E
0x212A	U+342F
0x212B	U+3430
0x212C	U+3436
0x212D	U+343A
0x212E	U+3441
0x212F	U+3442
0x2130	U+3445
0x2131	U+3450
0x2132	U+3452
0x2133	U+3453
0x2134	U+3458
0x2135	U+345E
0x2136	U+3466
0x2137	U+3467
0x2138	U+3468
0x2139	U+346A
0x213A	U+3464
0x213B	U+3478
0x213C	U+3479
0x213D	U+34AB
0x213E	U+34B4
0x213F	U+34B6
0x2140	U+34B5
0x2141	U+34BC
0x2142	U+34C1
0x2143	U+34C3
0x2144	U+34D7
0x2145	U+34DB
0x2146	U+34DD
0x2147	U+34EA
0x2148	U+34EC
0x2149	U+34F2
0x214A	U+3501
0x214B	U+3513
0x214C	U+3515
0x214D	U+3517
0x214E	U+351A
0x214F	U+351C
0x2150	U+351F
0x2151	U+3526
0x2152	U+352B
0x2153	U+352C
0x2154	U+3530
0x2155	U+3531
0x2156	U+3533
0x2157	U+3534
0x2158	U+3535
0x2159	U+353A
0x215A	U+353C
0x215B	U+353E
0x215C	U+3543
0x215D	U+3553
0x215E	U+355A
0x215F	U+355B
0x2160	U+355C
0x2161	U+355D
0x2162	U+355E
0x2163	U+3563
0x2164	U+3566
0x2165	U+3567
0x2166	U+356F
0x2167	U+3575
0x2169	U+3579
0x216A	U+357D
0x216B	U+3596
0x216C	U+35A2
0x216D	U+35AB
0x216E	U+35B6
0x216F	U+35C1
0x2170	U+35C6
0x2171	U+35C7
0x2172	U+35D4
0x2173	U+35D6
0x2174	U+35DB
0x2175	U+35E4
0x2176	U+35EB
