0x2121	U+3000	# IDEOGRAPHIC SPACE
0x2122	U+3001	# IDEOGRAPHIC COMMA
0x2123	U+3002	# IDEOGRAPHIC FULL STOP
0x2124	U+FF0C	# FULLWIDTH COMMA
0x2125	U+FF0E	# FULLWIDTH FULL STOP
0x2126	U+00B7	# MIDDLE DOT
0x2127	U+FF1A	# FULLWIDTH COLON
0x2128	U+FF1B	# FULLWIDTH SEMICOLON
0x2129	U+FF1F	# FULLWIDTH QUESTION MARK
0x212A	U+FF01	# FULLWIDTH EXCLAMATION MARK
0x212B	U+2025	# TWO DOT LEADER
0x212C	U+2026	# HORIZONTAL ELLIPSIS
0x212D	U+FF5E	# FULLWIDTH TILDE
0x212E	U+3003	# DITTO MARK
0x212F	U+2015	# HORIZONTAL BAR
0x2130	U+2010	# HYPHEN
0x2131	U+FF3F	# FULLWIDTH LOW LINE
0x2132	U+FFE3	# FULLWIDTH MACRON
0x2133	U+FF0F	# FULLWIDTH SOLIDUS
0x2134	U+FF3C	# FULLWIDTH REVERSE SOLIDUS
0x2135	U+FF5C	# FULLWIDTH VERTICAL LINE
0x2136	U+2225	# PARALLEL TO
0x2137	U+2215	# DIVISION SLASH
0x2138	U+2216	# SET MINUS
0x2139	U+309B	# KATAKANA-HIRAGANA VOICED SOUND MARK
0x213A	U+309C	# KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0x213B	U+00B4	# ACUTE ACCENT
0x213C	U+FF40	# FULLWIDTH GRAVE ACCENT
0x213D	U+00A8	# DIAERESIS
0x213E	U+FF3E	# FULLWIDTH CIRCUMFLEX ACCENT
0x213F	U+02C7	# CARON
0x2140	U+FF0E+F87E	# FULLWIDTH FULL STOP + transcoding hint for vertical form
0x2141	U+FE10	# PRESENTATION FORM FOR VERTICAL COMMA
0x2142	U+FE12	# PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC FULL STOP
0x2143	U+FE11	# PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC COMMA
0x2144	U+FE19	# PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
0x2145	U+301C+F87E	# WAVE DASH + transcoding hint for vertical form
0x2146	U+2018	# LEFT SINGLE QUOTATION MARK
0x2147	U+2019	# RIGHT SINGLE QUOTATION MARK
0x2148	U+201C	# LEFT DOUBLE QUOTATION MARK
0x2149	U+201D	# RIGHT DOUBLE QUOTATION MARK
0x214A	U+FF08	# FULLWIDTH LEFT PARENTHESIS
0x214B	U+FF09	# FULLWIDTH RIGHT PARENTHESIS
0x214C	U+3014	# LEFT TORTOISE SHELL BRACKET
0x214D	U+3015	# RIGHT TORTOISE SHELL BRACKET
0x214E	U+FF3B	# FULLWIDTH LEFT SQUARE BRACKET
0x214F	U+FF3D	# FULLWIDTH RIGHT SQUARE BRACKET
0x2150	U+FF5B	# FULLWIDTH LEFT CURLY BRACKET
0x2151	U+FF5D	# FULLWIDTH RIGHT CURLY BRACKET
0x2152	U+3008	# LEFT ANGLE BRACKET
0x2153	U+3009	# RIGHT ANGLE BRACKET
0x2154	U+300A	# LEFT DOUBLE ANGLE BRACKET
0x2155	U+300B	# RIGHT DOUBLE ANGLE BRACKET
0x2156	U+300C	# LEFT CORNER BRACKET
0x2157	U+300D	# RIGHT CORNER BRACKET
0x2158	U+300E	# LEFT WHITE CORNER BRACKET
0x2159	U+300F	# RIGHT WHITE CORNER BRACKET
0x215A	U+3010	# LEFT BLACK LENTICULAR BRACKET
0x215B	U+3011	# RIGHT BLACK LENTICULAR BRACKET
0x215C	U+F860+002E+0029	# <F105>
0x215D	U+F860+002E+27EB	# <F106>
0x215E	U+201A	# SINGLE LOW-9 QUOTATION MARK
0x215F	U+2018+F874	# LEFT SINGLE QUOTATION MARK + transcoding hint for left position
0x2160	U+201E	# DOUBLE LOW-9 QUOTATION MARK
0x2161	U+201C+F874	# LEFT DOUBLE QUOTATION MARK + transcoding hint for left position
0x2162	U+FE35	# PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
0x2163	U+FE36	# PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS
0x2164	U+FE39	# PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET
0x2165	U+FE3A	# PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET
0x2166	U+FE47	# PRESENTATION FORM FOR VERTICAL LEFT SQUARE BRACKET
0x2167	U+FE48	# PRESENTATION FORM FOR VERTICAL RIGHT SQUARE BRACKET
0x2168	U+FE37	# PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET
0x2169	U+FE38	# PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET
0x216A	U+FE3F	# PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET
0x216B	U+FE40	# PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET
0x216C	U+FE3D	# PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET
0x216D	U+FE3E	# PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET
0x216E	U+FE41	# PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET
0x216F	U+FE42	# PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET
0x2170	U+FE43	# PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET
0x2171	U+FE44	# PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
0x2172	U+FE3B	# PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET
0x2173	U+FE3C	# PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET
0x2221	U+FF0B	# FULLWIDTH PLUS SIGN
0x2222	U+FF0D	# FULLWIDTH HYPHEN-MINUS
0x2223	U+00B1	# PLUS-MINUS SIGN
0x2224	U+00D7	# MULTIPLICATION SIGN
0x2225	U+00F7	# DIVISION SIGN
0x2226	U+FF1D	# FULLWIDTH EQUALS SIGN
0x2227	U+2260	# NOT EQUAL TO
0x2228	U+FF1C	# FULLWIDTH LESS-THAN SIGN
0x2229	U+FF1E	# FULLWIDTH GREATER-THAN SIGN
0x222A	U+2266	# LESS-THAN OVER EQUAL TO
0x222B	U+2267	# GREATER-THAN OVER EQUAL TO
0x222C	U+221E	# INFINITY
0x222D	U+2234	# THEREFORE
0x222E	U+2642	# MALE SIGN
0x222F	U+2640	# FEMALE SIGN
0x2230	U+2220	# ANGLE
0x2231	U+22A5	# UP TACK
0x2232	U+2312	# ARC
0x2233	U+2202	# PARTIAL DIFFERENTIAL
0x2234	U+2207	# NABLA
0x2235	U+2261	# IDENTICAL TO
0x2236	U+2252	# APPROXIMATELY EQUAL TO OR THE IMAGE OF
0x2237	U+2248	# ALMOST EQUAL TO
0x2238	U+226A	# MUCH LESS-THAN
0x2239	U+226B	# MUCH GREATER-THAN
0x223A	U+221A	# SQUARE ROOT
0x223B	U+223D	# REVERSED TILDE
0x223C	U+221D	# PROPORTIONAL TO
0x223D	U+2235	# BECAUSE
0x223E	U+222B	# INTEGRAL
0x223F	U+222C	# DOUBLE INTEGRAL
0x2240	U+222E	# CONTOUR INTEGRAL
0x2241	U+2208	# ELEMENT OF
0x2242	U+220B	# CONTAINS AS MEMBER
0x2243	U+2286	# SUBSET OF OR EQUAL TO
0x2244	U+2287	# SUPERSET OF OR EQUAL TO
0x2245	U+2282	# SUBSET OF
0x2246	U+2283	# SUPERSET OF
0x2247	U+2209	# NOT AN ELEMENT OF
0x2248	U+220C	# DOES NOT CONTAIN AS MEMBER
0x2249	U+2288	# NEITHER A SUBSET OF NOR EQUAL TO
0x224A	U+2289	# NEITHER A SUPERSET OF NOR EQUAL TO
0x224B	U+2284	# NOT A SUBSET OF
0x224C	U+2285	# NOT A SUPERSET OF
0x224D	U+222A	# UNION
0x224E	U+2229	# INTERSECTION
0x224F	U+2227	# LOGICAL AND
0x2250	U+2228	# LOGICAL OR
0x2251	U+FFE2	# FULLWIDTH NOT SIGN
0x2252	U+21D2	# RIGHTWARDS DOUBLE ARROW
0x2253	U+21D4	# LEFT RIGHT DOUBLE ARROW
0x2254	U+2200	# FOR ALL
0x2255	U+2203	# THERE EXISTS
0x2256	U+2211	# N-ARY SUMMATION
