# Rows 1 through 14 (additional Greek or Roman letters and symbols) of KS X 1002 (KS C 5657)
# This is not an official table nor is it deployed in any other piece of software, which isn't
#   saying much, since (in stark contrast to its Japanese counterpart JIS X 0212) KS X 1002 is
#   basically vapourware, of mainly academic or hobbyist interest.

0x2121	U+00C0
0x2122	U+00C1
0x2123	U+00C2
0x2124	U+00C3
0x2125	U+00C4
0x2126	U+00C5
0x2127	U+00C7
0x2128	U+00C8
0x2129	U+00C9
0x212A	U+00CA
0x212B	U+00CB
0x212C	U+00CC
0x212D	U+00CD
0x212E	U+00CE
0x212F	U+00CF
0x2130	U+0110
0x2131	U+00D1
0x2132	U+00D2
0x2133	U+00D3
0x2134	U+00D4
0x2135	U+00D5
0x2136	U+00D6
0x2138	U+00D9
0x2139	U+00DA
0x213A	U+00DB
0x213B	U+00DC
0x213C	U+00DD
0x213D	U+00E0
0x213E	U+00E1
0x213F	U+00E2
0x2140	U+00E3
0x2141	U+00E4
0x2142	U+00E5
0x2143	U+00E7
0x2144	U+00E8
0x2145	U+00E9
0x2146	U+00EA
0x2147	U+00EB
0x2148	U+00EC
0x2149	U+00ED
0x214A	U+00EE
0x214B	U+00EF
0x214C	U+00F0
0x214D	U+00F1
0x214E	U+00F2
0x214F	U+00F3
0x2150	U+006F+0316
0x2151	U+006F+0330
0x2152	U+006F+032C
0x2154	U+00F9
0x2155	U+00FA
0x2156	U+00FB
0x2157	U+00FC
0x2158	U+00FD
0x2159	U+00FF
0x215A	U+0100
0x215B	U+0108
0x215C	U+010A
0x215D	U+0112
0x215E	U+0116
0x215F	U+011C
0x2162	U+01E6
0x2167	U+0101
0x2168	U+0109
0x2169	U+010B
0x216A	U+0113
0x216B	U+0117
0x216C	U+011D
0x216F	U+01E7
0x2170	U+0120
0x2171	U+0122
0x2172	U+0124
0x2173	U+0128
0x2174	U+012A
0x2175	U+0130
0x2177	U+0121
0x2178	U+0123
0x2179	U+0125
0x217A	U+2122
0x217B	U+0129
0x217C	U+012B
0x2222	U+012E
0x2223	U+0134
0x2224	U+0136
0x2225	U+013B
0x2226	U+0145
0x2227	U+014C
0x2228	U+0138
0x2229	U+012F
0x222A	U+0135
0x222B	U+0137
0x222C	U+0140
0x222D	U+013C
0x222E	U+0146
0x222F	U+014D
0x2230	U+0104
0x2231	U+013D
0x2232	U+015A
0x2233	U+015C
0x2234	U+0160
0x2235	U+015E
0x2236	U+0164
0x2237	U+0179
0x2238	U+017D
0x2239	U+017B
0x223A	U+0105
0x223B	U+013E
0x223C	U+015B
0x223D	U+015D
0x223E	U+0161
0x223F	U+015F
0x2240	U+0165
0x2241	U+017A
0x2242	U+017E
0x2243	U+017C
0x2244	U+0154
0x2245	U+0156
0x2246	U+0102
0x2247	U+0139
0x2248	U+0106
0x2249	U+010C
0x224A	U+0118
0x224B	U+011A
0x224C	U+010E
0x224D	U+0143
0x224E	U+0147
0x224F	U+0168
0x2250	U+0150
0x2251	U+016A
0x2252	U+016C
0x2253	U+0158
0x2254	U+016E
0x2255	U+0172
0x2256	U+0170
0x2257	U+0174
0x2258	U+0176
0x2259	U+0162
0x225A	U+0178
0x225B	U+0155
0x225C	U+0157
0x225D	U+0103
0x225E	U+013A
0x225F	U+0107
0x2260	U+010D
0x2261	U+0119
0x2262	U+011B
0x2263	U+010F
0x2264	U+0144
0x2265	U+0148
0x2266	U+0169
0x2267	U+0151
0x2268	U+016B
0x2269	U+016D
0x226A	U+0159
0x226B	U+016F
0x226C	U+0173
0x226D	U+0171
0x226E	U+0175
0x226F	U+0177
0x2270	U+0163
0x2271	U+01CE
0x2272	U+01CD
0x2273	U+0061+0331
0x2274	U+0041+0331
0x2275	U+1EA1
0x2276	U+1EA0
0x2277	U+0101+0331
0x2278	U+0100+0331
0x2279	U+0061+0327
0x227A	U+0041+0327
0x227B	U+0227
0x227C	U+0226
0x227D	U+0061+030B
0x2321	U+0041+030B
0x2322	U+0061+0313
0x2323	U+0041+0313
0x2324	U+0061+0312
0x2325	U+0041+0312
0x2326	U+0061+0313+0301
0x2327	U+0041+0313+0301
0x2328	U+01DF
0x2329	U+01DE
0x232A	U+01E1
0x232B	U+01E0
0x232C	U+01E3
0x232D	U+01E2
0x232E	U+01FD
0x232F	U+01FC
0x2330	U+01FB
0x2331	U+01FA
0x2332	U+1EA3
0x2333	U+1EA2
0x2334	U+1EA5
0x2335	U+1EA4
0x2336	U+1EA7
0x2337	U+1EA6
0x2338	U+1EA9
0x2339	U+1EA8
0x233A	U+1EAB
0x233B	U+1EAA
0x233C	U+1EAD
0x233D	U+1EAC
0x233E	U+1EAF
0x233F	U+1EAE
0x2340	U+1EB1
0x2341	U+1EB0
0x2342	U+1EB3
0x2343	U+1EB2
0x2344	U+1EB5
0x2345	U+1EB4
0x2346	U+1EB7
0x2347	U+1EB6
0x2348	U+1E03
0x2349	U+1E02
0x234A	U+1E07
0x234B	U+1E06
0x234C	U+1E05
0x234D	U+1E04
0x234E	U+1E09
0x234F	U+1E08
0x2350	U+1E0F
0x2351	U+1E0E
0x2352	U+1E0D
0x2353	U+1E0C
0x2354	U+1E11
0x2355	U+1E10
0x2356	U+0064+032F
0x2357	U+0044+032F
0x2358	U+0115
0x2359	U+0114
0x235A	U+0065+0331
0x235B	U+0045+0331
0x235C	U+1EB9
0x235D	U+1EB8
0x235E	U+1E15
0x235F	U+1E14
0x2360	U+1E17
0x2361	U+1E16
0x2362	U+0113+0331
0x2363	U+0112+0331
0x2364	U+0065+032F
0x2365	U+0045+032F
0x2366	U+1E1B
0x2367	U+1E1A
0x2368	U+0065+030D
0x2369	U+0045+030D
0x236A	U+0065+0329
0x236B	U+0045+0329
0x236C	U+1D24
0x236D	U+0229+030C
0x236E	U+0228+030C
0x236F	U+1EBB
0x2370	U+1EBA
0x2371	U+1EBD
0x2372	U+1EBC
0x2373	U+1EBF
0x2374	U+1EBE
0x2375	U+1EC1
0x2376	U+1EC0
0x2377	U+1EC3
0x2378	U+1EC2
0x2379	U+1EC5
0x237A	U+1EC4
0x237B	U+1EC7
0x237C	U+1EC6
0x237D	U+1E1F
0x237E	U+1E1E
0x2421	U+011F
0x2422	U+011E
0x2423	U+1E21
0x2424	U+1E20
0x2425	U+01E5
0x2426	U+01E4
0x2427	U+1E27
0x2428	U+1E26
0x2429	U+1E23
0x242A	U+1E22
0x242B	U+1E29
0x242C	U+1E28
0x242D	U+0068+0328
0x242E	U+0048+0328
0x242F	U+1E25
0x2430	U+1E24
0x2431	U+01D0
0x2432	U+01CF
0x2433	U+012D
0x2434	U+012C
0x2435	U+1E2D
0x2436	U+1E2C
0x2437	U+0069+0331
0x2438	U+0049+0331
0x2439	U+1E2F
0x243A	U+1E2E
0x243B	U+012B+0331
0x243C	U+012A+0331
0x243D	U+1EC9
0x243E	U+1EC8
0x243F	U+1ECB
0x2440	U+1ECA+0307
0x2441	U+01F0
0x2442	U+004A+030C
0x2443	U+1E31
0x2444	U+1E30
0x2445	U+01E9
0x2446	U+01E8
0x2447	U+1E35
0x2448	U+1E34
0x2449	U+1E33
0x244A	U+1E32
0x244B	U+006B+0328
0x244C	U+004B+0328
0x244D	U+006C+032F
0x244E	U+004C+032F
0x244F	U+1E3B
0x2450	U+1E3A
0x2451	U+1E37
0x2452	U+1E36
0x2453	U+1E39
0x2454	U+1E38
0x2455	U+1E3F
0x2456	U+1E3E
0x2457	U+1E41
0x2458	U+1E40
0x2459	U+0271
0x245A	U+2C6E
0x245B	U+006D+030D
0x245C	U+004D+030D
0x245D	U+1E45
0x245E	U+1E44
0x245F	U+006E+032F
0x2460	U+004E+032F
0x2461	U+1E49
0x2462	U+1E48
0x2463	U+1E47
0x2464	U+1E46
0x2465	U+006E+030D
0x2466	U+004E+030D
0x2467	U+01D2
0x2468	U+01D1
0x2469	U+014F
0x246A	U+014E
0x246B	U+006F+0331
0x246C	U+004F+0331
0x246D	U+1ECD
0x246E	U+1ECC
0x246F	U+1E4D
0x2470	U+1E4C
0x2471	U+1E4F
0x2472	U+1E4E
0x2473	U+1E51
0x2474	U+1E50
0x2475	U+1E53
0x2476	U+1E52
0x2477	U+014D+0331
0x2478	U+014C+0331
0x2479	U+01EB
0x247A	U+01EA
0x247B	U+006F+0329
0x247C	U+004F+0329
0x247D	U+01ED
0x247E	U+01EC
0x2521	U+01FF
0x2522	U+01FE
0x2523	U+1ECF
0x2524	U+1ECE
0x2525	U+1ED1
0x2526	U+1ED0
0x2527	U+1ED3
0x2528	U+1ED2
0x2529	U+1ED5
0x252A	U+1ED4
0x252B	U+1ED7
0x252C	U+1ED6
0x252D	U+1ED9
0x252E	U+1ED8
0x252F	U+01A1
0x2530	U+01A0
0x2531	U+1EDB
0x2532	U+1EDA
0x2533	U+1EDD
0x2534	U+1EDC
0x2535	U+1EDF
0x2536	U+1EDE
0x2537	U+1EE1
0x2538	U+1EE0
0x2539	U+1EE3
0x253A	U+1EE2
0x253B	U+1E55
0x253C	U+1E54
0x253D	U+1E59
0x253E	U+1E58
0x253F	U+1E5F
0x2540	U+1E5E
0x2541	U+1E5B
0x2542	U+1E5A
0x2543	U+1E5D
0x2544	U+1E5C
0x2545	U+1E61
0x2546	U+1E60
0x2547	U+1E63
0x2548	U+1E62
0x2549	U+0073+0328
0x254A	U+0053+0328
0x254B	U+0219
0x254C	U+0218
0x254D	U+0073+0300
0x254E	U+0053+0300
0x254F	U+1E67
0x2550	U+1E68
0x2551	U+1E69
0x2552	U+0053+032F+0323
0x2553	U+1E6F
0x2554	U+1E6E
0x2555	U+1E6D
0x2556	U+1E6C
0x2557	U+0074+032F
0x2558	U+0054+032F
0x2559	U+01D4
0x255A	U+01D3
0x255B	U+1EE5
0x255C	U+1EE4
0x255D	U+1E73
0x255E	U+1E72
0x255F	U+1E75
0x2560	U+1E74
0x2561	U+0075+032F
0x2562	U+0055+032F
0x2563	U+0075+0307
0x2564	U+0055+0307
0x2565	U+01D8
0x2566	U+01D7
0x2567	U+1E79
0x2568	U+1E78
0x2569	U+1E7B
0x256A	U+1E7A
0x256B	U+016B+0331
0x256C	U+016A+0331
0x256D	U+01DC
0x256E	U+01DB
0x256F	U+01DA
0x2570	U+01D9
0x2571	U+01D6
0x2572	U+01D5
0x2573	U+1EE7
0x2574	U+1EE6
0x2575	U+01B0
0x2576	U+01AF
0x2577	U+1EE9
0x2578	U+1EE8
0x2579	U+1EEB
0x257A	U+1EEA
0x257B	U+1EED
0x257C	U+1EEC
0x257D	U+1EEF
0x257E	U+1EEE
0x2621	U+1EF1
0x2622	U+1EF0
0x2623	U+1E7D
0x2624	U+1E7C
0x2625	U+1E7F
0x2626	U+1E7E
0x2627	U+1E83
0x2628	U+1E82
0x2629	U+1E87
0x262A	U+1E86
0x262B	U+1E85
0x262C	U+1E84
0x262D	U+1E89
0x262E	U+1E88
0x262F	U+1E8B
0x2630	U+1E8A
0x2631	U+1E8D
0x2632	U+1E8C
0x2633	U+1EF3
0x2634	U+1EF2
0x2635	U+1E8F
0x2636	U+1E8E
0x2637	U+0079+030D
0x2638	U+0059+030D
0x2639	U+1E91
0x263A	U+1E90
0x263B	U+007A+0306
0x263C	U+005A+0306
0x263D	U+1E95
0x263E	U+1E94
0x263F	U+1E93
0x2640	U+1E92
0x2641	U+01B6
0x2642	U+01B5
0x2643	U+0292
0x2644	U+01B7
0x2645	U+01F5
0x2646	U+01F4
0x2647	U+021D+0301
