# Rows 37 through 54 (obsolete syllable blocks unavailable in Johab) of KS X 1002 (KS C 5657)
# This is not an official table nor is it deployed in any other piece of software, which isn't
#   saying much, since (in stark contrast to its Japanese counterpart JIS X 0212) KS X 1002 is
#   basically vapourware, of mainly academic or hobbyist interest.

0x4521	U+1100+119E
0x4522	U+1100+119E+11A8
0x4523	U+1100+119E+11AB
0x4524	U+1100+119E+11AE
0x4525	U+1100+119E+11AF
0x4526	U+1100+119E+11B0
0x4527	U+1100+119E+11B1
0x4528	U+1100+119E+11B2
0x4529	U+1100+119E+11D5
0x452A	U+1100+119E+11D6
0x452B	U+1100+119E+11B3
0x452C	U+1100+119E+11D9
0x452D	U+1100+119E+11B7
0x452E	U+1100+119E+11B8
0x452F	U+1100+119E+11E3
0x4530	U+1100+119E+11E6
0x4531	U+1100+119E+11BA
0x4532	U+1100+119E+11E7
0x4533	U+1100+119E+11EB
0x4534	U+1100+119E+11BC
0x4535	U+1100+119E+11BD
0x4536	U+1100+119E+11BE
0x4537	U+1100+119E+11C0
0x4538	U+1100+11A1
0x4539	U+1100+11A1+11A8
0x453A	U+1100+11A1+11AB
0x453B	U+1100+11A1+11AF
0x453C	U+1100+11A1+11B7
0x453D	U+1100+11A1+11B8
0x453E	U+1100+11A1+11BA
0x453F	U+1100+11A1+11BC
0x4540	U+1100+11A1+11F1
0x4541	U+AC00+11C7
0x4542	U+AC00+11D9
0x4543	U+AC00+11DD
0x4544	U+AC00+11E6
0x4545	U+AC00+11E7
0x4546	U+AC00+11EB
0x4547	U+AC00+11F1
0x4548	U+AC70+11C7
0x4549	U+AC70+11D9
0x454A	U+AC70+11DD
0x454B	U+AC70+D7E3
0x454C	U+AC70+11E6
0x454D	U+AC70+11E7
0x454E	U+AC70+11EB
0x454F	U+ACA8+11E7
0x4550	U+ACA8+11EB
0x4551	U+ACA8+11F1
0x4552	U+ACE0+11D9
0x4553	U+ACE0+11DD
0x4554	U+ACE0+11E6
0x4555	U+ACE0+11EB
0x4556	U+ACE0+11F1
0x4557	U+AD50+11D9
0x4558	U+1100+1188
0x4559	U+AD6C+11C7
0x455A	U+AD6C+11D9
0x455B	U+AD6C+11DA
0x455C	U+AD6C+11E6
0x455D	U+ADC0+11C7
0x455E	U+ADC0+11D9
0x455F	U+1100+1194
0x4560	U+ADF8+11C7
0x4561	U+ADF8+11D9
0x4562	U+ADF8+11DD
0x4563	U+ADF8+11DF
0x4564	U+ADF8+11EB
0x4565	U+AE30+D7DB
0x4566	U+AE30+11E7
0x4567	U+AE30+11EB
0x4568	U+1101+119E
0x4569	U+1101+11A1
0x456A	U+AEF4+11D9
0x456B	U+AFB8+11D9
0x456C	U+B028+11E6
0x456D	U+111E+119E
0x456E	U+111E+11A1
0x456F	U+111E+1161
0x4570	U+111E+1161+11A8
0x4571	U+111E+1162
0x4572	U+111E+1165
0x4573	U+111E+1166
0x4574	U+111E+1166+11AF
0x4575	U+111E+1167
0x4576	U+111E+1167+11AB
0x4577	U+111E+1169
0x4578	U+111E+1169+11BA
0x4579	U+111E+116C
0x457A	U+111E+116E
0x457B	U+111E+116E+11AF
0x457C	U+111E+116E+11B7
0x457D	U+111E+118C
0x457E	U+111E+1171
0x4621	U+111E+1173
0x4622	U+111E+1173+11AB
0x4623	U+111E+1173+11AF
0x4624	U+111E+1173+11BA
0x4625	U+111E+1174
0x4626	U+111E+1174+11BA
0x4627	U+111E+1175
0x4628	U+111E+1175+11AF
0x4629	U+111E+1175+11BA
0x462A	U+1122+119E
0x462B	U+1122+119E+11AB
0x462C	U+1122+1161
0x462D	U+1122+1162
0x462E	U+1122+1162+11AB
0x462F	U+1122+1162+11BA
0x4630	U+1122+1165
0x4631	U+1122+1165+11BA
0x4632	U+1122+1166
0x4633	U+1122+1166+11AF
0x4634	U+1122+1167
0x4635	U+1122+1167+11BA
0x4636	U+1122+1168
0x4637	U+1122+1168+11BA
0x4638	U+1122+116E
0x4639	U+1122+116E+11AB
0x463A	U+1122+116E+11AF
0x463B	U+1122+116E+11B7
0x463C	U+1122+116E+11BA
0x463D	U+1122+118A
0x463E	U+1122+1171
0x463F	U+1122+1171+11AB
0x4640	U+1122+1173
0x4641	U+1122+1173+11AB
0x4642	U+1122+1173+11AF
0x4643	U+1122+1173+11B7
0x4644	U+1122+1174
0x4645	U+1122+1174+11AB
0x4646	U+1122+1174+11AF
0x4647	U+1122+1174+11B7
0x4648	U+1122+1174+11BA
0x4649	U+1122+1175
0x464A	U+1122+1175+11AF
0x464B	U+1122+1175+11B7
0x464C	U+112D+119E
0x464D	U+112D+119E+11A8
0x464E	U+112D+119E+11AB
0x464F	U+112D+119E+11AF
0x4650	U+112D+119E+11B7
0x4651	U+112D+119E+11BA
0x4652	U+112D+11A1
0x4653	U+112D+11A1+11AB
0x4654	U+112D+11A1+11AF
0x4655	U+112D+11A1+11BA
0x4656	U+112D+1161
0x4657	U+112D+1161+11A8
0x4658	U+112D+1161+11AB
0x4659	U+112D+1161+11AF
0x465A	U+112D+1161+11B7
0x465B	U+112D+1161+11B8
0x465C	U+112D+1161+11B9
0x465D	U+112D+1161+11E6
0x465E	U+112D+1161+11BA
0x465F	U+112D+1161+11BC
0x4660	U+112D+1162
0x4661	U+112D+1162+11AB
0x4662	U+112D+1162+11AF
0x4663	U+112D+1162+11BA
0x4664	U+112D+1165
0x4665	U+112D+1165+11A8
0x4666	U+112D+1165+11A9
0x4667	U+112D+1165+11AB
0x4668	U+112D+1165+11AF
0x4669	U+112D+1165+11B2
0x466A	U+112D+1165+11D5
0x466B	U+112D+1165+11B7
0x466C	U+112D+1165+11B8
0x466D	U+112D+1165+11E6
0x466E	U+112D+1165+11BA
0x466F	U+112D+1165+11E7
0x4670	U+112D+1165+11EB
0x4671	U+112D+1166
0x4672	U+112D+1166+11AB
0x4673	U+112D+1166+11AF
0x4674	U+112D+1167
0x4675	U+112D+1167+11AB
0x4676	U+112D+1167+11AF
0x4677	U+112D+1167+11BA
0x4678	U+112D+1167+11BC
0x4679	U+112D+1169
0x467A	U+112D+1169+11A8
0x467B	U+112D+1169+11AB
0x467C	U+112D+1169+11AE
0x467D	U+112D+1169+11AF
0x467E	U+112D+1169+11B3
0x4721	U+112D+1169+11B7
0x4722	U+112D+1169+11B8
0x4723	U+112D+1169+11BA
0x4724	U+112D+1169+11BC
0x4725	U+112D+1169+11BD
0x4726	U+112D+1169+11BE
0x4727	U+112D+116A
0x4728	U+112D+116A+11A8
0x4729	U+112D+116A+11BC
0x472A	U+112D+116B
0x472B	U+112D+116C
0x472C	U+112D+116C+11AF
0x472D	U+112D+116D
0x472E	U+112D+116D+11B7
0x472F	U+112D+116E
0x4730	U+112D+116E+11A8
0x4731	U+112D+116E+11AB
0x4732	U+112D+116E+11AE
0x4733	U+112D+116E+11AF
0x4734	U+112D+116E+11D9
0x4735	U+112D+116E+11B7
0x4736	U+112D+116E+11B8
0x4737	U+112D+116E+11BA
0x4738	U+112D+116E+11BC
0x4739	U+112D+116E+11BD
0x473A	U+112D+116F
0x473B	U+112D+116F+11BC
0x473C	U+112D+1170
0x473D	U+112D+1170+11AB
0x473E	U+112D+1171
0x473F	U+112D+1171+11AB
0x4740	U+112D+1172
0x4741	U+112D+1172+11B7
0x4742	U+112D+1173
0x4743	U+112D+1173+11A8
0x4744	U+112D+1173+11AB
0x4745	U+112D+1173+11AD
0x4746	U+112D+1173+11AE
0x4747	U+112D+1173+11AF
0x4748	U+112D+1173+11B6
0x4749	U+112D+1173+11B7
0x474A	U+112D+1173+11BA
0x474B	U+112D+1173+11EB
0x474C	U+112D+1173+11BC
0x474D	U+112D+1174
0x474E	U+112D+1174+11AB
0x474F	U+112D+1174+11AF
0x4750	U+112D+1174+11BA
0x4751	U+112D+1175
0x4752	U+112D+1175+11AB
0x4753	U+112D+1175+11AF
0x4754	U+112D+1175+11B7
0x4755	U+112D+1175+11B8
0x4756	U+112D+1175+11BA
0x4757	U+1133+1162
0x4758	U+1133+1173
0x4759	U+1102+119E
0x475A	U+1102+119E+11A8
0x475B	U+1102+119E+11AB
0x475C	U+1102+119E+11AE
0x475D	U+1102+119E+11AF
0x475E	U+1102+119E+11B0
0x475F	U+1102+119E+11B1
0x4760	U+1102+119E+11B2
0x4761	U+1102+119E+11B3
0x4762	U+1102+119E+11D7
0x4763	U+1102+119E+11D9
0x4764	U+1102+119E+11B7
0x4765	U+1102+119E+11B8
0x4766	U+1102+119E+11BA
0x4767	U+1102+119E+11EB
0x4768	U+1102+119E+11BC
0x4769	U+1102+119E+11BD
0x476A	U+1102+119E+11BE
0x476B	U+1102+11A1
0x476C	U+1102+11A1+11A8
0x476D	U+1102+11A1+11AB
0x476E	U+1102+11A1+11AE
0x476F	U+1102+11A1+11AF
0x4770	U+1102+11A1+11B7
0x4771	U+1102+11A1+11B8
0x4772	U+1102+11A1+11BA
0x4773	U+1102+11A1+11BC
0x4774	U+B098+11FE
0x4775	U+B098+11D9
0x4776	U+B098+11DA
0x4777	U+B098+11DD
0x4778	U+B098+11E6
0x4779	U+B098+11E7
0x477A	U+B098+11EB
0x477B	U+B0B4+11D9
0x477C	U+B108+11DD
0x477D	U+B108+11E3
0x477E	U+B140+11C5
0x4821	U+B140+11C7
0x4822	U+B140+11D9
0x4823	U+B178+11E4
0x4824	U+1102+1188
0x4825	U+B204+11C6
0x4826	U+B204+11C7
0x4827	U+B204+11C8
# U+B210 is 02-18-76; U+B204+11D9 for 02-40-08 is a conjectural emendation.
0x4828	U+B204+11D9
0x4829	U+B204+11DD
0x482A	U+B204+11E6
0x482B	U+1102+1194
0x482C	U+B290+11C3
0x482D	U+B290+11D9
0x482E	U+B2C8+11C3
# U+B2D4 is 02-19-27; U+B2C8+11D9 for 02-40-15 is per fold-out chart.
0x482F	U+B2C8+11D9
0x4830	U+B2C8+11DD
0x4831	U+B2C8+11EB
0x4832	U+B2C8+11F0
0x4833	U+1114+119E
0x4834	U+1114+119E+11AB
0x4835	U+1114+1169
0x4836	U+112E+1161
0x4837	U+1103+119E
0x4838	U+1103+119E+11A8
0x4839	U+1103+119E+11C3
0x483A	U+1103+119E+11AB
0x483B	U+1103+119E+11AE
0x483C	U+1103+119E+11AF
0x483D	U+1103+119E+11B0
0x483E	U+1103+119E+11CC
0x483F	U+1103+119E+11B1
0x4840	U+1103+119E+11B2
0x4841	U+1103+119E+11B3
0x4842	U+1103+119E+11D9
0x4843	U+1103+119E+11B7
0x4844	U+1103+119E+11B8
0x4845	U+1103+119E+11E3
0x4846	U+1103+119E+11E6
0x4847	U+1103+119E+11BA
0x4848	U+1103+119E+11E8
0x4849	U+1103+119E+11E9
0x484A	U+1103+119E+11EA
0x484B	U+1103+119E+11EB
0x484C	U+1103+119E+11BC
0x484D	U+1103+119E+11BD
0x484E	U+1103+119E+11BE
0x484F	U+1103+11A1
0x4850	U+1103+11A1+11A8
0x4851	U+1103+11A1+11AB
0x4852	U+1103+11A1+11AF
0x4853	U+1103+11A1+11B7
0x4854	U+1103+11A1+11B8
0x4855	U+1103+11A1+11BA
0x4856	U+1103+11A1+11BC
0x4857	U+1103+11A1+11EB
0x4858	U+B2E4+11C7
0x4859	U+B2E4+11D9
0x485A	U+B2E4+11DB
0x485B	U+B2E4+11DD
0x485C	U+B2E4+11E6
0x485D	U+B2E4+11E7
0x485E	U+B2E4+11EB
0x485F	U+B2E4+11F1
0x4860	U+B31C+11F1
0x4861	U+B354+11DD
0x4862	U+B354+11E6
0x4863	U+B354+11EB
0x4864	U+B38C+11D9
0x4865	U+B3C4+11D9
0x4866	U+B3C4+11E6
0x4867	U+B3C4+11E7
0x4868	U+B3C4+11EB
0x4869	U+B3C4+11F1
0x486A	U+1103+1188
0x486B	U+B450+11CE
0x486C	U+B450+11D9
0x486D	U+B450+11DA
0x486E	U+B450+11E6
0x486F	U+1103+1194
0x4870	U+B4DC+11CE
# U+B4E8 is 02-20-41; U+B4DC+11D3 for 02-40-81 is a conjectural emendation.
0x4871	U+B4DC+11D3
0x4872	U+B4DC+11D9
0x4873	U+B4DC+11E3
0x4874	U+B4DC+11E6
0x4875	U+B4DC+11EB
0x4876	U+B4DC+11F1
0x4877	U+B4F8+11D9
0x4878	U+B514+11EB
0x4879	U+1104+119E
0x487A	U+1104+119E+11AB
0x487B	U+1104+119E+11AF
0x487C	U+1104+119E+11B7
0x487D	U+1104+119E+11BA
0x487E	U+1104+11A1
0x4921	U+1104+11A1+11A8
0x4922	U+1104+11A1+11BC
0x4923	U+B530+11D9
0x4924	U+B5D8+11D9
0x4925	U+B610+11D9
0x4926	U+B760+11D9
0x4927	U+1120+119E
0x4928	U+1120+119E+11AB
0x4929	U+1120+119E+11AE
0x492A	U+1120+119E+11AF
0x492B	U+1120+119E+11B7
0x492C	U+1120+119E+11BA
0x492D	U+1120+11A1
0x492E	U+1120+1161
0x492F	U+1120+1161+11A8
0x4930	U+1120+1161+11AB
0x4931	U+1120+1161+11AF
0x4932	U+1120+1161+11B7
0x4933	U+1120+1161+11B8
0x4934	U+1120+1162
0x4935	U+1120+1165
0x4936	U+1120+1165+11A8
0x4937	U+1120+1165+11AB
0x4938	U+1120+1165+11AE
0x4939	U+1120+1165+11AF
0x493A	U+1120+1165+11B2
