0xED9F	U+26cc	# 90-1, CROSSING LANES
0xEDA0	U+26cd	# 90-2, DISABLED CAR
0xEDA1	U+2757	# 90-3, HEAVY EXCLAMATION MARK SYMBOL
0xEDA2	U+26cf	# 90-4, PICK
0xEDA3	U+26d0	# 90-5, CAR SLIDING
0xEDA4	U+26d1	# 90-6, HELMET WITH WHITE CROSS
0xEDA6	U+26d2	# 90-8, CIRCLED CROSSING LANES
0xEDA7	U+26d5	# 90-9, ALTERNATE ONE-WAY LEFT WAY TRAFFIC
0xEDA8	U+26d3	# 90-10, CHAINS
0xEDA9	U+26d4	# 90-11, NO ENTRY
0xEDAE	U+1f17f	# 90-16, NEGATIVE SQUARED LATIN CAPITAL LETTER P
0xEDAF	U+1f18a	# 90-17, CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P
0xEDB2	U+26d6	# 90-20, BLACK TWO-WAY LEFT WAY TRAFFIC
0xEDB3	U+26d7	# 90-21, WHITE TWO-WAY LEFT WAY TRAFFIC
0xEDB4	U+26d8	# 90-22, BLACK LEFT LANE MERGE
0xEDB5	U+26d9	# 90-23, WHITE LEFT LANE MERGE
0xEDB6	U+26da	# 90-24, DRIVE SLOW SIGN
0xEDB7	U+26db	# 90-25, HEAVY WHITE DOWN-POINTING TRIANGLE
0xEDB8	U+26dc	# 90-26, LEFT CLOSED ENTRY
0xEDB9	U+26dd	# 90-27, SQUARED SALTIRE
0xEDBA	U+26de	# 90-28, FALLING DIAGONAL IN WHITE CIRCLE IN BLACK SQUARE
0xEDBB	U+26df	# 90-29, BLACK TRUCK
0xEDBC	U+26e0	# 90-30, RESTRICTED LEFT ENTRY-1
0xEDBD	U+26e1	# 90-31, RESTRICTED LEFT ENTRY-2
0xEDBE	U+2b55	# 90-32, HEAVY LARGE CIRCLE
0xEDBF	U+3248	# 90-33, CIRCLED NUMBER TEN ON BLACK SQUARE
0xEDC0	U+3249	# 90-34, CIRCLED NUMBER TWENTY ON BLACK SQUARE
0xEDC1	U+324a	# 90-35, CIRCLED NUMBER THIRTY ON BLACK SQUARE
0xEDC2	U+324b	# 90-36, CIRCLED NUMBER FORTY ON BLACK SQUARE
0xEDC3	U+324c	# 90-37, CIRCLED NUMBER FIFTY ON BLACK SQUARE
0xEDC4	U+324d	# 90-38, CIRCLED NUMBER SIXTY ON BLACK SQUARE
0xEDC5	U+324e	# 90-39, CIRCLED NUMBER SEVENTY ON BLACK SQUARE
0xEDC6	U+324f	# 90-40, CIRCLED NUMBER EIGHTY ON BLACK SQUARE
0xEDCB	U+2491	# 90-45, NUMBER TEN FULL STOP
0xEDCC	U+2492	# 90-46, NUMBER ELEVEN FULL STOP
0xEDCD	U+2493	# 90-47, NUMBER TWELVE FULL STOP
0xEDCE	U+1f14a	# 90-48, SQUARED HV
0xEDCF	U+1f14c	# 90-49, SQUARED SD
0xEDD0	U+1f13f	# 90-50, SQUARED LATIN CAPITAL LETTER P
0xEDD1	U+1f146	# 90-51, SQUARED LATIN CAPITAL LETTER W
0xEDD2	U+1f14b	# 90-52, SQUARED MV
0xEDD3	U+1f210	# 90-53, SQUARED CJK UNIFIED IDEOGRAPH-624B
0xEDD4	U+1f211	# 90-54, SQUARED CJK UNIFIED IDEOGRAPH-5B57
0xEDD5	U+1f212	# 90-55, SQUARED CJK UNIFIED IDEOGRAPH-53CC
0xEDD6	U+1f213	# 90-56, SQUARED KATAKANA DE
0xEDD7	U+1f142	# 90-57, SQUARED LATIN CAPITAL LETTER S
0xEDD8	U+1f214	# 90-58, SQUARED CJK UNIFIED IDEOGRAPH-4E8C
0xEDD9	U+1f215	# 90-59, SQUARED CJK UNIFIED IDEOGRAPH-591A
0xEDDA	U+1f216	# 90-60, SQUARED CJK UNIFIED IDEOGRAPH-89E3
0xEDDB	U+1f14d	# 90-61, SQUARED SS
0xEDDC	U+1f131	# 90-62, SQUARED LATIN CAPITAL LETTER B
0xEDDD	U+1f13d	# 90-63, SQUARED LATIN CAPITAL LETTER N
0xEDDE	U+2b1b	# 90-64, BLACK LARGE SQUARE
0xEDDF	U+2b24	# 90-65, BLACK LARGE CIRCLE
0xEDE0	U+1f217	# 90-66, SQUARED CJK UNIFIED IDEOGRAPH-5929
0xEDE1	U+1f218	# 90-67, SQUARED CJK UNIFIED IDEOGRAPH-4EA4
0xEDE2	U+1f219	# 90-68, SQUARED CJK UNIFIED IDEOGRAPH-6620
0xEDE3	U+1f21a	# 90-69, SQUARED CJK UNIFIED IDEOGRAPH-7121
0xEDE4	U+1f21b	# 90-70, SQUARED CJK UNIFIED IDEOGRAPH-6599
0xEDE5	U+26bf	# 90-71, SQUARED KEY
0xEDE6	U+1f21c	# 90-72, SQUARED CJK UNIFIED IDEOGRAPH-524D
0xEDE7	U+1f21d	# 90-73, SQUARED CJK UNIFIED IDEOGRAPH-5F8C
0xEDE8	U+1f21e	# 90-74, SQUARED CJK UNIFIED IDEOGRAPH-518D
0xEDE9	U+1f21f	# 90-75, SQUARED CJK UNIFIED IDEOGRAPH-65B0
0xEDEA	U+1f220	# 90-76, SQUARED CJK UNIFIED IDEOGRAPH-521D
0xEDEB	U+1f221	# 90-77, SQUARED CJK UNIFIED IDEOGRAPH-7D42
0xEDEC	U+1f222	# 90-78, SQUARED CJK UNIFIED IDEOGRAPH-751F
0xEDED	U+1f223	# 90-79, SQUARED CJK UNIFIED IDEOGRAPH-8CA9
0xEDEE	U+1f224	# 90-80, SQUARED CJK UNIFIED IDEOGRAPH-58F0
0xEDEF	U+1f225	# 90-81, SQUARED CJK UNIFIED IDEOGRAPH-5439
0xEDF0	U+1f14e	# 90-82, SQUARED PPV
0xEDF1	U+3299	# 90-83, CIRCLED IDEOGRAPH SECRET
0xEDF2	U+1f200	# 90-84, SQUARE HIRAGANA HOKA
0xEE40	U+26e3	# 91-1, HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
0xEE41	U+2b56	# 91-2, HEAVY OVAL WITH OVAL INSIDE
0xEE42	U+2b57	# 91-3, HEAVY CIRCLE WITH CIRCLE INSIDE
0xEE43	U+2558	# 91-4, BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
0xEE44	U+2b59	# 91-5, HEAVY CIRCLED SALTIRE
0xEE45	U+2613	# 91-6, SALTIRE
0xEE46	U+328b	# 91-7, CIRCLED IDEOGRAPH FIRE
0xEE47	U+3012	# 91-8, POSTAL MARK
0xEE48	U+26e8	# 91-9, BLACK CROSS ON SHIELD
0xEE49	U+3246	# 91-10, CIRCLED IDEOGRAPH SCHOOL
0xEE4A	U+3245	# 91-11, CIRCLED IDEOGRAPH KINDERGARTEN
0xEE4B	U+26e9	# 91-12, SHINTO SHRINE
0xEE4C	U+0fd6	# 91-13, LEFT-FACING SVASTI SIGN
0xEE4D	U+26ea	# 91-14, CHURCH
0xEE4E	U+26eb	# 91-15, CASTLE
0xEE4F	U+26ec	# 91-16, HISTORIC SITE
0xEE50	U+2668	# 91-17, HOT SPRINGS
0xEE51	U+26ed	# 91-18, GEAR WITHOUT HUB
0xEE52	U+26ee	# 91-19, GEAR WITH HANDLES
0xEE53	U+26ef	# 91-20, MAP SYMBOL FOR LIGHTHOUSE
0xEE54	U+2693	# 91-21, ANCHOR
0xEE55	U+2708	# 91-22, AIRPLANE
0xEE56	U+26f0	# 91-23, MOUNTAIN
0xEE57	U+26f1	# 91-24, UMBRELLA ON GROUND
0xEE58	U+26f2	# 91-25, FOUNTAIN
0xEE59	U+26f3	# 91-26, FLAG IN HOLE
0xEE5A	U+26f4	# 91-27, FERRY
0xEE5B	U+26f5	# 91-28, SAILBOAT
0xEE5C	U+1f157	# 91-29, NEGATIVE CIRCLED LATIN CAPITAL LETTER H
0xEE5D	U+24b9	# 91-30, CIRCLED LATIN CAPITAL LETTER D
0xEE5E	U+24c8	# 91-31, CIRCLED LATIN CAPITAL LETTER S
0xEE5F	U+26f6	# 91-32, SQUARE FOUR CORNERS
0xEE60	U+1f15f	# 91-33, NEGATIVE CIRCLED LATIN CAPITAL LETTER P
0xEE61	U+1f18b	# 91-34, NEGATIVE SQUARED IC
0xEE62	U+1f18d	# 91-35, NEGATIVE SQUARED SA
0xEE63	U+1f18c	# 91-36, NEGATIVE SQUARED PA
0xEE64	U+1f179	# 91-37, NEGATIVE SQUARED LATIN CAPITAL LETTER J
0xEE65	U+26f7	# 91-38, SKIER
0xEE66	U+26f8	# 91-39, ICE SKATE
0xEE67	U+26f9	# 91-40, PERSON WITH BALL
0xEE68	U+26fa	# 91-41, TENT
0xEE69	U+1f17b	# 91-42, NEGATIVE SQUARED LATIN CAPITAL LETTER L
0xEE6A	U+260e	# 91-43, BLACK TELEPHONE
0xEE6B	U+26fb	# 91-44, JAPANESE BANK SYMBOL
0xEE6C	U+26fc	# 91-45, HEADSTONE GRAVEYARD SYMBOL
0xEE6D	U+26fd	# 91-46, FUEL PUMP
0xEE6E	U+26fe	# 91-47, CUP ON BLACK SQUARE
0xEE6F	U+1f17c	# 91-48, NEGATIVE SQUARED LATIN CAPITAL LETTER M
0xEE70	U+26ff	# 91-49, WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
0xEE9F	U+27a1	# 92-1, BLACK RIGHTWARDS ARROW
0xEEA0	U+2b05	# 92-2, LEFTWARDS BLACK ARROW
0xEEA1	U+2b06	# 92-3, UPWARDS BLACK ARROW
0xEEA2	U+2b07	# 92-4, DOWNWARDS BLACK ARROW
0xEEA3	U+2b2f	# 92-5, WHITE VERTICAL ELLIPSE
0xEEA4	U+2b2e	# 92-6, BLACK VERTICAL ELLIPSE
0xEEA5	U+5e74	# 92-7, CJK UNIFIED IDEOGRAPH-5E74
0xEEA6	U+6708	# 92-8, CJK UNIFIED IDEOGRAPH-6708
0xEEA7	U+65e5	# 92-9, CJK UNIFIED IDEOGRAPH-65E5
0xEEA8	U+5186	# 92-10, CJK UNIFIED IDEOGRAPH-5186
0xEEA9	U+33a1	# 92-11, SQUARE M SQUARED
0xEEAA	U+33a5	# 92-12, SQUARE M CUBED
0xEEAB	U+339d	# 92-13, SQUARE CM
0xEEAC	U+33a0	# 92-14, SQUARE CM SQUARED
0xEEAD	U+33a4	# 92-15, SQUARE CM CUBED
0xEEAE	U+1f100	# 92-16, DIGIT ZERO FULL STOP
0xEEAF	U+2488	# 92-17, DIGIT ONE FULL STOP
0xEEB0	U+2489	# 92-18, DIGIT TWO FULL STOP
0xEEB1	U+248a	# 92-19, DIGIT THREE FULL STOP
0xEEB2	U+248b	# 92-20, DIGIT FOUR FULL STOP
0xEEB3	U+248c	# 92-21, DIGIT FIVE FULL STOP
0xEEB4	U+248d	# 92-22, DIGIT SIX FULL STOP
0xEEB5	U+248e	# 92-23, DIGIT SEVEN FULL STOP
0xEEB6	U+248f	# 92-24, DIGIT EIGHT FULL STOP
0xEEB7	U+2490	# 92-25, DIGIT NINE FULL STOP
0xEEB8	U+6c0f+f878	# 92-26, CJK UNIFIED IDEOGRAPH-6C0F+<f878>
0xEEB9	U+526f+f878	# 92-27, CJK UNIFIED IDEOGRAPH-526F+<f878>
0xEEBA	U+5143+f878	# 92-28, CJK UNIFIED IDEOGRAPH-5143+<f878>
0xEEBB	U+6545+f878	# 92-29, CJK UNIFIED IDEOGRAPH-6545+<f878>
0xEEBC	U+524d+f878	# 92-30, CJK UNIFIED IDEOGRAPH-524D+<f878>
0xEEBD	U+65b0+f878	# 92-31, CJK UNIFIED IDEOGRAPH-65B0+<f878>
0xEEBE	U+1f101	# 92-32, DIGIT ZERO COMMA
0xEEBF	U+1f102	# 92-33, DIGIT ONE COMMA
0xEEC0	U+1f103	# 92-34, DIGIT TWO COMMA
0xEEC1	U+1f104	# 92-35, DIGIT THREE COMMA
0xEEC2	U+1f105	# 92-36, DIGIT FOUR COMMA
0xEEC3	U+1f106	# 92-37, DIGIT FIVE COMMA
0xEEC4	U+1f107	# 92-38, DIGIT SIX COMMA
0xEEC5	U+1f108	# 92-39, DIGIT SEVEN COMMA
0xEEC6	U+1f109	# 92-40, DIGIT EIGHT COMMA
0xEEC7	U+1f10a	# 92-41, DIGIT NINE COMMA
0xEEC8	U+3233	# 92-42, PARENTHESIZED IDEOGRAPH SOCIETY
0xEEC9	U+3236	# 92-43, PARENTHESIZED IDEOGRAPH FINANCIAL
0xEECA	U+3232	# 92-44, PARENTHESIZED IDEOGRAPH HAVE
0xEECB	U+3231	# 92-45, PARENTHESIZED IDEOGRAPH STOCK
0xEECC	U+3239	# 92-46, PARENTHESIZED IDEOGRAPH REPRESENT
0xEECD	U+3244	# 92-47, CIRCLED IDEOGRAPH QUESTION
0xEECE	U+25b6	# 92-48, BLACK RIGHT-POINTING TRIANGLE
0xEECF	U+25c0	# 92-49, BLACK LEFT-POINTING TRIANGLE
0xEED0	U+3016	# 92-50, LEFT WHITE LENTICULAR BRACKET
0xEED1	U+3017	# 92-51, RIGHT WHITE LENTICULAR BRACKET
0xEED2	U+27d0	# 92-52, WHITE DIAMOND WITH CENTRED DOT
0xEED3	U+00b2	# 92-53, SUPERSCRIPT TWO
0xEED4	U+00b3	# 92-54, SUPERSCRIPT THREE
0xEED5	U+1f12d	# 92-55, CIRCLED CD
0xEED6	U+f862+0028+0076+006e+0029	# 92-56, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER V+LATIN SMALL LETTER N+RIGHT PARENTHESIS
0xEED7	U+f862+0028+006f+0062+0029	# 92-57, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER O+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEED8	U+f862+0028+0063+0062+0029	# 92-58, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER C+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEED9	U+f861+0028+0063+0065	# 92-59, <f861>+LEFT PARENTHESIS+LATIN SMALL LETTER C+LATIN SMALL LETTER E
0xEEDA	U+f861+006d+0062+0029	# 92-60, <f861>+LATIN SMALL LETTER M+LATIN SMALL LETTER B+RIGHT PARENTHESIS
0xEEDB	U+f862+0028+0068+0070+0029	# 92-61, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER H+LATIN SMALL LETTER P+RIGHT PARENTHESIS
0xEEDC	U+f862+0028+0062+0072+0029	# 92-62, <f862>+LEFT PARENTHESIS+LATIN SMALL LETTER B+LATIN SMALL LETTER R+RIGHT PARENTHESIS
