0xEB40	U+1f320	# 85-1, SHOOTING STAR
0xEB41	U+1f300	# 85-2, CYCLONE
0xEB42	U+1f6a5	# 85-3, HORIZONTAL TRAFFIC LIGHT
0xEB43	U+1f3c3	# 85-4, RUNNER
0xEB44	U+2747	# 85-5, SPARKLE
0xEB45	U+1f3a1	# 85-6, FERRIS WHEEL
0xEB46	U+1f3b0	# 85-7, SLOT MACHINE
0xEB47	U+1f38a	# 85-8, CONFETTI BALL
0xEB48	U+1f433	# 85-9, SPOUTING WHALE
0xEB49	U+1f603	# 85-10, SMILING FACE WITH OPEN MOUTH
0xEB4A	U+1f620	# 85-11, ANGRY FACE
0xEB4B	U+1f62d	# 85-12, LOUDLY CRYING FACE
0xEB4C	U+1f62b	# 85-13, TIRED FACE
0xEB4D	U+1f4a4	# 85-14, SLEEPING SYMBOL
0xEB4E	U+1f4a1	# 85-15, ELECTRIC LIGHT BULB
0xEB4F	U+1f494	# 85-16, BROKEN HEART
0xEB50	U+1f495	# 85-17, TWO HEARTS
0xEB51	U+2734	# 85-18, EIGHT POINTED BLACK STAR
0xEB52	U+1f4a3	# 85-19, BOMB
0xEB53	U+1f525	# 85-20, FIRE
0xEB54	U+23f3	# 85-21, HOURGLASS WITH FLOWING SAND
0xEB55	U+1f6ac	# 85-22, SMOKING SYMBOL
0xEB56	U+1f6ad	# 85-23, NO SMOKING SYMBOL
0xEB57	U+267f	# 85-24, WHEELCHAIR SYMBOL
0xEB58	U+1f530	# 85-25, JAPANESE SYMBOL FOR BEGINNER
0xEB59	U+26a0	# 85-26, WARNING SIGN
0xEB5A	U+2757	# 85-27, HEAVY EXCLAMATION MARK SYMBOL
0xEB5B	U+2753	# 85-28, BLACK QUESTION MARK ORNAMENT
0xEB5C	U+26d4	# 85-29, NO ENTRY
0xEB5D	U+26c4	# 85-30, SNOWMAN WITHOUT SNOW
0xEB5E	U+1f319	# 85-31, CRESCENT MOON
0xEB5F	U+26a1	# 85-32, HIGH VOLTAGE SIGN
0xEB60	U+2600	# 85-33, BLACK SUN WITH RAYS
0xEB61	U+1f31b	# 85-34, FIRST QUARTER MOON WITH FACE
0xEB62	U+2744	# 85-35, SNOWFLAKE
0xEB63	U+2b50	# 85-36, WHITE MEDIUM STAR
0xEB64	U+2614	# 85-37, UMBRELLA WITH RAIN DROPS
0xEB65	U+2601	# 85-38, CLOUD
0xEB66	U+26c5	# 85-39, SUN BEHIND CLOUD
0xEB67	U+2648	# 85-40, ARIES
0xEB68	U+2649	# 85-41, TAURUS
0xEB69	U+264a	# 85-42, GEMINI
0xEB6A	U+264b	# 85-43, CANCER
0xEB6B	U+264c	# 85-44, LEO
0xEB6C	U+264d	# 85-45, VIRGO
0xEB6D	U+264e	# 85-46, LIBRA
0xEB6E	U+264f	# 85-47, SCORPIUS
0xEB6F	U+2650	# 85-48, SAGITTARIUS
0xEB70	U+2651	# 85-49, CAPRICORN
0xEB71	U+2652	# 85-50, AQUARIUS
0xEB72	U+2653	# 85-51, PISCES
0xEB73	U+26ce	# 85-52, OPHIUCHUS
0xEB74	U+1f45c	# 85-53, HANDBAG
0xEB75	U+1f4d4	# 85-54, NOTEBOOK WITH DECORATIVE COVER
0xEB76	U+1f3ab	# 85-55, TICKET
0xEB77	U+1f4d6	# 85-56, OPEN BOOK
0xEB78	U+1f4ce	# 85-57, PAPERCLIP
0xEB79	U+270f	# 85-58, PENCIL
0xEB7A	U+1f4d0	# 85-59, TRIANGULAR RULER
0xEB7B	U+1f3e7	# 85-60, AUTOMATED TELLER MACHINE
0xEB7C	U+1f3ea	# 85-61, CONVENIENCE STORE
0xEB7D	U+1f6bb	# 85-62, RESTROOM
0xEB7E	U+1f17f	# 85-63, NEGATIVE SQUARED LATIN CAPITAL LETTER P
0xEB80	U+1f68f	# 85-64, BUS STOP
0xEB81	U+1f4e1	# 85-65, SATELLITE ANTENNA
0xEB82	U+2693	# 85-66, ANCHOR
0xEB83	U+1f3e6	# 85-67, BANK
0xEB84	U+1f3e0	# 85-68, HOUSE BUILDING
0xEB85	U+1f374	# 85-69, FORK AND KNIFE
0xEB86	U+1f3e2	# 85-70, OFFICE BUILDING
0xEB87	U+1f6b2	# 85-71, BICYCLE
0xEB88	U+1f68c	# 85-72, BUS
0xEB89	U+1f685	# 85-73, HIGH-SPEED TRAIN WITH BULLET NOSE
0xEB8A	U+1f697	# 85-74, AUTOMOBILE
