0xEB41	U+1f300	# 85-2, CYCLONE
0xEB42	U+1f6a5	# 85-3, HORIZONTAL TRAFFIC LIGHT
0xEB43	U+1f3c3	# 85-4, RUNNER
0xEB45	U+1f3a1	# 85-6, FERRIS WHEEL
0xEB46	U+1f3b0	# 85-7, SLOT MACHINE
0xEB48	U+1f433	# 85-9, SPOUTING WHALE
0xEB49	U+1f603	# 85-10, SMILING FACE WITH OPEN MOUTH
0xEB4A	U+1f620	# 85-11, ANGRY FACE
0xEB4B	U+1f62d	# 85-12, LOUDLY CRYING FACE
0xEB4D	U+1f4a4	# 85-14, SLEEPING SYMBOL
0xEB4E	U+1f4a1	# 85-15, ELECTRIC LIGHT BULB
0xEB4F	U+1f494	# 85-16, BROKEN HEART
0xEB51	U+2734	# 85-18, EIGHT POINTED BLACK STAR
0xEB52	U+1f4a3	# 85-19, BOMB
0xEB53	U+1f525	# 85-20, FIRE
0xEB55	U+1f6ac	# 85-22, SMOKING SYMBOL
0xEB56	U+1f6ad	# 85-23, NO SMOKING SYMBOL
0xEB57	U+267f	# 85-24, WHEELCHAIR SYMBOL
0xEB58	U+1f530	# 85-25, JAPANESE SYMBOL FOR BEGINNER
0xEB59	U+26a0	# 85-26, WARNING SIGN
0xEB5A	U+2757	# 85-27, HEAVY EXCLAMATION MARK SYMBOL
0xEB5B	U+2753	# 85-28, BLACK QUESTION MARK ORNAMENT
0xEB5D	U+26c4	# 85-30, SNOWMAN WITHOUT SNOW
0xEB5E	U+1f319	# 85-31, CRESCENT MOON
0xEB5F	U+26a1	# 85-32, HIGH VOLTAGE SIGN
0xEB60	U+2600	# 85-33, BLACK SUN WITH RAYS
0xEB63	U+2b50	# 85-36, WHITE MEDIUM STAR
0xEB64	U+2614	# 85-37, UMBRELLA WITH RAIN DROPS
0xEB65	U+2601	# 85-38, CLOUD
0xEB67	U+2648	# 85-40, ARIES
0xEB68	U+2649	# 85-41, TAURUS
0xEB69	U+264a	# 85-42, GEMINI
0xEB6A	U+264b	# 85-43, CANCER
0xEB6B	U+264c	# 85-44, LEO
0xEB6C	U+264d	# 85-45, VIRGO
0xEB6D	U+264e	# 85-46, LIBRA
0xEB6E	U+264f	# 85-47, SCORPIUS
0xEB6F	U+2650	# 85-48, SAGITTARIUS
0xEB70	U+2651	# 85-49, CAPRICORN
0xEB71	U+2652	# 85-50, AQUARIUS
0xEB72	U+2653	# 85-51, PISCES
0xEB73	U+26ce	# 85-52, OPHIUCHUS
0xEB74	U+1f45c	# 85-53, HANDBAG
0xEB76	U+1f3ab	# 85-55, TICKET
0xEB77	U+1f4d6	# 85-56, OPEN BOOK
0xEB7B	U+1f3e7	# 85-60, AUTOMATED TELLER MACHINE
0xEB7C	U+1f3ea	# 85-61, CONVENIENCE STORE
0xEB7D	U+1f6bb	# 85-62, RESTROOM
0xEB7E	U+1f17f	# 85-63, NEGATIVE SQUARED LATIN CAPITAL LETTER P
0xEB80	U+1f68f	# 85-64, BUS STOP
0xEB81	U+1f4e1	# 85-65, SATELLITE ANTENNA
0xEB83	U+1f3e6	# 85-67, BANK
0xEB84	U+1f3e0	# 85-68, HOUSE BUILDING
0xEB85	U+1f374	# 85-69, FORK AND KNIFE
0xEB86	U+1f3e2	# 85-70, OFFICE BUILDING
0xEB87	U+1f6b2	# 85-71, BICYCLE
0xEB88	U+1f68c	# 85-72, BUS
0xEB89	U+1f684	# 85-73, HIGH-SPEED TRAIN
0xEB8A	U+1f697	# 85-74, AUTOMOBILE
0xEB8B	U+1f69a	# 85-75, DELIVERY TRUCK
0xEB8C	U+2708	# 85-76, AIRPLANE
0xEB8D	U+26f5	# 85-77, SAILBOAT
0xEB8E	U+1f683	# 85-78, RAILWAY CAR
0xEB8F	U+26bd	# 85-79, SOCCER BALL
0xEB90	U+1f3be	# 85-80, TENNIS RACQUET AND BALL
0xEB92	U+1f3c1	# 85-82, CHEQUERED FLAG
0xEB93	U+26be	# 85-83, BASEBALL
0xEB94	U+1f3c8	# 85-84, AMERICAN FOOTBALL
0xEB95	U+2668	# 85-85, HOT SPRINGS
0xEB97	U+1f3ac	# 85-87, CLAPPER BOARD
0xEB99	U+1f5fc	# 85-89, TOKYO TOWER
0xEB9B	U+1f378	# 85-91, COCKTAIL GLASS
0xEB9C	U+1f37a	# 85-92, BEER MUG
