0x8FA2AF	0x02D8
0x8FA2B0	0x02C7
0x8FA2B1	0x00B8
0x8FA2B2	0x02D9
0x8FA2B3	0x02DD
0x8FA2B4	0x00AF
0x8FA2B5	0x02DB
0x8FA2B6	0x02DA
0x8FA2B7	0x007E
0x8FA2B8	0x0384
0x8FA2B9	0x0385
0x8FA2C2	0x00A1
0x8FA2C3	0x00A6
0x8FA2C4	0x00BF
0x8FA2EB	0x00BA
0x8FA2EC	0x00AA
0x8FA2ED	0x00A9
0x8FA2EE	0x00AE
0x8FA2EF	0x2122
0x8FA2F0	0x00A4
0x8FA2F1	0x2116
0x8FA6E1	0x0386
0x8FA6E2	0x0388
0x8FA6E3	0x0389
0x8FA6E4	0x038A
0x8FA6E5	0x03AA
0x8FA6E7	0x038C
0x8FA6E9	0x038E
0x8FA6EA	0x03AB
0x8FA6EC	0x038F
0x8FA6F1	0x03AC
0x8FA6F2	0x03AD
0x8FA6F3	0x03AE
0x8FA6F4	0x03AF
0x8FA6F5	0x03CA
0x8FA6F6	0x0390
0x8FA6F7	0x03CC
0x8FA6F8	0x03C2
0x8FA6F9	0x03CD
0x8FA6FA	0x03CB
0x8FA6FB	0x03B0
0x8FA6FC	0x03CE
0x8FA7C2	0x0402
0x8FA7C3	0x0403
0x8FA7C4	0x0404
0x8FA7C5	0x0405
0x8FA7C6	0x0406
0x8FA7C7	0x0407
0x8FA7C8	0x0408
0x8FA7C9	0x0409
0x8FA7CA	0x040A
0x8FA7CB	0x040B
0x8FA7CC	0x040C
0x8FA7CD	0x040E
0x8FA7CE	0x040F
0x8FA7F2	0x0452
0x8FA7F3	0x0453
0x8FA7F4	0x0454
0x8FA7F5	0x0455
0x8FA7F6	0x0456
0x8FA7F7	0x0457
0x8FA7F8	0x0458
0x8FA7F9	0x0459
0x8FA7FA	0x045A
0x8FA7FB	0x045B
0x8FA7FC	0x045C
0x8FA7FD	0x045E
0x8FA7FE	0x045F
0x8FA9A1	0x00C6
0x8FA9A2	0x0110
0x8FA9A4	0x0126
0x8FA9A6	0x0132
0x8FA9A8	0x0141
0x8FA9A9	0x013F
0x8FA9AB	0x014A
0x8FA9AC	0x00D8
0x8FA9AD	0x0152
0x8FA9AF	0x0166
0x8FA9B0	0x00DE
0x8FA9C1	0x00E6
0x8FA9C2	0x0111
0x8FA9C3	0x00F0
0x8FA9C4	0x0127
0x8FA9C5	0x0131
0x8FA9C6	0x0133
0x8FA9C7	0x0138
0x8FA9C8	0x0142
0x8FA9C9	0x0140
0x8FA9CA	0x0149
0x8FA9CB	0x014B
0x8FA9CC	0x00F8
0x8FA9CD	0x0153
0x8FA9CE	0x00DF
0x8FA9CF	0x0167
0x8FA9D0	0x00FE
0x8FAAA1	0x00C1
0x8FAAA2	0x00C0
0x8FAAA3	0x00C4
0x8FAAA4	0x00C2
0x8FAAA5	0x0102
0x8FAAA6	0x01CD
0x8FAAA7	0x0100
0x8FAAA8	0x0104
0x8FAAA9	0x00C5
0x8FAAAA	0x00C3
0x8FAAAB	0x0106
0x8FAAAC	0x0108
0x8FAAAD	0x010C
0x8FAAAE	0x00C7
0x8FAAAF	0x010A
0x8FAAB0	0x010E
0x8FAAB1	0x00C9
0x8FAAB2	0x00C8
0x8FAAB3	0x00CB
0x8FAAB4	0x00CA
0x8FAAB5	0x011A
0x8FAAB6	0x0116
0x8FAAB7	0x0112
0x8FAAB8	0x0118
0x8FAABA	0x011C
0x8FAABB	0x011E
0x8FAABC	0x0122
0x8FAABD	0x0120
0x8FAABE	0x0124
0x8FAABF	0x00CD
0x8FAAC0	0x00CC
0x8FAAC1	0x00CF
0x8FAAC2	0x00CE
0x8FAAC3	0x01CF
0x8FAAC4	0x0130
0x8FAAC5	0x012A
0x8FAAC6	0x012E
0x8FAAC7	0x0128
0x8FAAC8	0x0134
0x8FAAC9	0x0136
0x8FAACA	0x0139
0x8FAACB	0x013D
0x8FAACC	0x013B
0x8FAACD	0x0143
0x8FAACE	0x0147
0x8FAACF	0x0145
0x8FAAD0	0x00D1
0x8FAAD1	0x00D3
0x8FAAD2	0x00D2
0x8FAAD3	0x00D6
0x8FAAD4	0x00D4
0x8FAAD5	0x01D1
0x8FAAD6	0x0150
0x8FAAD7	0x014C
0x8FAAD8	0x00D5
0x8FAAD9	0x0154
0x8FAADA	0x0158
0x8FAADB	0x0156
0x8FAADC	0x015A
0x8FAADD	0x015C
0x8FAADE	0x0160
0x8FAADF	0x015E
0x8FAAE0	0x0164
0x8FAAE1	0x0162
0x8FAAE2	0x00DA
0x8FAAE3	0x00D9
0x8FAAE4	0x00DC
0x8FAAE5	0x00DB
0x8FAAE6	0x016C
0x8FAAE7	0x01D3
0x8FAAE8	0x0170
0x8FAAE9	0x016A
0x8FAAEA	0x0172
0x8FAAEB	0x016E
0x8FAAEC	0x0168
0x8FAAED	0x01D7
0x8FAAEE	0x01DB
0x8FAAEF	0x01D9
0x8FAAF0	0x01D5
0x8FAAF1	0x0174
0x8FAAF2	0x00DD
0x8FAAF3	0x0178
0x8FAAF4	0x0176
0x8FAAF5	0x0179
0x8FAAF6	0x017D
0x8FAAF7	0x017B
0x8FABA1	0x00E1
0x8FABA2	0x00E0
0x8FABA3	0x00E4
0x8FABA4	0x00E2
0x8FABA5	0x0103
0x8FABA6	0x01CE
0x8FABA7	0x0101
0x8FABA8	0x0105
0x8FABA9	0x00E5
0x8FABAA	0x00E3
0x8FABAB	0x0107
0x8FABAC	0x0109
0x8FABAD	0x010D
0x8FABAE	0x00E7
0x8FABAF	0x010B
0x8FABB0	0x010F
0x8FABB1	0x00E9
0x8FABB2	0x00E8
0x8FABB3	0x00EB
0x8FABB4	0x00EA
0x8FABB5	0x011B
0x8FABB6	0x0117
0x8FABB7	0x0113
0x8FABB8	0x0119
0x8FABB9	0x01F5
0x8FABBA	0x011D
0x8FABBB	0x011F
0x8FABBD	0x0121
0x8FABBE	0x0125
0x8FABBF	0x00ED
0x8FABC0	0x00EC
0x8FABC1	0x00EF
0x8FABC2	0x00EE
0x8FABC3	0x01D0
0x8FABC5	0x012B
0x8FABC6	0x012F
0x8FABC7	0x0129
0x8FABC8	0x0135
0x8FABC9	0x0137
0x8FABCA	0x013A
0x8FABCB	0x013E
0x8FABCC	0x013C
0x8FABCD	0x0144
0x8FABCE	0x0148
0x8FABCF	0x0146
0x8FABD0	0x00F1
0x8FABD1	0x00F3
0x8FABD2	0x00F2
0x8FABD3	0x00F6
0x8FABD4	0x00F4
0x8FABD5	0x01D2
0x8FABD6	0x0151
0x8FABD7	0x014D
0x8FABD8	0x00F5
0x8FABD9	0x0155
0x8FABDA	0x0159
0x8FABDB	0x0157
0x8FABDC	0x015B
0x8FABDD	0x015D
0x8FABDE	0x0161
0x8FABDF	0x015F
0x8FABE0	0x0165
0x8FABE1	0x0163
0x8FABE2	0x00FA
0x8FABE3	0x00F9
0x8FABE4	0x00FC
0x8FABE5	0x00FB
0x8FABE6	0x016D
0x8FABE7	0x01D4
0x8FABE8	0x0171
0x8FABE9	0x016B
0x8FABEA	0x0173
0x8FABEB	0x016F
0x8FABEC	0x0169
0x8FABED	0x01D8
0x8FABEE	0x01DC
0x8FABEF	0x01DA
0x8FABF0	0x01D6
0x8FABF1	0x0175
0x8FABF2	0x00FD
0x8FABF3	0x00FF
0x8FABF4	0x0177
0x8FABF5	0x017A
0x8FABF6	0x017E
0x8FABF7	0x017C
0x8FB0A1	0x4E02
0x8FB0A2	0x4E04
0x8FB0A3	0x4E05
0x8FB0A4	0x4E0C
0x8FB0A5	0x4E12
0x8FB0A6	0x4E1F
0x8FB0A7	0x4E23
0x8FB0A8	0x4E24
0x8FB0A9	0x4E28
0x8FB0AA	0x4E2B
0x8FB0AB	0x4E2E
0x8FB0AC	0x4E2F
0x8FB0AD	0x4E30
0x8FB0AE	0x4E35
0x8FB0AF	0x4E40
0x8FB0B0	0x4E41
0x8FB0B1	0x4E44
0x8FB0B2	0x4E47
0x8FB0B3	0x4E51
0x8FB0B4	0x4E5A
0x8FB0B5	0x4E5C
0x8FB0B6	0x4E63
0x8FB0B7	0x4E68
0x8FB0B8	0x4E69
0x8FB0B9	0x4E74
0x8FB0BA	0x4E75
0x8FB0BB	0x4E79
0x8FB0BC	0x4E7F
0x8FB0BD	0x4E8D
0x8FB0BE	0x4E96
0x8FB0BF	0x4E97
0x8FB0C0	0x4E9D
0x8FB0C1	0x4EAF
0x8FB0C2	0x4EB9
0x8FB0C3	0x4EC3
0x8FB0C4	0x4ED0
0x8FB0C5	0x4EDA
0x8FB0C6	0x4EDB
0x8FB0C7	0x4EE0
0x8FB0C8	0x4EE1
0x8FB0C9	0x4EE2
0x8FB0CA	0x4EE8
0x8FB0CB	0x4EEF
0x8FB0CC	0x4EF1
0x8FB0CD	0x4EF3
0x8FB0CE	0x4EF5
0x8FB0CF	0x4EFD
0x8FB0D0	0x4EFE
0x8FB0D1	0x4EFF
0x8FB0D2	0x4F00
0x8FB0D3	0x4F02
0x8FB0D4	0x4F03
0x8FB0D5	0x4F08
0x8FB0D6	0x4F0B
0x8FB0D7	0x4F0C
0x8FB0D8	0x4F12
0x8FB0D9	0x4F15
0x8FB0DA	0x4F16
0x8FB0DB	0x4F17
0x8FB0DC	0x4F19
0x8FB0DD	0x4F2E
0x8FB0DE	0x4F31
0x8FB0DF	0x4F60
0x8FB0E0	0x4F33
0x8FB0E1	0x4F35
0x8FB0E2	0x4F37
0x8FB0E3	0x4F39
0x8FB0E4	0x4F3B
0x8FB0E5	0x4F3E
0x8FB0E6	0x4F40
0x8FB0E7	0x4F42
0x8FB0E8	0x4F48
0x8FB0E9	0x4F49
0x8FB0EA	0x4F4B
0x8FB0EB	0x4F4C
0x8FB0EC	0x4F52
0x8FB0ED	0x4F54
0x8FB0EE	0x4F56
0x8FB0EF	0x4F58
0x8FB0F0	0x4F5F
0x8FB0F1	0x4F63
0x8FB0F2	0x4F6A
0x8FB0F3	0x4F6C
0x8FB0F4	0x4F6E
0x8FB0F5	0x4F71
0x8FB0F6	0x4F77
0x8FB0F7	0x4F78
0x8FB0F8	0x4F79
0x8FB0F9	0x4F7A
0x8FB0FA	0x4F7D
0x8FB0FB	0x4F7E
0x8FB0FC	0x4F81
0x8FB0FD	0x4F82
0x8FB0FE	0x4F84
0x8FB1A1	0x4F85
0x8FB1A2	0x4F89
0x8FB1A3	0x4F8A
0x8FB1A4	0x4F8C
0x8FB1A5	0x4F8E
0x8FB1A6	0x4F90
0x8FB1A7	0x4F92
0x8FB1A8	0x4F93
0x8FB1A9	0x4F94
0x8FB1AA	0x4F97
0x8FB1AB	0x4F99
0x8FB1AC	0x4F9A
0x8FB1AD	0x4F9E
0x8FB1AE	0x4F9F
0x8FB1AF	0x4FB2
0x8FB1B0	0x4FB7
0x8FB1B1	0x4FB9
0x8FB1B2	0x4FBB
0x8FB1B3	0x4FBC
0x8FB1B4	0x4FBD
0x8FB1B5	0x4FBE
0x8FB1B6	0x4FC0
0x8FB1B7	0x4FC1
0x8FB1B8	0x4FC5
0x8FB1B9	0x4FC6
0x8FB1BA	0x4FC8
0x8FB1BB	0x4FC9
0x8FB1BC	0x4FCB
0x8FB1BD	0x4FCC
0x8FB1BE	0x4FCD
0x8FB1BF	0x4FCF
0x8FB1C0	0x4FD2
0x8FB1C1	0x4FDC
0x8FB1C2	0x4FE0
0x8FB1C3	0x4FE2
0x8FB1C4	0x4FF0
0x8FB1C5	0x4FF2
0x8FB1C6	0x4FFC
0x8FB1C7	0x4FFD
0x8FB1C8	0x4FFF
0x8FB1C9	0x5000
0x8FB1CA	0x5001
0x8FB1CB	0x5004
0x8FB1CC	0x5007
0x8FB1CD	0x500A
0x8FB1CE	0x500C
0x8FB1CF	0x500E
