0xADA1	0x2460
0xADA2	0x2461
0xADA3	0x2462
0xADA4	0x2463
0xADA5	0x2464
0xADA6	0x2465
0xADA7	0x2466
0xADA8	0x2467
0xADA9	0x2468
0xADAA	0x2469
0xADAB	0x246A
0xADAC	0x246B
0xADAD	0x246C
0xADAE	0x246D
0xADAF	0x246E
0xADB0	0x246F
0xADB1	0x2470
0xADB2	0x2471
0xADB3	0x2472
0xADB4	0x2473
0xADB5	0x2160
0xADB6	0x2161
0xADB7	0x2162
0xADB8	0x2163
0xADB9	0x2164
0xADBA	0x2165
0xADBB	0x2166
0xADBC	0x2167
0xADBD	0x2168
0xADBE	0x2169
0xADC0	0x3349
0xADC1	0x3314
0xADC2	0x3322
0xADC3	0x334D
0xADC4	0x3318
0xADC5	0x3327
0xADC6	0x3303
0xADC7	0x3336
0xADC8	0x3351
0xADC9	0x3357
0xADCA	0x330D
0xADCB	0x3326
0xADCC	0x3323
0xADCD	0x332B
0xADCE	0x334A
0xADCF	0x333B
0xADD0	0x339C
0xADD1	0x339D
0xADD2	0x339E
0xADD3	0x338E
0xADD4	0x338F
0xADD5	0x33C4
0xADD6	0x33A1
0xADDF	0x337B
0xADE0	0x301D
0xADE1	0x301F
0xADE2	0x2116
0xADE3	0x33CD
0xADE4	0x2121
0xADE5	0x32A4
0xADE6	0x32A5
0xADE7	0x32A6
0xADE8	0x32A7
0xADE9	0x32A8
0xADEA	0x3231
0xADEB	0x3232
0xADEC	0x3239
0xADED	0x337E
0xADEE	0x337D
0xADEF	0x337C
0xADF0	0x2252
0xADF1	0x2261
0xADF2	0x222B
0xADF3	0x222E
0xADF4	0x2211
0xADF5	0x221A
0xADF6	0x22A5
0xADF7	0x2220
0xADF8	0x221F
0xADF9	0x22BF
0xADFA	0x2235
0xADFB	0x2229
0xADFC	0x222A
