0xF5A1	0xE000
0xF5A2	0xE001
0xF5A3	0xE002
0xF5A4	0xE003
0xF5A5	0xE004
0xF5A6	0xE005
0xF5A7	0xE006
0xF5A8	0xE007
0xF5A9	0xE008
0xF5AA	0xE009
0xF5AB	0xE00A
0xF5AC	0xE00B
0xF5AD	0xE00C
0xF5AE	0xE00D
0xF5AF	0xE00E
0xF5B0	0xE00F
0xF5B1	0xE010
0xF5B2	0xE011
0xF5B3	0xE012
0xF5B4	0xE013
0xF5B5	0xE014
0xF5B6	0xE015
0xF5B7	0xE016
0xF5B8	0xE017
0xF5B9	0xE018
0xF5BA	0xE019
0xF5BB	0xE01A
0xF5BC	0xE01B
0xF5BD	0xE01C
0xF5BE	0xE01D
0xF5BF	0xE01E
0xF5C0	0xE01F
0xF5C1	0xE020
0xF5C2	0xE021
0xF5C3	0xE022
0xF5C4	0xE023
0xF5C5	0xE024
0xF5C6	0xE025
0xF5C7	0xE026
0xF5C8	0xE027
0xF5C9	0xE028
0xF5CA	0xE029
0xF5CB	0xE02A
0xF5CC	0xE02B
0xF5CD	0xE02C
0xF5CE	0xE02D
0xF5CF	0xE02E
0xF5D0	0xE02F
0xF5D1	0xE030
0xF5D2	0xE031
0xF5D3	0xE032
0xF5D4	0xE033
0xF5D5	0xE034
0xF5D6	0xE035
0xF5D7	0xE036
0xF5D8	0xE037
0xF5D9	0xE038
0xF5DA	0xE039
0xF5DB	0xE03A
0xF5DC	0xE03B
0xF5DD	0xE03C
0xF5DE	0xE03D
0xF5DF	0xE03E
0xF5E0	0xE03F
0xF5E1	0xE040
0xF5E2	0xE041
0xF5E3	0xE042
0xF5E4	0xE043
0xF5E5	0xE044
0xF5E6	0xE045
0xF5E7	0xE046
0xF5E8	0xE047
0xF5E9	0xE048
0xF5EA	0xE049
0xF5EB	0xE04A
0xF5EC	0xE04B
0xF5ED	0xE04C
0xF5EE	0xE04D
0xF5EF	0xE04E
0xF5F0	0xE04F
0xF5F1	0xE050
0xF5F2	0xE051
0xF5F3	0xE052
0xF5F4	0xE053
0xF5F5	0xE054
0xF5F6	0xE055
0xF5F7	0xE056
0xF5F8	0xE057
0xF5F9	0xE058
0xF5FA	0xE059
0xF5FB	0xE05A
0xF5FC	0xE05B
0xF5FD	0xE05C
0xF5FE	0xE05D
0xF6A1	0xE05E
0xF6A2	0xE05F
0xF6A3	0xE060
0xF6A4	0xE061
0xF6A5	0xE062
0xF6A6	0xE063
0xF6A7	0xE064
0xF6A8	0xE065
0xF6A9	0xE066
0xF6AA	0xE067
0xF6AB	0xE068
0xF6AC	0xE069
0xF6AD	0xE06A
0xF6AE	0xE06B
0xF6AF	0xE06C
0xF6B0	0xE06D
0xF6B1	0xE06E
0xF6B2	0xE06F
0xF6B3	0xE070
0xF6B4	0xE071
0xF6B5	0xE072
0xF6B6	0xE073
0xF6B7	0xE074
0xF6B8	0xE075
0xF6B9	0xE076
0xF6BA	0xE077
0xF6BB	0xE078
0xF6BC	0xE079
0xF6BD	0xE07A
0xF6BE	0xE07B
0xF6BF	0xE07C
0xF6C0	0xE07D
0xF6C1	0xE07E
0xF6C2	0xE07F
0xF6C3	0xE080
0xF6C4	0xE081
0xF6C5	0xE082
0xF6C6	0xE083
0xF6C7	0xE084
