# KPS 9566-2011? to Unicode mapping table
# From a built-in table in Red Star OS 3.0 desktop
# Text encoding: UTF-8

0x8141	U+AC03	# 갃
0x8142	U+AC05	# 갅
0x8143	U+AC06	# 갆
0x8144	U+AC0B	# 갋
0x8145	U+AC0C	# 갌
0x8146	U+AC0D	# 갍
0x8147	U+AC0E	# 갎
0x8148	U+AC0F	# 갏
0x8149	U+AC18	# 갘
0x814A	U+AC02	# 갂
0x814B	U+AC3B	# 갻
0x814C	U+AC3D	# 갽
0x814D	U+AC3E	# 갾
0x814E	U+AC3F	# 갿
0x814F	U+AC41	# 걁
0x8150	U+AC42	# 걂
0x8151	U+AC43	# 걃
0x8152	U+AC44	# 걄
0x8153	U+AC45	# 걅
0x8154	U+AC46	# 걆
0x8155	U+AC47	# 걇
0x8156	U+AC49	# 걉
0x8157	U+AC4A	# 걊
0x8158	U+AC4E	# 걎
0x8159	U+AC4F	# 걏
0x815A	U+AC50	# 걐
0x8161	U+AC51	# 걑
0x8162	U+AC52	# 걒
0x8163	U+AC53	# 걓
0x8164	U+AC3A	# 갺
0x8165	U+AC4C	# 걌
0x8166	U+AC73	# 걳
0x8167	U+AC75	# 걵
0x8168	U+AC76	# 걶
0x8169	U+AC7B	# 걻
0x816A	U+AC7C	# 걼
0x816B	U+AC7D	# 걽
0x816C	U+AC7E	# 걾
0x816D	U+AC7F	# 걿
0x816E	U+AC82	# 겂
0x816F	U+AC87	# 겇
0x8170	U+AC88	# 겈
0x8171	U+AC72	# 걲
0x8172	U+ACAB	# 겫
0x8173	U+ACAD	# 겭
0x8174	U+ACAE	# 겮
0x8175	U+ACB1	# 겱
0x8176	U+ACB2	# 겲
0x8177	U+ACB3	# 겳
0x8178	U+ACB4	# 겴
0x8179	U+ACB5	# 겵
0x817A	U+ACB6	# 겶
0x8181	U+ACB7	# 겷
0x8182	U+ACBA	# 겺
0x8183	U+ACBE	# 겾
0x8184	U+ACBF	# 겿
0x8185	U+ACC0	# 곀
0x8186	U+ACC2	# 곂
0x8187	U+ACC3	# 곃
0x8188	U+ACE3	# 곣
0x8189	U+ACE5	# 곥
0x818A	U+ACE6	# 곦
0x818B	U+ACE9	# 곩
0x818C	U+ACEB	# 곫
0x818D	U+ACED	# 곭
0x818E	U+ACEE	# 곮
0x818F	U+ACF2	# 곲
0x8190	U+ACF7	# 곷
0x8191	U+ACF8	# 곸
0x8192	U+ACF9	# 곹
0x8193	U+ACFB	# 곻
0x8194	U+ACE2	# 곢
0x8195	U+ACF4	# 곴
0x8196	U+AD51	# 굑
0x8197	U+AD53	# 굓
0x8198	U+AD55	# 굕
0x8199	U+AD56	# 굖
0x819A	U+AD57	# 굗
0x819B	U+AD59	# 굙
0x819C	U+AD5A	# 굚
0x819D	U+AD5B	# 굛
0x819E	U+AD5C	# 굜
0x819F	U+AD5D	# 굝
0x81A0	U+AD5E	# 굞
0x81A1	U+AD5F	# 굟
0x81A2	U+AD60	# 굠
0x81A3	U+AD62	# 굢
0x81A4	U+AD65	# 굥
0x81A5	U+AD66	# 굦
0x81A6	U+AD67	# 굧
0x81A7	U+AD68	# 굨
0x81A8	U+AD69	# 굩
0x81A9	U+AD6A	# 굪
0x81AA	U+AD6B	# 굫
0x81AB	U+AD52	# 굒
0x81AC	U+AD64	# 굤
0x81AD	U+AD6F	# 굯
0x81AE	U+AD71	# 굱
0x81AF	U+AD72	# 굲
0x81B0	U+AD77	# 굷
0x81B1	U+AD78	# 굸
0x81B2	U+AD79	# 굹
0x81B3	U+AD7A	# 굺
0x81B4	U+AD7E	# 굾
0x81B5	U+AD83	# 궃
0x81B6	U+AD84	# 궄
0x81B7	U+AD85	# 궅
0x81B8	U+AD86	# 궆
0x81B9	U+AD87	# 궇
0x81BA	U+AD6E	# 굮
0x81BB	U+AD80	# 궀
0x81BC	U+ADDD	# 귝
0x81BD	U+ADDF	# 귟
0x81BE	U+ADE1	# 귡
0x81BF	U+ADE2	# 귢
0x81C0	U+ADE3	# 귣
0x81C1	U+ADE5	# 귥
0x81C2	U+ADE6	# 귦
0x81C3	U+ADE7	# 귧
0x81C4	U+ADE8	# 귨
