# GB 12052-89 to Unicode table (complete)
# Made by Jaemin Chung
# Unicode Version 7.0
# Date: 2014-12-20

# This file is encoded in UTF-8.

# 1. Most of the characters at 53-01 through 71-86 map to sequences of two or three Unicode code points.
#
# 2. Twenty-three (23) characters share the same Unicode mappings with other characters.
#
# 2-1. The following pair maps to the same Unicode code point.
# 01-71	0x2167	0xA1E7	U+FF04	# ＄
# 03-04	0x2324	0xA3A4	U+FF04	# ＄
# When converting Unicode back to GB 12052-89, it is recommended to use the first one (01-71).
#
# 2-2. The characters at 71-41 through 71-64 use a different typeface style (Hunminjeongeum Haerye style).
# For example, 35-80 and 71-41 both correspond to U+314F ㅏ, but the former uses a normal typeface style and the latter uses a different typeface style.
# As they only differ in their typeface style, no attempt was made to make their mappings unique (thus, 22 characters share the mappings with other characters).
# Instead, the ones with a different typeface style are given a comment "Hunminjeongeum Haerye style".
# Here are some examples from the data:
# 35-80	0x4370	0xC3F0	U+314F	# ㅏ
# 71-41	0x6749	0xE7C9	U+314F	# ㅏ; Hunminjeongeum Haerye style
# 36-02	0x4422	0xC4A2	U+3151	# ㅑ
# 71-42	0x674A	0xE7CA	U+3151	# ㅑ; Hunminjeongeum Haerye style
# 36-14	0x442E	0xC4AE	U+3153	# ㅓ
# 71-43	0x674B	0xE7CB	U+3153	# ㅓ; Hunminjeongeum Haerye style
# When converting Unicode back to GB 12052-89, it is recommended to use the ones with normal typeface style (that is, ones without "Hunminjeongeum Haerye style"; 35-80, 36-02, 36-14, etc.).
# However, 71-58 can be mapped directly to U+3187 ㆇ, because there is no corresponding character with the normal typeface style.
#
# 3. The following 20 characters use the hangul jamo that were added in Unicode 5.2 (October 2009).
# In environments that do not properly support Unicode 5.2 and above, these characters may not be rendered correctly.
# 54-48	0x5650	0xD6D0	U+1102 U+D7B5	# ᄂힵ
# 56-34	0x5842	0xD8C2	U+1107 U+1161 U+D7CB	# 바ퟋ
# 57-45	0x594D	0xD9CD	U+1109 U+1161 U+D7EA	# 사ퟪ
# 58-22	0x5A36	0xDAB6	U+1109 U+D7B5	# ᄉힵ
# 58-23	0x5A37	0xDAB7	U+1109 U+D7B5 U+11AB	# ᄉힵᆫ
# 58-26	0x5A3A	0xDABA	U+1109 U+11A7	# ᄉᆧ
# 60-60	0x5C5C	0xDCDC	U+110C U+D7B5	# ᄌힵ
# 61-46	0x5D4E	0xDDCE	U+110F U+D7B5 U+11AB	# ᄏힵᆫ
# 63-41	0x5F49	0xDFC9	U+1112 U+11A6	# ᄒᆦ
# 63-44	0x5F4C	0xDFCC	U+1112 U+D7B5	# ᄒힵ
# 64-02	0x6022	0xE0A2	U+1104 U+D7B5	# ᄄힵ
# 64-41	0x6049	0xE0C9	U+110A U+D7B5 U+11AB	# ᄊힵᆫ
# 64-42	0x604A	0xE0CA	U+110A U+D7B5 U+11BC	# ᄊힵᆼ
# 70-92	0x667C	0xE6FC	U+A97C U+1160	# ꥼᅠ
# 71-34	0x6742	0xE7C2	U+115F U+11A6	# ᅟᆦ
# 71-35	0x6743	0xE7C3	U+115F U+D7B5	# ᅟힵ
# 71-37	0x6745	0xE7C5	U+115F U+11A7	# ᅟᆧ
# 71-62	0x675E	0xE7DE	U+115F U+11A7	# ᅟᆧ
# 71-67	0x6763	0xE7E3	U+115F U+1160 U+D7CB	# ᅟᅠퟋ
# 71-85	0x6775	0xE7F5	U+115F U+1160 U+D7EA	# ᅟᅠퟪ
#
# For Unicode 5.1 and below, use the following alternative mappings for those characters.
# 54-48	0x5650	0xD6D0	U+1102 U+116E U+1167	# 누ᅧ
# 56-34	0x5842	0xD8C2	U+1107 U+1161 U+11AB U+11AF	# 반ᆯ
# 57-45	0x594D	0xD9CD	U+1109 U+1161 U+11BA U+11B7	# 삿ᆷ
# 58-22	0x5A36	0xDAB6	U+1109 U+116E U+1167	# 수ᅧ
# 58-23	0x5A37	0xDAB7	U+1109 U+116E U+1167 U+11AB	# 수ᅧᆫ
# 58-26	0x5A3A	0xDABA	U+1109 U+1169 U+1163 U+1175	# 소ᅣᅵ
# 60-60	0x5C5C	0xDCDC	U+110C U+116E U+1167	# 주ᅧ
# 61-46	0x5D4E	0xDDCE	U+110F U+116E U+1167 U+11AB	# 쿠ᅧᆫ
# 63-41	0x5F49	0xDFC9	U+1112 U+1169 U+1163	# 호ᅣ
# 63-44	0x5F4C	0xDFCC	U+1112 U+116E U+1167	# 후ᅧ
# 64-02	0x6022	0xE0A2	U+1104 U+116E U+1167	# 뚜ᅧ
# 64-41	0x6049	0xE0C9	U+110A U+116E U+1167 U+11AB	# 쑤ᅧᆫ
# 64-42	0x604A	0xE0CA	U+110A U+116E U+1167 U+11BC	# 쑤ᅧᆼ
# 70-92	0x667C	0xE6FC	U+1159 U+1159 U+1160	# ᅙᅙᅠ
# 71-34	0x6742	0xE7C2	U+115F U+1169 U+1163	# ᅟᅩᅣ
# 71-35	0x6743	0xE7C3	U+115F U+116E U+1167	# ᅟᅮᅧ
# 71-37	0x6745	0xE7C5	U+115F U+1169 U+1163 U+1175	# ᅟᅩᅣᅵ
# 71-62	0x675E	0xE7DE	U+115F U+1169 U+1163 U+1175	# ᅟᅩᅣᅵ
# 71-67	0x6763	0xE7E3	U+115F U+1160 U+11AB U+11AF	# ᅟᅠᆫᆯ
# 71-85	0x6775	0xE7F5	U+115F U+1160 U+11BA U+11B7	# ᅟᅠᆺᆷ
#
01-01	0x2121	0xA1A1	U+3000	# 　
01-02	0x2122	0xA1A2	U+3001	# 、
01-03	0x2123	0xA1A3	U+3002	# 。
01-04	0x2124	0xA1A4	U+00B7	# ·
01-05	0x2125	0xA1A5	U+02C9	# ˉ
01-06	0x2126	0xA1A6	U+02C7	# ˇ
01-07	0x2127	0xA1A7	U+00A8	# ¨
01-08	0x2128	0xA1A8	U+3003	# 〃
01-09	0x2129	0xA1A9	U+3005	# 々
01-10	0x212A	0xA1AA	U+2014	# —
01-11	0x212B	0xA1AB	U+FF5E	# ～
01-12	0x212C	0xA1AC	U+2016	# ‖
01-13	0x212D	0xA1AD	U+2026	# …
01-14	0x212E	0xA1AE	U+2018	# ‘
01-15	0x212F	0xA1AF	U+2019	# ’
01-16	0x2130	0xA1B0	U+201C	# “
01-17	0x2131	0xA1B1	U+201D	# ”
01-18	0x2132	0xA1B2	U+3014	# 〔
01-19	0x2133	0xA1B3	U+3015	# 〕
01-20	0x2134	0xA1B4	U+3008	# 〈
01-21	0x2135	0xA1B5	U+3009	# 〉
01-22	0x2136	0xA1B6	U+300A	# 《
01-23	0x2137	0xA1B7	U+300B	# 》
01-24	0x2138	0xA1B8	U+300C	# 「
01-25	0x2139	0xA1B9	U+300D	# 」
01-26	0x213A	0xA1BA	U+300E	# 『
01-27	0x213B	0xA1BB	U+300F	# 』
01-28	0x213C	0xA1BC	U+3016	# 〖
01-29	0x213D	0xA1BD	U+3017	# 〗
01-30	0x213E	0xA1BE	U+3010	# 【
01-31	0x213F	0xA1BF	U+3011	# 】
01-32	0x2140	0xA1C0	U+00B1	# ±
01-33	0x2141	0xA1C1	U+00D7	# ×
01-34	0x2142	0xA1C2	U+00F7	# ÷
01-35	0x2143	0xA1C3	U+2236	# ∶
01-36	0x2144	0xA1C4	U+2227	# ∧
01-37	0x2145	0xA1C5	U+2228	# ∨
01-38	0x2146	0xA1C6	U+2211	# ∑
01-39	0x2147	0xA1C7	U+220F	# ∏
01-40	0x2148	0xA1C8	U+222A	# ∪
01-41	0x2149	0xA1C9	U+2229	# ∩
01-42	0x214A	0xA1CA	U+2208	# ∈
01-43	0x214B	0xA1CB	U+2237	# ∷
01-44	0x214C	0xA1CC	U+221A	# √
01-45	0x214D	0xA1CD	U+22A5	# ⊥
01-46	0x214E	0xA1CE	U+2225	# ∥
01-47	0x214F	0xA1CF	U+2220	# ∠
01-48	0x2150	0xA1D0	U+2312	# ⌒
01-49	0x2151	0xA1D1	U+2299	# ⊙
01-50	0x2152	0xA1D2	U+222B	# ∫
01-51	0x2153	0xA1D3	U+222E	# ∮
01-52	0x2154	0xA1D4	U+2261	# ≡
01-53	0x2155	0xA1D5	U+224C	# ≌
01-54	0x2156	0xA1D6	U+2248	# ≈
01-55	0x2157	0xA1D7	U+223D	# ∽
01-56	0x2158	0xA1D8	U+221D	# ∝
01-57	0x2159	0xA1D9	U+2260	# ≠
01-58	0x215A	0xA1DA	U+226E	# ≮
01-59	0x215B	0xA1DB	U+226F	# ≯
01-60	0x215C	0xA1DC	U+2264	# ≤
01-61	0x215D	0xA1DD	U+2265	# ≥
01-62	0x215E	0xA1DE	U+221E	# ∞
01-63	0x215F	0xA1DF	U+2235	# ∵
01-64	0x2160	0xA1E0	U+2234	# ∴
01-65	0x2161	0xA1E1	U+2642	# ♂
01-66	0x2162	0xA1E2	U+2640	# ♀
01-67	0x2163	0xA1E3	U+00B0	# °
01-68	0x2164	0xA1E4	U+2032	# ′
01-69	0x2165	0xA1E5	U+2033	# ″
01-70	0x2166	0xA1E6	U+2103	# ℃
01-71	0x2167	0xA1E7	U+FF04	# ＄
01-72	0x2168	0xA1E8	U+00A4	# ¤
01-73	0x2169	0xA1E9	U+FFE0	# ￠
01-74	0x216A	0xA1EA	U+FFE1	# ￡
01-75	0x216B	0xA1EB	U+2030	# ‰
01-76	0x216C	0xA1EC	U+00A7	# §
01-77	0x216D	0xA1ED	U+2116	# №
01-78	0x216E	0xA1EE	U+2606	# ☆
01-79	0x216F	0xA1EF	U+2605	# ★
01-80	0x2170	0xA1F0	U+25CB	# ○
01-81	0x2171	0xA1F1	U+25CF	# ●
01-82	0x2172	0xA1F2	U+25CE	# ◎
01-83	0x2173	0xA1F3	U+25C7	# ◇
01-84	0x2174	0xA1F4	U+25C6	# ◆
01-85	0x2175	0xA1F5	U+25A1	# □
01-86	0x2176	0xA1F6	U+25A0	# ■
01-87	0x2177	0xA1F7	U+25B3	# △
01-88	0x2178	0xA1F8	U+25B2	# ▲
01-89	0x2179	0xA1F9	U+203B	# ※
01-90	0x217A	0xA1FA	U+2192	# →
01-91	0x217B	0xA1FB	U+2190	# ←
01-92	0x217C	0xA1FC	U+2191	# ↑
01-93	0x217D	0xA1FD	U+2193	# ↓
01-94	0x217E	0xA1FE	U+3013	# 〓
02-17	0x2231	0xA2B1	U+2488	# ⒈
02-18	0x2232	0xA2B2	U+2489	# ⒉
02-19	0x2233	0xA2B3	U+248A	# ⒊
02-20	0x2234	0xA2B4	U+248B	# ⒋
02-21	0x2235	0xA2B5	U+248C	# ⒌
02-22	0x2236	0xA2B6	U+248D	# ⒍
02-23	0x2237	0xA2B7	U+248E	# ⒎
02-24	0x2238	0xA2B8	U+248F	# ⒏
02-25	0x2239	0xA2B9	U+2490	# ⒐
02-26	0x223A	0xA2BA	U+2491	# ⒑
02-27	0x223B	0xA2BB	U+2492	# ⒒
02-28	0x223C	0xA2BC	U+2493	# ⒓
