# The Heisei Minchō Gaiji charset from the Han'yō Denshi Programme
0x3021	U+9D09
0x3023	U+51A4
0x3026	U+7259
0x3027	U+8A1D
0x3028	U+6062
0x302A	U+20984
0x302B	U+6C72
0x302D	U+7B08
0x302E	U+53A9
0x302F	U+5653
0x3031	U+4FF1
0x3032	U+55B0
0x3035	U+59F8
0x3038	U+8154
0x303A	U+7BDD
0x303B	U+9910
0x303C	U+8328
0x303D	U+20B9F
0x3040	U+8A0A
0x3041	U+976D
0x3043	U+8106
0x3044	U+7A7F
0x3045	U+63C3
0x3046	U+717D
0x3047	U+7BAD
0x3048	U+53DF
0x3049	U+564C
0x304A	U+7626
0x304B	U+8258
0x304C	U+7511
0x304E	U+5642
0x304F	U+6A3D
0x3050	U+9C52
0x3051	U+6EBA
0x3052	U+56C0
0x3053	U+75BC
0x3055	U+9041
0x3058	U+903C
0x3059	U+8B2C
0x305A	U+8C79
0x305B	U+5E77
0x305C	U+8511
0x305D	U+6241
0x305E	U+7BC7
0x305F	U+9A19
0x3060	U+8292
0x3061	U+7C7E
0x3062	U+6962
0x3063	U+7337
0x3064	U+8805
0x3066	U+7C3E
