# The supplementary charset for names of persons and places from the Han'yō Denshi Programme
0x2123	U+6A73
0x2124	U+73CA
0x2223	U+5197
0x2231	U+2227F
0x2237	U+2AC68
0x2239	U+6781
0x223E	U+6927
0x2243	U+69CF
0x224A	U+6C6D
0x224F	U+3D3C
0x2258	U+2B7B8
0x2269	U+8987
0x226E	U+2B803
0x2275	U+9C22
0x2321	U+517C
0x2322	U+5203
0x2323	U+52D6
0x2325	U+20EDB
0x2326	U+35FB
0x2328	U+2145F
0x2329	U+2145E
0x232A	U+218EA
0x232B	U+21B4E
0x232C	U+5EF6
0x232F	U+6240
0x2330	U+25626
0x2332	U+2374B
0x2333	U+3BFE
0x2334	U+3C05
0x2335	U+237F3
0x2337	U+3D7E
0x2338	U+3DDF
0x2339	U+3DED
0x233A	U+3E02
0x233B	U+3E9A
0x233C	U+25607
0x233D	U+40FD
0x233E	U+2562C
0x233F	U+25630
0x2341	U+4104
0x2342	U+2566E
0x2343	U+410D
0x2344	U+410F
0x2345	U+799D
0x2346	U+256C6
0x2347	U+256D9
0x2348	U+256DC
0x2349	U+256F2
0x234B	U+4120
0x234C	U+25705
0x234D	U+25712
0x234E	U+25726
0x234F	U+4183
0x2352	U+261D7
0x2354	U+821B
0x2355	U+26AAD
0x2356	U+839F
0x2357	U+83C1
0x235A	U+84A8
0x235B	U+849C
0x235C	U+450F
0x235D	U+84EB
0x235F	U+8602
0x2361	U+26F2F
0x2362	U+8596
0x2363	U+8598
0x2364	U+85CD
0x2365	U+85B3
0x2366	U+85E1
0x2367	U+27039
0x2368	U+8627
0x2369	U+45E6
0x236A	U+27525
0x236B	U+465C
0x236C	U+277B8
0x236D	U+471A
0x236E	U+27B87
0x236F	U+477C
0x2370	U+27E19
0x2371	U+27E3D
0x2372	U+4875
0x2373	U+2844D
0x2374	U+28452
0x2375	U+488C
0x2376	U+8FD3
0x2377	U+2846D
0x2378	U+4890
0x2379	U+28489
0x237A	U+2848C
0x237B	U+4894
0x237C	U+284AD
0x237D	U+284B0
0x237E	U+284C5
0x2422	U+901E
0x2424	U+284F5
0x2425	U+9055
0x2426	U+2851D
0x2427	U+2851F
0x2428	U+9042
0x2429	U+28527
0x242B	U+28560
0x242C	U+28563
0x242E	U+9062
0x242F	U+28565
0x2430	U+906F
0x2431	U+48A6
0x2432	U+2858A
0x2433	U+9075
0x2434	U+9077
0x2435	U+285B9
0x2436	U+285BB
0x2437	U+9078
0x2438	U+285BF
0x2439	U+48AB
0x243A	U+907D
0x243B	U+285F1
0x243C	U+9083
0x243D	U+48B0
0x243F	U+28637
0x2440	U+28642
0x2441	U+28655
0x2442	U+28659
0x2443	U+2865A
0x2444	U+2865F
0x2445	U+2B4BC
0x2446	U+4A24
0x2447	U+4A28
0x2448	U+291D5
0x2449	U+5568
0x244B	U+29682
0x244C	U+29685
0x244D	U+29688
0x244E	U+29696
0x244F	U+29695
0x2450	U+4B2A
0x2451	U+296A9
0x2452	U+4B33
0x2453	U+4B34
0x2454	U+296B9
0x2455	U+296C6
0x2456	U+4B2E
0x2457	U+9901
0x2458	U+4B39
0x2459	U+9928
0x245A	U+4B3C
0x245B	U+296DE
0x245C	U+4B40
0x245D	U+9915
0x245E	U+296E5
0x245F	U+296FA
0x2460	U+4B43
0x2461	U+4B45
0x2462	U+991D
0x2463	U+29706
0x2464	U+29708
0x2465	U+2970B
0x2466	U+4B47
0x2467	U+2970F
0x2468	U+29717
0x2469	U+2972F
0x246A	U+4B49
0x246B	U+29734
0x246C	U+29739
0x246D	U+4B4B
0x246E	U+2973F
0x246F	U+9942
0x2471	U+29759
0x2472	U+4B50
0x2473	U+4B51
0x2474	U+2975D
0x2475	U+4B52
0x2477	U+4B54
0x2478	U+29780
0x2479	U+29783
0x247A	U+2978F
0x247B	U+2978D
0x247C	U+29791
0x247D	U+297AB
0x247E	U+297AD
0x2521	U+297A1
0x2522	U+297A5
0x2523	U+297A7
0x2524	U+297B7
0x2525	U+297C4
0x2526	U+297CB
0x2527	U+4B61
0x2528	U+4B63
0x2529	U+995B
0x252A	U+297F1
0x252C	U+4B69
0x252F	U+4D2A
0x2622	U+4E07
0x2623	U+4E12
0x2624	U+353A
0x2627	U+2B740
0x2628	U+20158
0x2629	U+20159
0x262A	U+2B746
0x262B	U+2B749
0x262C	U+5152
0x262E	U+20525
0x262F	U+20525
0x2630	U+517C
0x2631	U+20525
0x2633	U+5C80
0x2634	U+5207
0x2635	U+25609
0x2636	U+2B750
0x2637	U+2B751
0x2638	U+4E1A
0x263A	U+209A2
0x263B	U+2B757
0x263C	U+20A64
0x263D	U+72AE
0x263E	U+2B747
0x2641	U+20EDB
0x2642	U+5660
0x2643	U+35FB
0x2644	U+5683
0x2645	U+2B75D
0x2646	U+56DB
0x2647	U+570A
0x264A	U+21299
0x264D	U+20496
0x264E	U+2B754
0x2651	U+2145F
0x2652	U+2145E
0x2653	U+58DD
0x2655	U+2563E
0x2656	U+5965
0x2657	U+5A67
0x2658	U+218EA
0x265D	U+21B4E
0x265E	U+2B74D
0x2660	U+5D1D
0x2661	U+5DE6
0x2665	U+384C
0x2667	U+5E74
0x2668	U+5E78
0x2669	U+2B777
0x266A	U+5EBB
0x266B	U+2228A
0x266C	U+5EB7
0x266D	U+5ED0
0x266E	U+28482
0x266F	U+2B778
0x2670	U+5FA1
0x2671	U+2B779
0x2672	U+3919
0x2674	U+6165
0x2677	U+2B742
0x2678	U+39DE
0x267B	U+6453
0x267C	U+6459
0x267D	U+64BE
0x267E	U+64FF
0x2722	U+22FD9
0x2724	U+2B780
0x2725	U+65DE
0x2726	U+2B783
0x2727	U+2B784
0x2728	U+66C3
0x2729	U+66F5
0x272A	U+66FE
0x272C	U+23471
0x272E	U+68C8
0x272F	U+3BB8
0x2730	U+2B790
0x2731	U+69E4
0x2733	U+235F3
0x2734	U+6A96
0x2735	U+6A9B
0x2736	U+2374B
0x2737	U+3BFE
0x2739	U+237F3
0x273C	U+2B795
0x273D	U+2B796
0x273F	U+6F01
0x2740	U+23FB0
0x2741	U+6F28
0x2742	U+6FBE
0x2743	U+6FC4
0x2744	U+3D7E
0x2746	U+7022
0x2748	U+3DDF
0x2749	U+717A
0x274A	U+3DED
0x274B	U+71A2
0x274C	U+71A5
0x274D	U+71E7
0x274E	U+3E02
0x2750	U+7247
0x2751	U+20ADA
0x2752	U+2B7A4
0x2753	U+3E9A
0x2754	U+7434
0x2755	U+7489
0x2756	U+74B2
0x2757	U+74CB
0x2759	U+2B7AA
0x275B	U+76E3
0x275D	U+25102
0x275E	U+2B7B2
0x275F	U+78D3
0x2760	U+25607
0x2761	U+793D
0x2763	U+40FD
0x2764	U+7945
0x2765	U+7946
0x2766	U+40FE
0x2767	U+794A
0x2768	U+794B
0x2769	U+794C
0x276C	U+7954
0x276E	U+7959
0x276F	U+4103
0x2770	U+795B
0x2771	U+795C
0x2774	U+7963
0x2775	U+4104
0x2777	U+796B
0x2778	U+796C
0x2779	U+7972
0x277B	U+7973
0x277E	U+797B
0x2821	U+410F
0x2822	U+797C
0x2823	U+7982
0x2824	U+798A
0x2825	U+7993
0x2826	U+7994
0x2827	U+7995
0x2828	U+7996
0x2829	U+7997
0x282A	U+7998
0x282B	U+798B
0x2830	U+79A1
0x2836	U+79A8
0x2837	U+79AC
0x2838	U+4120
0x2839	U+79AD
0x283B	U+79B1
0x283E	U+79B3
0x283F	U+79B4
0x2840	U+2563F
0x2841	U+7A5F
0x2842	U+4183
0x2844	U+41B3
0x2845	U+7B90
0x2846	U+7BC4
