# Union of modern hangul syllables (exactly 4300 characters in total) from various 94×94 national standards
# (after applying corrections to Unicode 1.1 values)
# Text encoding: UTF-8
# count	char	Unicode2.0+	KSX1001	KSX1002	KPS9566	GB12052	Unicode1.1	decomposition
1	가	U+AC00	0xB0A1	-	0xB0A1	0xB0A3	0x3400	ᄀ+ᅡ
2	각	U+AC01	0xB0A2	-	0xB0A2	0xB0A4	0x3401	ᄀ+ᅡ+ᆨ
3	갂	U+AC02	-	0x3021	-	-	0x3D2E	ᄀ+ᅡ+ᆩ
4	갃	U+AC03	-	-	-	0xC6A1	0x44BE	ᄀ+ᅡ+ᆪ
5	간	U+AC04	0xB0A3	-	0xB0A3	0xB0A5	0x3402	ᄀ+ᅡ+ᆫ
6	갇	U+AC07	0xB0A4	-	0xB0A4	0xB0A6	0x3403	ᄀ+ᅡ+ᆮ
7	갈	U+AC08	0xB0A5	-	0xB0A5	0xB0A7	0x3404	ᄀ+ᅡ+ᆯ
8	갉	U+AC09	0xB0A6	-	0xB0A6	0xB0A8	0x3405	ᄀ+ᅡ+ᆰ
9	갊	U+AC0A	0xB0A7	-	0xB0A7	0xB0A9	0x3406	ᄀ+ᅡ+ᆱ
10	갋	U+AC0B	-	0x3022	-	0xC6A2	0x3D2F	ᄀ+ᅡ+ᆲ
11	갌	U+AC0C	-	0x3023	-	0xC6A3	0x3D30	ᄀ+ᅡ+ᆳ
12	감	U+AC10	0xB0A8	-	0xB0A8	0xB0AA	0x3407	ᄀ+ᅡ+ᆷ
13	갑	U+AC11	0xB0A9	-	0xB0A9	0xB0AB	0x3408	ᄀ+ᅡ+ᆸ
14	값	U+AC12	0xB0AA	-	0xB0AA	0xB0AC	0x3409	ᄀ+ᅡ+ᆹ
15	갓	U+AC13	0xB0AB	-	0xB0AB	0xB0AD	0x340A	ᄀ+ᅡ+ᆺ
16	갔	U+AC14	0xB0AC	-	0xB0B2	0xB0B4	0x340B	ᄀ+ᅡ+ᆻ
17	강	U+AC15	0xB0AD	-	0xB0AC	0xB0AE	0x340C	ᄀ+ᅡ+ᆼ
18	갖	U+AC16	0xB0AE	-	0xB0AD	0xB0AF	0x340D	ᄀ+ᅡ+ᆽ
19	갗	U+AC17	0xB0AF	-	0xB0AE	0xB0B0	0x340E	ᄀ+ᅡ+ᆾ
20	같	U+AC19	0xB0B0	-	0xB0AF	0xB0B1	0x340F	ᄀ+ᅡ+ᇀ
21	갚	U+AC1A	0xB0B1	-	0xB0B0	0xB0B2	0x3410	ᄀ+ᅡ+ᇁ
22	갛	U+AC1B	0xB0B2	-	0xB0B1	0xB0B3	0x3411	ᄀ+ᅡ+ᇂ
23	개	U+AC1C	0xB0B3	-	0xB1B6	0xB1AB	0x3412	ᄀ+ᅢ
