0x222f	U+02d8	# 2-15, BREVE
0x2230	U+02c7	# 2-16, CARON
0x2231	U+00b8	# 2-17, CEDILLA
0x2232	U+02d9	# 2-18, DOT ABOVE
0x2233	U+02dd	# 2-19, DOUBLE ACUTE ACCENT
0x2234	U+00af	# 2-20, MACRON
0x2235	U+02db	# 2-21, OGONEK
0x2236	U+02da	# 2-22, RING ABOVE
0x2237	U+007e	# 2-23, TILDE
0x2238	U+0384	# 2-24, GREEK TONOS
0x2239	U+0385	# 2-25, GREEK DIALYTIKA TONOS
0x2242	U+00a1	# 2-34, INVERTED EXCLAMATION MARK
0x2243	U+00a6	# 2-35, BROKEN BAR
0x2244	U+00bf	# 2-36, INVERTED QUESTION MARK
0x226b	U+00ba	# 2-75, MASCULINE ORDINAL INDICATOR
0x226c	U+00aa	# 2-76, FEMININE ORDINAL INDICATOR
0x226d	U+00a9	# 2-77, COPYRIGHT SIGN
0x226e	U+00ae	# 2-78, REGISTERED SIGN
0x226f	U+2122	# 2-79, TRADE MARK SIGN
0x2270	U+00a4	# 2-80, CURRENCY SIGN
0x2271	U+2116	# 2-81, NUMERO SIGN
0x2661	U+0386	# 6-65, GREEK CAPITAL LETTER ALPHA WITH TONOS
0x2662	U+0388	# 6-66, GREEK CAPITAL LETTER EPSILON WITH TONOS
0x2663	U+0389	# 6-67, GREEK CAPITAL LETTER ETA WITH TONOS
0x2664	U+038a	# 6-68, GREEK CAPITAL LETTER IOTA WITH TONOS
0x2665	U+03aa	# 6-69, GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
0x2667	U+038c	# 6-71, GREEK CAPITAL LETTER OMICRON WITH TONOS
0x2669	U+038e	# 6-73, GREEK CAPITAL LETTER UPSILON WITH TONOS
0x266a	U+03ab	# 6-74, GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
0x266c	U+038f	# 6-76, GREEK CAPITAL LETTER OMEGA WITH TONOS
0x2671	U+03ac	# 6-81, GREEK SMALL LETTER ALPHA WITH TONOS
0x2672	U+03ad	# 6-82, GREEK SMALL LETTER EPSILON WITH TONOS
0x2673	U+03ae	# 6-83, GREEK SMALL LETTER ETA WITH TONOS
0x2674	U+03af	# 6-84, GREEK SMALL LETTER IOTA WITH TONOS
0x2675	U+03ca	# 6-85, GREEK SMALL LETTER IOTA WITH DIALYTIKA
0x2676	U+0390	# 6-86, GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0x2677	U+03cc	# 6-87, GREEK SMALL LETTER OMICRON WITH TONOS
0x2678	U+03c2	# 6-88, GREEK SMALL LETTER FINAL SIGMA
0x2679	U+03cd	# 6-89, GREEK SMALL LETTER UPSILON WITH TONOS
0x267a	U+03cb	# 6-90, GREEK SMALL LETTER UPSILON WITH DIALYTIKA
0x267b	U+03b0	# 6-91, GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
0x267c	U+03ce	# 6-92, GREEK SMALL LETTER OMEGA WITH TONOS
0x2742	U+0402	# 7-34, CYRILLIC CAPITAL LETTER DJE
0x2743	U+0403	# 7-35, CYRILLIC CAPITAL LETTER GJE
0x2744	U+0404	# 7-36, CYRILLIC CAPITAL LETTER UKRAINIAN IE
0x2745	U+0405	# 7-37, CYRILLIC CAPITAL LETTER DZE
0x2746	U+0406	# 7-38, CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0x2747	U+0407	# 7-39, CYRILLIC CAPITAL LETTER YI
0x2748	U+0408	# 7-40, CYRILLIC CAPITAL LETTER JE
0x2749	U+0409	# 7-41, CYRILLIC CAPITAL LETTER LJE
0x274a	U+040a	# 7-42, CYRILLIC CAPITAL LETTER NJE
0x274b	U+040b	# 7-43, CYRILLIC CAPITAL LETTER TSHE
0x274c	U+040c	# 7-44, CYRILLIC CAPITAL LETTER KJE
0x274d	U+040e	# 7-45, CYRILLIC CAPITAL LETTER SHORT U
0x274e	U+040f	# 7-46, CYRILLIC CAPITAL LETTER DZHE
0x2772	U+0452	# 7-82, CYRILLIC SMALL LETTER DJE
0x2773	U+0453	# 7-83, CYRILLIC SMALL LETTER GJE
0x2774	U+0454	# 7-84, CYRILLIC SMALL LETTER UKRAINIAN IE
0x2775	U+0455	# 7-85, CYRILLIC SMALL LETTER DZE
0x2776	U+0456	# 7-86, CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0x2777	U+0457	# 7-87, CYRILLIC SMALL LETTER YI
0x2778	U+0458	# 7-88, CYRILLIC SMALL LETTER JE
0x2779	U+0459	# 7-89, CYRILLIC SMALL LETTER LJE
0x277a	U+045a	# 7-90, CYRILLIC SMALL LETTER NJE
0x277b	U+045b	# 7-91, CYRILLIC SMALL LETTER TSHE
0x277c	U+045c	# 7-92, CYRILLIC SMALL LETTER KJE
0x277d	U+045e	# 7-93, CYRILLIC SMALL LETTER SHORT U
0x277e	U+045f	# 7-94, CYRILLIC SMALL LETTER DZHE
0x2921	U+00c6	# 9-1, LATIN CAPITAL LETTER AE
0x2922	U+0110	# 9-2, LATIN CAPITAL LETTER D WITH STROKE
0x2924	U+0126	# 9-4, LATIN CAPITAL LETTER H WITH STROKE
0x2926	U+0132	# 9-6, LATIN CAPITAL LIGATURE IJ
0x2928	U+0141	# 9-8, LATIN CAPITAL LETTER L WITH STROKE
0x2929	U+013f	# 9-9, LATIN CAPITAL LETTER L WITH MIDDLE DOT
0x292b	U+014a	# 9-11, LATIN CAPITAL LETTER ENG
0x292c	U+00d8	# 9-12, LATIN CAPITAL LETTER O WITH STROKE
0x292d	U+0152	# 9-13, LATIN CAPITAL LIGATURE OE
0x292f	U+0166	# 9-15, LATIN CAPITAL LETTER T WITH STROKE
0x2930	U+00de	# 9-16, LATIN CAPITAL LETTER THORN
0x2941	U+00e6	# 9-33, LATIN SMALL LETTER AE
0x2942	U+0111	# 9-34, LATIN SMALL LETTER D WITH STROKE
0x2943	U+00f0	# 9-35, LATIN SMALL LETTER ETH
0x2944	U+0127	# 9-36, LATIN SMALL LETTER H WITH STROKE
0x2945	U+0131	# 9-37, LATIN SMALL LETTER DOTLESS I
0x2946	U+0133	# 9-38, LATIN SMALL LIGATURE IJ
0x2947	U+0138	# 9-39, LATIN SMALL LETTER KRA
0x2948	U+0142	# 9-40, LATIN SMALL LETTER L WITH STROKE
0x2949	U+0140	# 9-41, LATIN SMALL LETTER L WITH MIDDLE DOT
0x294a	U+0149	# 9-42, LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
0x294b	U+014b	# 9-43, LATIN SMALL LETTER ENG
0x294c	U+00f8	# 9-44, LATIN SMALL LETTER O WITH STROKE
0x294d	U+0153	# 9-45, LATIN SMALL LIGATURE OE
0x294e	U+00df	# 9-46, LATIN SMALL LETTER SHARP S
0x294f	U+0167	# 9-47, LATIN SMALL LETTER T WITH STROKE
0x2950	U+00fe	# 9-48, LATIN SMALL LETTER THORN
0x2a21	U+00c1	# 10-1, LATIN CAPITAL LETTER A WITH ACUTE
0x2a22	U+00c0	# 10-2, LATIN CAPITAL LETTER A WITH GRAVE
0x2a23	U+00c4	# 10-3, LATIN CAPITAL LETTER A WITH DIAERESIS
0x2a24	U+00c2	# 10-4, LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x2a25	U+0102	# 10-5, LATIN CAPITAL LETTER A WITH BREVE
0x2a26	U+01cd	# 10-6, LATIN CAPITAL LETTER A WITH CARON
0x2a27	U+0100	# 10-7, LATIN CAPITAL LETTER A WITH MACRON
0x2a28	U+0104	# 10-8, LATIN CAPITAL LETTER A WITH OGONEK
0x2a29	U+00c5	# 10-9, LATIN CAPITAL LETTER A WITH RING ABOVE
0x2a2a	U+00c3	# 10-10, LATIN CAPITAL LETTER A WITH TILDE
