Sun Jan 26 12:50:40 2020    stats.pstats

         14385086 function calls (14330813 primitive calls) in 116.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/singlebyte/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/data/multibyte/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/koi8_r.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/koi8_r.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5.py:27(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jp.py:27(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jp.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5.py:16(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jp.py:16(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp949.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb18030.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp949.py:16(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb18030.py:20(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp932.py:27(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jp.py:20(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb18030.py:16(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp949.py:20(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb2312.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/big5.py:20(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_jis_2004.py:27(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_be.py:25(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp1252.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:28(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb18030.py:27(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb2312.py:20(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_be.py:28(StreamReader)
